commons_f,ecod_uid,domain_id,rep_type,is_reassign,old_f,commons_f_pfam,domain_arch,verdict
10.30.1.9,2770751,e7ji1A1,provisional,t,10.32.1.26,PF25302,,no_arch
10.32.1.215,224055,e4hg6B3,manual,t,10.32.1.10,PF29167,,no_arch
10.32.1.259,3822510,Q9LN59_F1_nD1,provisional,t,,PF08488,PF08488,supports_commons
10.32.1.283,3914225,A0A0G2KD75_F1_nD1,provisional,t,,PF00688,PF00688,supports_commons
105.1.1.102,3022693,e7x5dB1,provisional,t,105.1.1.1,PF00038,,no_arch
105.2.1.7,3803845,B0F9L7_F1_nD3,provisional,f,,PF09787,PF09787,supports_commons
1065.1.1.7,3775676,D3ZDV2_F1_nD3,provisional,t,1065.1.1.4,PF22975,PF22975,ambiguous_both
1075.1.1.65,2673983,e6xjhA1,provisional,t,1075.1.1.3,PF10920,PF12679,supports_old
1079.1.1.13,4010426,P76264_F1_nD1,provisional,t,,PF02659,PF02659,supports_commons
1079.1.1.14,4609029,P67143_nD1,provisional,f,,PF01914,PF01914,supports_commons
108.1.1.121,3190,e1snlA1,manual,t,108.1.1.29,PF30624,,no_arch
109.1.1.46,4218592,P50110_nD2,provisional,f,,"PF10568,PF11801",PF11801,points_other
109.17.1.6,2526918,e6reyc1,provisional,t,109.17.1.1,"PF11919,PF16507,PF23096",,no_arch
109.2.1.64,3174066,Q04336_F1_nD4,provisional,t,109.2.1.53,"PF03200,PF22422",PF22422,points_other
109.2.1.75,2560572,e6hq6B1,provisional,t,,PF31219,,no_arch
109.24.1.7,3237760,Q20487_F1_nD3,provisional,t,109.24.1.1,"PF06920,PF28208","PF06920,PF11878,PF28208",points_other
109.3.1.163,161019,e2bkgA1,provisional,t,109.3.1.11,"PF00023,PF12796,PF13637,PF13857",,no_arch
109.3.1.164,1482703,e4rlvA1,manual,t,109.3.1.1,"PF00023,PF12796,PF13606,PF13637",,no_arch
109.3.1.165,4516,e1n11A1,manual,t,109.3.1.1,"PF00023,PF12796,PF13606,PF13637,PF13857",,no_arch
109.3.1.166,3798121,A0A5S6PQL6_F1_nD1,provisional,t,109.3.1.2,"PF00023,PF12796,PF13606","PF12796,PF13606",points_other
109.3.1.194,3647575,A0A1D6QL02_F1_nD5,provisional,t,,PF04578,"PF04578,PF13968",points_other
109.3.1.200,2976519,e6d7lA1,provisional,t,109.3.1.6,"PF00023,PF08344,PF13637",,no_arch
109.3.1.320,3677917,A0A1D6MPA3_F1_nD5,provisional,t,,PF14432,PF14432,supports_commons
109.3.1.353,3889637,E7EYZ3_F1_nD1,provisional,t,,PF04664,PF04664,supports_commons
109.3.1.376,3287063,K0ETT7_F1_nD6,provisional,t,109.3.1.90,PF20169,PF20169,ambiguous_both
109.3.1.382,3322490,K7KH98_F1_nD1,provisional,t,109.3.1.2,"PF00023,PF12796,PF13637,PF20431","PF12796,PF20431",supports_commons
109.3.1.397,3834805,P93002_F1_nD2,provisional,t,109.3.1.43,"PF12313,PF12796",PF12313,supports_old
109.3.1.411,3715224,Q4D9X0_F1_nD3,provisional,t,109.3.1.85,PF11040,PF11040,ambiguous_both
109.3.1.444,3857708,Q8R3R5_F1_nD1,provisional,t,,PF10269,PF10269,supports_commons
109.35.1.13,2391215,e6fvtN1,provisional,t,109.35.1.2,"PF01851,PF13646,PF18004",,no_arch
109.4.1.1254,3420834,Q7XTG3_F1_nD1,provisional,t,109.4.1.420,"PF01535,PF13041,PF20431","PF01535,PF13041,PF20431",supports_commons
109.4.1.1257,3664730,A0A1X7YID1_F1_nD1,provisional,t,109.4.1.769,"PF12854,PF13041","PF01535,PF13041",points_other
109.4.1.1258,2048354,e5iwbB1,provisional,t,109.4.1.184,"PF01535,PF12854,PF13041",,no_arch
109.4.1.1261,3648617,A0A1X7YED0_F1_nD2,provisional,t,109.4.1.771,"PF12854,PF13041,PF17177","PF01535,PF13041",points_other
109.4.1.1263,4554,e1fchA1,manual,t,109.4.1.5,"PF00515,PF13432",,no_arch
109.4.1.1266,3675697,A0A1X7YII5_F1_nD4,provisional,t,109.4.1.732,"PF00514,PF25598",PF25598,points_other
109.4.1.1267,3831659,Q9S7F4_F1_nD2,provisional,t,109.4.1.1156,"PF01535,PF13041,PF14432,PF20431","PF01535,PF13041,PF14432,PF20431",supports_commons
109.4.1.1271,3658242,A0A1X7YGI2_F1_nD2,provisional,t,109.4.1.768,"PF01535,PF13041,PF23276","PF01535,PF13041",supports_old
109.4.1.1272,3658241,A0A1X7YGI2_F1_nD3,provisional,t,109.4.1.817,"PF01535,PF13041,PF13812,PF20431","PF01535,PF13041,PF20431",points_other
109.4.1.1274,3648615,A0A1X7YED0_F1_nD4,provisional,t,109.4.1.773,"PF01535,PF12854,PF13041,PF13812,PF17177","PF13041,PF13812,PF17177",points_other
109.4.1.1275,1123783,e4m59A1,provisional,t,109.4.1.189,"PF01535,PF12854,PF13041,PF13812,PF17177,PF23276",,no_arch
109.4.1.1276,1115536,e4jsnA2,provisional,t,109.4.1.30,"PF02259,PF23593","PF02259,PF23593",supports_commons
109.4.1.1279,3683185,A0A1X7YFD7_F1_nD1,provisional,t,109.4.1.772,"PF01535,PF12854,PF13041,PF17177,PF23276","PF01535,PF13041,PF17177,PF23276",points_other
109.4.1.1287,2080125,e5jqyA1,manual,t,109.4.1.118,"PF13174,PF13181,PF13432",,no_arch
109.4.1.1291,3676373,A0A1D6KA87_F1_nD4,provisional,t,109.4.1.621,"PF01535,PF13041,PF13812,PF14432,PF20431","PF01535,PF13041,PF13812,PF14432,PF20431",supports_commons
109.4.1.1294,1487475,e4rg6A1,manual,t,109.4.1.7,"PF00515,PF12895,PF13181,PF13424,PF13432",,no_arch
109.4.1.1295,3331226,K7MV40_F1_nD2,provisional,t,109.4.1.1228,"PF01535,PF13041,PF13812,PF23276","PF01535,PF13041,PF13812,PF17177",points_other
109.4.1.1297,3276177,Q54KW8_F1_nD2,provisional,t,109.4.1.382,"PF04821,PF27570","PF04821,PF27570",supports_commons
109.4.1.1298,3425002,Q0J0F7_F1_nD1,provisional,t,109.4.1.404,"PF08609,PF28415","PF08609,PF28415",supports_commons
109.4.1.1301,3566616,Q86V87_F1_nD2,provisional,t,109.4.1.495,"PF10257,PF19311,PF19314","PF10257,PF19311,PF19314",supports_commons
109.4.1.1304,2095496,e5o01A1,manual,t,109.4.1.198,"PF13181,PF13374,PF13424",,no_arch
109.4.1.1307,3717635,Q4DVK6_F1_nD3,provisional,t,109.4.1.327,"PF04129,PF20655","PF04129,PF20655",supports_commons
109.4.1.1313,4580,e1qbkB1,manual,t,109.4.1.204,"PF02985,PF03810,PF13513,PF25574,PF25780","PF03810,PF13513,PF25574,PF25780",points_other
109.4.1.1315,1722652,e5a6cB1,manual,t,109.4.1.198,"PF13176,PF13181,PF13374,PF13424",,no_arch
109.4.1.1317,3513682,A0A077Z2Y9_F1_nD2,provisional,t,109.4.1.592,"PF04100,PF16854","PF04100,PF16854",supports_commons
109.4.1.1318,3749064,A0A0G2JT26_F1_nD1,provisional,t,109.4.1.524,"PF07923,PF11882","PF07923,PF11882",supports_commons
109.4.1.1320,2168367,e6fv0A1,provisional,t,109.4.1.194,"PF13176,PF13374,PF13424","PF13374,PF13424",points_other
109.4.1.1324,3629784,A0A044RSV2_F1_nD2,provisional,t,109.4.1.704,"PF08336,PF23558",PF23558,points_other
109.4.1.1326,1879627,e5g04C1,provisional,t,109.4.1.56,"PF04049,PF13181,PF13414",,no_arch
109.4.1.1329,2067064,e5k04A1,provisional,t,109.4.1.140,"PF09797,PF31234","PF09797,PF31234",supports_commons
109.4.1.1332,1316581,e2ru4B1,manual,t,109.4.1.2,"PF00514,PF13646,PF16186","PF00514,PF16186",points_other
109.4.1.1340,3187681,U7PW27_F1_nD2,provisional,t,109.4.1.373,"PF08318,PF20662,PF20663","PF08318,PF20662,PF20663",supports_commons
109.4.1.1345,4578,e1qgrA1,manual,t,109.4.1.55,"PF02985,PF03810,PF13513,PF25574",,no_arch
109.4.1.1347,1182357,e2jlbB6,provisional,t,109.4.1.201,"PF13432,PF14559",,no_arch
109.4.1.1348,3199705,C0NXB2_F1_nD5,provisional,t,109.4.1.784,"PF00515,PF13176,PF13374,PF13424",PF13424,points_other
109.4.1.1359,3101308,e8pkpQ1,provisional,t,109.4.1.186,"PF00515,PF12895,PF13176,PF13424",,no_arch
109.4.1.1360,3192734,U7Q3D4_F1_nD3,provisional,t,109.4.1.574,"PF03914,PF07540","PF03914,PF07540",supports_commons
109.4.1.1362,3773276,A0A0G2K9P5_F1_nD2,provisional,t,109.4.1.556,PF20649,PF20649,supports_commons
109.4.1.1366,3411060,M9PCG3_F1_nD5,provisional,t,109.4.1.366,"PF11878,PF28208","PF11878,PF28208",supports_commons
109.4.1.1373,3676400,A0A1D6K7X2_F1_nD3,provisional,t,109.4.1.594,"PF10474,PF10475","PF10474,PF10475",supports_commons
109.4.1.1380,3196629,C0NWI6_F1_nD1,provisional,t,109.4.1.377,"PF00514,PF01749,PF13646,PF16186","PF00514,PF01749,PF13646,PF16186",supports_commons
109.4.1.1387,3774342,D4A0C3_F1_nD1,provisional,t,,"PF09742,PF12722",PF12722,points_other
109.4.1.1394,4551,e1elrA1,manual,t,109.4.1.5,"PF00515,PF13181,PF13424",,no_arch
109.4.1.1395,1140573,e4c0oA1,provisional,t,109.4.1.112,"PF08389,PF24138,PF24139,PF24140",,no_arch
109.4.1.1397,3071370,e8c6jS1,provisional,t,109.4.1.28,"PF02184,PF23231,PF23233,PF23241,PF29376",,no_arch
109.4.1.1398,1673889,e4ui9O2,manual,t,109.4.1.185,"PF12862,PF13374,PF29127",,no_arch
109.4.1.1399,3410210,Q9VW83_F1_nD2,provisional,t,109.4.1.533,"PF03542,PF11864","PF03542,PF11864",supports_commons
109.4.1.1406,3178496,Q06708_F1_nD1,provisional,t,109.4.1.765,"PF02985,PF12755",PF12755,supports_old
109.4.1.1413,4613,e1xqrA1,manual,t,,PF28415,,no_arch
109.4.1.1420,3921528,A0A0R4ISV1_F1_nD1,provisional,t,109.4.1.331,"PF20210,PF25468","PF20210,PF25468",supports_commons
109.4.1.1427,1879641,e5g04X1,provisional,t,109.4.1.119,"PF13174,PF13181,PF14559","PF13181,PF13432",points_other
109.4.1.1429,3869101,A2AGH6_F1_nD1,provisional,t,109.4.1.309,"PF09497,PF12145","PF09497,PF12145",supports_commons
109.4.1.1432,3520480,A0A077ZF34_F1_nD2,provisional,t,109.4.1.442,"PF11732,PF16134","PF11732,PF16134",supports_commons
109.4.1.1435,3189779,U7PVK3_F1_nD2,provisional,t,109.4.1.878,"PF02985,PF22956",PF22956,supports_old
109.4.1.1440,1878863,e5i9fA1,provisional,t,109.4.1.189,"PF01535,PF13041,PF17177,PF23276",,no_arch
109.4.1.1441,3319093,K7LJ63_F1_nD3,provisional,t,109.4.1.795,"PF00515,PF13414,PF13432",PF13432,supports_old
109.4.1.1456,3077426,e8f19A1,provisional,t,109.4.1.46,"PF03810,PF25018","PF03810,PF25018",supports_commons
109.4.1.1466,1910322,e5gm6d1,provisional,t,109.4.1.29,"PF02184,PF23233",,no_arch
109.4.1.1467,4497411,Q96JB2_nD2,provisional,f,,"PF04136,PF20671,PF31184","PF04136,PF20671,PF31184",supports_commons
109.4.1.1473,151899,e4gcnA1,provisional,t,109.4.1.8,"PF13181,PF13414,PF13424","PF13414,PF13424",points_other
109.4.1.1478,4012551,A0A175VNH6_F1_nD1,provisional,t,109.4.1.792,"PF13414,PF13432","PF13414,PF13432",supports_commons
109.4.1.1482,3724744,A0A0D2F638_F1_nD1,provisional,t,109.4.1.553,"PF03810,PF08389,PF24138,PF24139,PF24140","PF03810,PF08389,PF24138,PF24139,PF24140",supports_commons
109.4.1.1486,3801223,A0A0H5SQ58_F1_nD1,provisional,t,,"PF14837,PF14838","PF14837,PF14838",supports_commons
109.4.1.1490,3744254,Q9HDV6_F1_nD3,provisional,t,109.4.1.443,"PF14225,PF14228","PF14225,PF14228",supports_commons
109.4.1.1493,4415123,Q4V8C2_nD3,provisional,f,,"PF20665,PF20666,PF22766","PF20665,PF20666,PF22766",supports_commons
109.4.1.1499,1910263,e5khrX1,provisional,t,109.4.1.98,"PF07719,PF13174,PF14559",,no_arch
109.4.1.1501,4586,e1u6gC1,manual,t,109.4.1.34,"PF02985,PF08623,PF13513,PF23271,PF25782",,no_arch
109.4.1.1506,3190723,U7Q473_F1_nD1,provisional,t,109.4.1.416,"PF02985,PF13513,PF18808,PF18829,PF25574,PF25780","PF13513,PF18808,PF18829,PF25574,PF25780",points_other
109.4.1.1526,3696959,A0A1C1CRU4_F1_nD4,provisional,t,109.4.1.326,"PF14663,PF14664,PF14666,PF14668","PF14663,PF14664,PF14666,PF14668",supports_commons
109.4.1.1532,3312444,K7K6S1_F1_nD1,provisional,t,109.4.1.667,"PF14694,PF14695","PF14694,PF14695",supports_commons
109.4.1.1536,424333,e3as5A1,provisional,t,109.4.1.202,"PF13176,PF13181,PF13432,PF14559",,no_arch
109.4.1.1537,2171546,e6c6kA1,provisional,t,109.4.1.97,"PF07719,PF13181,PF13374,PF13424",,no_arch
109.4.1.1538,1088203,e4imiA1,provisional,t,109.4.1.163,"PF11935,PF20168",,no_arch
109.4.1.1539,1290148,e3w3tA1,provisional,t,109.4.1.205,"PF13513,PF18808,PF18816,PF18829,PF25574,PF25780",,no_arch
109.4.1.1547,3582059,A0A3P7EIW2_F1_nD2,provisional,t,109.4.1.352,PF29709,PF29709,supports_commons
109.4.1.1551,3735897,A0A0D2HAB4_F1_nD1,provisional,t,109.4.1.472,"PF10257,PF19314","PF10257,PF19314",supports_commons
109.4.1.1562,1610272,e3cvqA1,provisional,t,109.4.1.196,"PF13431,PF13432,PF14559",,no_arch
109.4.1.1571,1148603,e2xwuB2,provisional,t,109.4.1.49,"PF03810,PF08389,PF18773,PF18786,PF18806,PF24138,PF24139,PF24140","PF03810,PF08389,PF18773,PF18786,PF18806,PF24138,PF24139,PF24140",supports_commons
109.4.1.1588,4886297,Q2UBW0_nD3,provisional,f,,"PF27584,PF27595,PF30849",,no_arch
109.4.1.1593,3846956,Q8BKC5_F1_nD1,provisional,t,109.4.1.569,"PF02985,PF13513,PF18808,PF18816,PF18829,PF25574,PF25780","PF02985,PF13513,PF18808,PF18816,PF18829,PF25574,PF25780",supports_commons
109.4.1.1613,2875707,e8a3tK1,provisional,t,109.4.1.96,"PF07719,PF12895,PF13181",,no_arch
109.4.1.1630,2125177,e5oqlE1,provisional,t,109.4.1.123,"PF08640,PF23233",,no_arch
109.4.1.1642,3376836,A0A0R0EYH1_F1_nD1,provisional,t,109.4.1.494,"PF11707,PF16201",PF11707,supports_old
109.4.1.1644,3993353,A0A3P7QUL0_F1_nD2,provisional,t,109.4.1.330,"PF09324,PF20252","PF09324,PF20252",supports_commons
109.4.1.1646,4013755,A0A175VX08_F1_nD3,provisional,t,109.4.1.403,"PF11817,PF29907",PF11817,supports_old
109.4.1.1654,4275441,Q92797_nD2,provisional,f,,"PF11935,PF12295","PF11935,PF12295",supports_commons
109.4.1.1660,3469373,A0A0P0WJ92_F1_nD3,provisional,t,109.4.1.382,PF27570,PF27570,supports_commons
109.4.1.1671,3679543,A0A1D6NMA4_F1_nD1,provisional,t,109.4.1.728,"PF07719,PF13432,PF14559",PF13432,points_other
109.4.1.1673,3180417,U7PWN8_F1_nD2,provisional,t,109.4.1.794,"PF13428,PF13432,PF14559,PF29376","PF13432,PF14559,PF29376",supports_commons
109.4.1.1685,3208003,C0NW09_F1_nD3,provisional,t,109.4.1.1241,"PF27595,PF30849","PF27595,PF30849",supports_commons
109.4.1.1687,3563491,Q2VPB7_F1_nD1,provisional,t,109.4.1.854,"PF21587,PF21588","PF21587,PF21588",ambiguous_both
109.4.1.1693,4137777,Q09796_nD1,provisional,f,,PF29955,"PF18806,PF29955",points_other
109.4.1.1697,2323971,e5ve8B1,manual,t,,"PF02985,PF03810,PF25574,PF25780",,no_arch
109.4.1.1707,4563,e2c2lA1,manual,t,109.4.1.9,"PF00515,PF12895,PF13181,PF18391",,no_arch
109.4.1.1738,3462725,A0A0P0X0Q1_F1_nD2,provisional,t,109.4.1.351,"PF01535,PF12854,PF13041,PF14432,PF20430,PF20431","PF01535,PF12854,PF13041,PF14432,PF20430,PF20431",supports_commons
109.4.1.1753,4029506,A0A143ZWU2_F1_nD2,provisional,t,109.4.1.740,PF02526,PF02526,ambiguous_both
109.4.1.1755,3692616,A0A1C1CCP9_F1_nD2,provisional,t,109.4.1.460,"PF07539,PF20416,PF23099","PF07539,PF20416,PF23099",supports_commons
109.4.1.1773,2462397,e6n1zD1,provisional,t,109.4.1.54,"PF03810,PF25018,PF25758",,no_arch
109.4.1.1807,3530947,Q9HCE0_F1_nD4,provisional,t,109.4.1.1181,"PF26573,PF30504","PF26573,PF30504",supports_commons
109.4.1.1815,3586120,A0A3P7FQ37_F1_nD3,provisional,t,109.4.1.714,PF30838,PF30838,supports_commons
109.4.1.1824,3728562,A0A0D2GKX4_F1_nD1,provisional,t,109.4.1.396,"PF10487,PF18378,PF21093","PF10487,PF18378,PF21093",supports_commons
109.4.1.1829,4545933,Q9USP3_nD1,provisional,f,,"PF12921,PF13812","PF12921,PF13812",supports_commons
109.4.1.1844,3990840,A0A0N4UFH6_F1_nD2,provisional,t,109.4.1.341,"PF00515,PF13374,PF13424",PF13424,points_other
109.4.1.1862,3680397,A0A1D6IKD5_F1_nD2,provisional,t,109.4.1.813,"PF10408,PF19322,PF25576","PF10408,PF25576",supports_commons
109.4.1.1874,3273328,Q54TT4_F1_nD5,provisional,t,109.4.1.821,"PF20671,PF31184",PF31184,supports_commons
109.4.1.1878,3916712,E7FGT5_F1_nD1,provisional,t,109.4.1.539,"PF11229,PF12530","PF11229,PF12530",supports_commons
109.4.1.1920,1118456,e4i9cA1,provisional,t,109.4.1.187,"PF12895,PF13181,PF13424,PF18801",,no_arch
109.4.1.1924,3627161,A0A044UWH4_F1_nD1,provisional,t,109.4.1.816,"PF20412,PF27567","PF20412,PF27567",supports_commons
109.4.1.1926,3502203,A0A077Z8Y4_F1_nD1,provisional,t,109.4.1.780,"PF13181,PF13374,PF13414,PF14559",PF13414,points_other
109.4.1.1932,3171078,P34241_F1_nD2,provisional,t,109.4.1.590,"PF16201,PF26140","PF16201,PF26140",supports_commons
109.4.1.1933,3723992,A0A0D2D962_F1_nD4,provisional,t,109.4.1.802,"PF13428,PF14559,PF23240","PF14559,PF23240",supports_commons
109.4.1.1945,3216039,K8ERU3_F1_nD1,provisional,t,109.4.1.839,"PF21047,PF23210,PF23221,PF23227","PF21047,PF23210,PF23221,PF23227",supports_commons
109.4.1.1946,3933480,A0A0K0DYM6_F1_nD1,provisional,t,109.4.1.449,"PF07719,PF13181,PF13424","PF07719,PF13181,PF13424",supports_commons
109.4.1.1965,2841850,e6whbA1,provisional,t,109.4.1.265,PF28295,,no_arch
109.4.1.1974,3171188,P33892_F1_nD1,provisional,t,109.4.1.638,"PF12074,PF24993","PF12074,PF24993",supports_commons
109.4.1.1975,3194616,U7Q5H6_F1_nD10,provisional,t,109.4.1.544,"PF10274,PF25801","PF10274,PF25801",supports_commons
109.4.1.1996,3672750,A0A1D6QSM7_F1_nD3,provisional,t,109.4.1.483,"PF15787,PF20425",PF20425,supports_old
109.4.1.2025,3543247,O43306_F1_nD1,provisional,t,621.1.1.6,PF16214,PF16214,supports_commons
109.4.1.2031,3411530,Q9VS37_F1_nD1,provisional,t,109.4.1.362,"PF00515,PF12895,PF13181","PF00515,PF12895,PF13181",supports_commons
109.4.1.2043,3863703,Q56A06_F1_nD2,provisional,t,109.4.1.622,"PF13181,PF13374,PF13432","PF08409,PF13424,PF13432",points_other
109.4.1.2093,1122217,e2x1gF1,provisional,t,109.4.1.50,"PF03810,PF08389,PF18773,PF18806,PF24139",,no_arch
109.4.1.2108,3628307,A0A044TN99_F1_nD1,provisional,t,109.4.1.827,"PF12372,PF20926,PF20927","PF12372,PF20926,PF20927",ambiguous_both
109.4.1.2122,3519213,A0A077Z6U1_F1_nD1,provisional,t,109.4.1.863,"PF20665,PF22766","PF20665,PF22766",ambiguous_both
109.4.1.2124,3520619,A0A077Z7F2_F1_nD1,provisional,t,109.4.1.825,"PF12372,PF20926","PF12372,PF20926",ambiguous_both
109.4.1.2130,2129015,e5m32i1,provisional,t,109.4.1.26,"PF01851,PF13646",,no_arch
109.4.1.2153,3525477,Q8N612_F1_nD2,provisional,t,,PF19314,"PF19311,PF19314",points_other
109.4.1.2174,3298342,A0A0R0IKU5_F1_nD1,provisional,t,109.4.1.357,"PF02985,PF11916,PF12755,PF24987","PF11916,PF12755",points_other
109.4.1.2176,3344993,A0A0R0JW92_F1_nD1,provisional,t,109.4.1.412,"PF13513,PF18808,PF18829,PF25574,PF25780","PF18808,PF18829,PF25574,PF25780",supports_commons
109.4.1.2194,3182967,U7PP98_F1_nD6,provisional,t,109.4.1.781,"PF07721,PF13374,PF13424,PF13432","PF13374,PF13424",supports_old
109.4.1.2200,3640594,C1GZN2_F1_nD2,provisional,t,109.4.1.446,"PF14222,PF14225,PF14228","PF14222,PF14225,PF14228",supports_commons
109.4.1.2230,3469648,Q0J365_F1_nD1,provisional,t,,"PF06012,PF06025","PF06012,PF06025",supports_commons
109.4.1.2318,3539714,Q96AY4_F1_nD2,provisional,t,109.4.1.788,"PF07719,PF13176,PF13181,PF13424","PF13176,PF13424",points_other
109.4.1.2341,4381731,O43299_nD1,provisional,f,,"PF14764,PF25153,PF25154","PF14764,PF25153,PF25154",supports_commons
109.4.1.2343,4548088,O46089_nD1,provisional,f,,"PF14910,PF14911","PF14910,PF14911",supports_commons
109.4.1.2364,4008042,P45955_F1_nD2,provisional,t,109.4.1.378,"PF13174,PF13432,PF16331","PF13174,PF16331",points_other
109.4.1.2366,4433559,P53185_nD2,provisional,f,,PF22575,,supports_commons
109.4.1.2374,2420868,e5vxvA1,provisional,t,,PF30033,,no_arch
109.4.1.2376,3410378,Q9VB22_F1_nD2,provisional,t,109.4.1.402,"PF02188,PF13176,PF13424","PF02188,PF13424",supports_commons
109.4.1.2378,3842495,Q8BSY0_F1_nD1,provisional,t,109.4.1.748,"PF05279,PF13174,PF13181,PF13432","PF05279,PF13181,PF13432",supports_commons
109.4.1.2400,3762807,Q6AYM9_F1_nD1,provisional,t,,PF03798,PF03798,supports_commons
109.4.1.2423,3407960,Q9W1C5_F1_nD5,provisional,t,109.4.1.874,"PF22928,PF22929","PF22928,PF22929",ambiguous_both
109.4.1.2437,180062,e3q15A1,provisional,t,109.4.1.253,"PF13176,PF18801",,no_arch
109.4.1.2447,3098939,e8or3C1,provisional,t,109.4.1.122,"PF08623,PF13513,PF23271,PF25782",,no_arch
109.4.1.2483,3502566,A0A077Z5M3_F1_nD1,provisional,t,109.4.1.462,"PF07721,PF13181,PF14559,PF25058,PF25060,PF25064","PF13181,PF13432,PF25058,PF25060,PF25064",points_other
109.4.1.2498,3501148,A0A077ZGN2_F1_nD1,provisional,t,109.4.1.488,"PF06889,PF27158,PF30223","PF06889,PF27158,PF30223",supports_commons
109.4.1.2507,3633705,A0A0A2V3X6_F1_nD1,provisional,t,109.4.1.656,"PF13513,PF18808,PF18816,PF18829,PF25574","PF13513,PF18808,PF18816,PF18829,PF25574",supports_commons
109.4.1.2516,3734422,A0A0D2GTF1_F1_nD2,provisional,t,109.4.1.534,"PF18808,PF18816,PF18829,PF25780","PF18808,PF18816,PF18829,PF25780",supports_commons
109.4.1.2529,3791133,A0A0J9XLP4_F1_nD2,provisional,t,109.4.1.861,"PF02985,PF12755,PF22646,PF22956,PF25757","PF22646,PF22956",points_other
109.4.1.2612,4022212,A0A175VUR9_F1_nD1,provisional,t,109.4.1.417,"PF02985,PF12460,PF13513,PF18808,PF18816,PF18829,PF25574,PF25780","PF13513,PF18808,PF18816,PF18829,PF25574,PF25780",points_other
109.4.1.2662,3683800,A0A1D6L0X5_F1_nD1,provisional,t,109.4.1.421,"PF02985,PF18808,PF18829,PF23271,PF25574,PF25780","PF02985,PF18808,PF18829,PF23271,PF25574,PF25780",supports_commons
109.4.1.2676,3671849,A0A1D6MXR6_F1_nD4,provisional,t,109.4.1.753,"PF05843,PF13428,PF14559,PF29376","PF05843,PF14559,PF29376",supports_commons
109.4.1.2718,3585480,A0A3P7DLC8_F1_nD1,provisional,t,109.4.1.873,"PF22927,PF22929","PF22927,PF22929",ambiguous_both
109.4.1.2771,3410402,A1Z7L1_F1_nD2,provisional,t,109.4.1.617,"PF14675,PF14676,PF14677,PF14678,PF14680","PF14675,PF14676,PF14677,PF14678,PF14680",supports_commons
