f_id,current_name,correct_name,introduced_release
109.4.1.1496,"NatA_aux_su, TPR_8, PF31234","NatA_aux_su, TPR_8, TPR_Psidin_N",v293.1
109.4.1.1498,"ATP13, PF30078","ATP13, ATPase_expression_N",v293.1
109.4.1.1515,"TPR_8, PF31234","TPR_8, TPR_Psidin_N",v293.1
109.4.1.1517,"Cnd1, PF26778, PF26779","Cnd1, HEAT_NCAPD3, HEAT_NCAPD3_2",v293.1
109.4.1.1542,"TPR_DOP1, PF26706","TPR_DOP1, TPR_DOP1B",v293.1
109.4.1.1564,"PF28736, PF28737","VPS18_solenoid_1st, VPS18_solenoid_2nd",v293.1
109.4.1.1566,"TPR_8, PF30481, PF30484","TPR_8, ETO1_N, ETO1_C",v293.1
109.4.1.1575,"PF29148, PF29151, PF29158","YPP1_N, YPP1_middle, YPP1_C",v293.1
109.4.1.1582,"FPL, PF29709","FPL, CLEC16A_helical",v293.1
109.4.1.1588,"PF27584, PF27595, PF30849","HIR3_helical, HIR3_bundle, HIR3_TPR_2",v293.1
109.4.1.1596,"PF27769, PF27774","MED33_C, MED33_TPR-like_mid",v293.1
109.4.1.1597,"PF30481, PF30484","ETO1_N, ETO1_C",v293.1
109.4.1.1628,"FAST_1, PF26188","FAST_1, RESC6",v293.1
109.4.1.1640,"PF29127, PF29567","SUCH1_C, APC5_TPR",v293.1
109.4.1.1646,"Foie-gras_1, PF29907","Foie-gras_1, TRAPPC11_N",v293.1
109.4.1.1673,"TPR_14, TPR_16, TPR_19, PF29376","TPR_14, TPR_16, TPR_19, PRP6_TPR",v293.1
109.4.1.1683,"TPR_8, PF30484","TPR_8, ETO1_C",v293.1
109.4.1.1685,"PF27595, PF30849","HIR3_bundle, HIR3_TPR_2",v293.1
109.4.1.1694,"PF28753, PF28771","RMD9_N, RMD9_mid",v293.1
109.4.1.1695,"PF28745, PF28771","RMD9_C, RMD9_mid",v293.1
109.4.1.1727,"PF27635, PF27670","Mahjong_helical, DCAF1_N",v293.1
109.4.1.1747,"PF28518, PF30921, PF30924","GIGANTEA_C, GIGANTEA_M, GIGANTEA_N",v293.1
109.4.1.1750,"PF27600, PF27601, PF27635","DCAF1_helical, DCAF1_4th, Mahjong_helical",v293.1
109.4.1.1789,"PF28502, PF28503, PF30404","PAB_middle, PAB_C, PAB_N",v293.1
109.4.1.1801,"PF29849, PF29851, PF29853","SYS1_C, SYS1_N, SYS1_M",v293.1
109.4.1.1803,"Sel1, PF27483","Sel1, TPR_AlgK",v293.1
109.4.1.1804,"Arm, HEAT_2, ARM_PUB, PF28415","Arm, HEAT_2, ARM_PUB, SIL1_FES1_HPBP1_C",v293.1
109.4.1.1806,"PF27737, PF27745","TPR-like_Epg5, Epg5_N",v293.1
109.4.1.1807,"PF26573, PF30504","TPR_Epg5_2, Epg5_M_TPR",v293.1
109.4.1.1808,"Cnd3, PF30235","Cnd3, C30G12_N",v293.1
109.4.1.1826,"PF27751, PF29050","ATEG07667_C, WAR1_C",v293.1
109.4.1.1833,"PF27600, PF27601","DCAF1_helical, DCAF1_4th",v293.1
109.4.1.1854,"PF28619, PF28652, PF28655","SUV2_M, SUV2_N, SUV2_C",v293.1
109.4.1.1859,"HEAT, HEAT_EZ, HEAT_EF3_GNC1, HEAT_EF3_N, PF26715","HEAT, HEAT_EZ, HEAT_EF3_GNC1, HEAT_EF3_N, HEAT_GCN1_2",v293.1
109.4.1.1867,"Npa1, PF26140","Npa1, HEAT_URB1",v293.1
109.4.1.1871,"DNA_pol_phi, PF26720","DNA_pol_phi, TPR_Mybbp1a",v293.1
109.4.1.1874,"COG3_C, PF31184","COG3_C, COG3_Ccap",v293.1
109.4.1.1881,"PF28745, PF28753, PF28771","RMD9_C, RMD9_N, RMD9_mid",v293.1
109.4.1.1883,"PF26228, PF26229","RESC9_N, RESC9_M",v293.1
109.4.1.1887,"PF26001, PF27739, PF27740, PF27812","Pex8_N, PEX8_C, PEX8_helical, PEX8_TPR_mid",v293.1
109.4.1.1901,"NatA_aux_su, TPR_11, PF31234","NatA_aux_su, TPR_11, TPR_Psidin_N",v293.1
109.4.1.1918,"IBN_N, Xpo1, PF26714","IBN_N, Xpo1, TPR_XPO6_C",v293.1
109.4.1.1921,"NatA_aux_su, TPR_16, TPR_19, PF31234","NatA_aux_su, TPR_16, TPR_19, TPR_Psidin_N",v293.1
109.4.1.1924,"RALGAPB_N, PF27567","RALGAPB_N, RALGAPA1_N",v293.1
109.4.1.1932,"NopRA1, PF26140","NopRA1, HEAT_URB1",v293.1
109.4.1.1935,"DUF2428, TPR_Trm732, PF26523","DUF2428, TPR_Trm732, Trm732_C",v293.1
109.4.1.1937,"Npa1, NopRA1, PF26140","Npa1, NopRA1, HEAT_URB1",v293.1
109.4.1.1940,"TIP120, TPR_CAND1, PF28359","TIP120, TPR_CAND1, CandA_N",v293.1
109.4.1.1943,"PF26103, PF26106","TPR_Epg5, TPR_Epg5_C",v293.1
109.4.1.1952,"TPR_19, PF30475","TPR_19, IFT56",v293.1
109.4.1.1966,"PF30299, PF30301","MPSS2_N, MPSS2_M",v293.1
109.4.1.1978,"TPR_1, TPR_2, ANAPC3, TPR_8, TPR_16, PF29407","TPR_1, TPR_2, ANAPC3, TPR_8, TPR_16, CFAP70_TPR_C",v293.1
109.4.1.1987,"PF30357, PF30359","RELCH_N, RELCH_C",v293.1
109.4.1.2006,"HEAT, PF29896","HEAT, PPFR1_M",v293.1
109.4.1.2011,"Cnd1, PF26778","Cnd1, HEAT_NCAPD3",v293.1
109.4.1.2015,"TPR_8, PF30475","TPR_8, IFT56",v293.1
109.4.1.2020,"HEAT, Fes1, PF28415","HEAT, Fes1, SIL1_FES1_HPBP1_C",v293.1
109.4.1.2029,"Arm, PF27652, PF30701","Arm, ARMC6_N, ARMC6",v293.1
109.4.1.2030,"PPR_2, PF29347","PPR_2, CCM1_C",v293.1
109.4.1.2040,"DOP1_C, TPR_DOP1, PF26706","DOP1_C, TPR_DOP1, TPR_DOP1B",v293.1
109.4.1.2079,"PF27158, PF30223","DjlB_C_2nd, DjlC_C",v293.1
109.4.1.2081,"PF26172, PF26188","RESC8, RESC6",v293.1
109.4.1.2088,"Dopey_N, TPR_DOP1_M, PF26706","Dopey_N, TPR_DOP1_M, TPR_DOP1B",v293.1
109.4.1.2090,"PF28851, PF28893","Gem4_N, Gem4_1st_TPR",v293.1
109.4.1.2096,"TPR_6, TPR_19, PF30363, PF30475","TPR_6, TPR_19, IFT70_C, IFT56",v293.1
109.4.1.2118,"HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, PF26715","HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, HEAT_GCN1_2",v293.1
109.4.1.2144,"PF27737, PF30504","TPR-like_Epg5, Epg5_M_TPR",v293.1
109.4.1.2146,"PF27652, PF30701","ARMC6_N, ARMC6",v293.1
109.4.1.2148,"Dopey_N, TPR_DOP1, PF26706","Dopey_N, TPR_DOP1, TPR_DOP1B",v293.1
109.4.1.2157,"NatA_aux_su, TPR_8, TPR_11, PF31234","NatA_aux_su, TPR_8, TPR_11, TPR_Psidin_N",v293.1
109.4.1.2171,"PF30921, PF30924","GIGANTEA_M, GIGANTEA_N",v293.1
109.4.1.2182,"NatB_MDM20, PF31234, PF31236","NatB_MDM20, TPR_Psidin_N, Psidin_C",v293.1
109.4.1.2193,"TPR_DOP1_M, PF26706","TPR_DOP1_M, TPR_DOP1B",v293.1
109.4.1.2201,"PF26001, PF27739, PF27812","Pex8_N, PEX8_C, PEX8_TPR_mid",v293.1
109.4.1.2202,"PF27584, PF27595","HIR3_helical, HIR3_bundle",v293.1
109.4.1.2222,"PF29413, PF29499","BEM4-like_N, BEM4_C",v293.1
109.4.1.2225,"TPR_8, TPR_14, TPR_19, HAT_PRP39_N, PF29376","TPR_8, TPR_14, TPR_19, HAT_PRP39_N, PRP6_TPR",v293.1
109.4.1.2254,"ANAPC3, PF30475","ANAPC3, IFT56",v293.1
109.4.1.2255,"PF30195, PF30196","WRM1_N, WRM1_C",v293.1
109.4.1.2285,"PF29011, PF29088","DDB_G0280785_1st_TPR, DUF8503",v293.1
109.4.1.2291,"HEAT, PF30357, PF30359","HEAT, RELCH_N, RELCH_C",v293.1
109.4.1.2296,"Dopey_N, TPR_DOP1_M, DOP1_C, TPR_DOP1, PF26706","Dopey_N, TPR_DOP1_M, DOP1_C, TPR_DOP1, TPR_DOP1B",v293.1
109.4.1.2297,"TPR_8, TPR_16, PF29386, PF29407","TPR_8, TPR_16, CFAP70_mid_TPR, CFAP70_TPR_C",v293.1
109.4.1.2331,"TPR_1, PF30481, PF30484","TPR_1, ETO1_N, ETO1_C",v293.1
109.4.1.2344,"PF30023, PF30024","PET494_N, PET494_C",v293.1
109.4.1.2352,"PF29558, PF29954, PF29957","CBP1_cbp8, CBP1_middle, CBP1_N",v293.1
109.4.1.2381,"NatA_aux_su, PF31234","NatA_aux_su, TPR_Psidin_N",v293.1
109.4.1.2385,"TPR_1, TPR_8, PF30484","TPR_1, TPR_8, ETO1_C",v293.1
109.4.1.2386,"TPR_1, NatA_aux_su, PF31234","TPR_1, NatA_aux_su, TPR_Psidin_N",v293.1
109.4.1.2393,"HEAT, VPS15-like_hel, PF29896","HEAT, VPS15-like_hel, PPFR1_M",v293.1
109.4.1.2397,"ANAPC3, TPR_8, PF30475","ANAPC3, TPR_8, IFT56",v293.1
109.4.1.2401,"PF29070, PF30136","MSC6_N, MSC6_C",v293.1
109.4.1.2402,"PF27584, PF27595, PF27648, PF30849","HIR3_helical, HIR3_bundle, HIR3_C, HIR3_TPR_2",v293.1
109.4.1.2403,"TPR_2, NatA_aux_su, TPR_8, PF31234","TPR_2, NatA_aux_su, TPR_8, TPR_Psidin_N",v293.1
109.4.1.2405,"NatB_MDM20, PF31236","NatB_MDM20, Psidin_C",v293.1
109.4.1.2406,"PF29901, PF29903, PF29904","THR_C, THR_M, THR_N",v293.1
109.4.1.2420,"PF28853, PF28855","Gem4_second_TPR, Gem4_C",v293.1
109.4.1.2449,"ANAPC5, PF29127","ANAPC5, SUCH1_C",v293.1
109.4.1.2458,"HEAT, Cnd1, PF26777, PF26778","HEAT, Cnd1, NCAPD3_N, HEAT_NCAPD3",v293.1
109.4.1.2469,"HEAT, HEAT_MROH2B_C, HEAT_EF3_GNC1, HEAT_EF3_N, PF26715","HEAT, HEAT_MROH2B_C, HEAT_EF3_GNC1, HEAT_EF3_N, HEAT_GCN1_2",v293.1
109.4.1.2476,"UNC-79, PF26723","UNC-79, HEAT_UNC79_C",v293.1
109.4.1.2481,"TPR_16, PF29376","TPR_16, PRP6_TPR",v293.1
109.4.1.2482,"Arm, PF29313","Arm, BAR1_C",v293.1
109.4.1.2496,"TPR_2, TPR_8, TPR_12, TPR_16, ARM_TT21, PF30153, PF30154","TPR_2, TPR_8, TPR_12, TPR_16, ARM_TT21, TPR_YpiA_C, TPR_YpiA",v293.1
109.4.1.2498,"DUF1266, PF27158, PF30223","DUF1266, DjlB_C_2nd, DjlC_C",v293.1
109.4.1.2511,"NatA_aux_su, ANAPC3, TPR_8, TPR_19, PF31234","NatA_aux_su, ANAPC3, TPR_8, TPR_19, TPR_Psidin_N",v293.1
109.4.1.2522,"STAG, SCD, PF31007","STAG, SCD, STAG_C",v293.1
109.4.1.2556,"TPR_19, PF30363, PF30475","TPR_19, IFT70_C, IFT56",v293.1
109.4.1.2567,"Arm, IBB, PF28415","Arm, IBB, SIL1_FES1_HPBP1_C",v293.1
109.4.1.2596,"TPR_2, NatA_aux_su, PF31234","TPR_2, NatA_aux_su, TPR_Psidin_N",v293.1
109.4.1.2598,"PF27769, PF27774, PF27814","MED33_C, MED33_TPR-like_mid, MED33_TPR-like_2nd",v293.1
109.4.1.2602,"Arm, Fes1, PF28415","Arm, Fes1, SIL1_FES1_HPBP1_C",v293.1
109.4.1.2603,"PF30306, PF30307","MPSS1_M, MPSS1_C",v293.1
109.4.1.2604,"TPR_19, ARM_TT21, PF30153, PF30154","TPR_19, ARM_TT21, TPR_YpiA_C, TPR_YpiA",v293.1
109.4.1.2619,"DUF2428, TPR_Trm732, TPR_Trm732_C, PF26523","DUF2428, TPR_Trm732, TPR_Trm732_C, Trm732_C",v293.1
109.4.1.2621,"NatA_aux_su, TPR_8, TPR_16, PF31234","NatA_aux_su, TPR_8, TPR_16, TPR_Psidin_N",v293.1
109.4.1.2622,"TPR_1, ANAPC3, TPR_8, TPR_16, TPR_19, PF29407","TPR_1, ANAPC3, TPR_8, TPR_16, TPR_19, CFAP70_TPR_C",v293.1
109.4.1.2627,"ANAPC3, TPR_8, TPR_16, TPR_19, PF29386","ANAPC3, TPR_8, TPR_16, TPR_19, CFAP70_mid_TPR",v293.1
109.4.1.2657,"HEAT_MROH2B_C, PF26767","HEAT_MROH2B_C, HEAT_SGR6",v293.1
109.4.1.2670,"Neurobeachin, PF28615","Neurobeachin, DDB_G0281251",v293.1
109.4.1.2676,"Suf, TPR_14, TPR_19, PF29376","Suf, TPR_14, TPR_19, PRP6_TPR",v293.1
109.4.1.2681,"TPR_11, PF31234","TPR_11, TPR_Psidin_N",v293.1
109.4.1.2683,"PF26724, PF30216, PF30261","TPR_PRD1, TPR_PRD1_C, TPR_PRD1_N",v293.1
109.4.1.2689,"TPR_8, PF29063","TPR_8, ACL4_C",v293.1
109.4.1.2693,"PF27739, PF27740","PEX8_C, PEX8_helical",v293.1
109.4.1.2717,"PF26103, PF27745","TPR_Epg5, Epg5_N",v293.1
109.4.1.2719,"GNC1_N, PF26715","GNC1_N, HEAT_GCN1_2",v293.1
109.4.1.2747,"PF30699, PF30700","ARM_GAC_2, ARM_GAC_1st",v293.1
109.4.1.2754,"TPR_14, TPR_19, HAT_PRP39_N, PF29376","TPR_14, TPR_19, HAT_PRP39_N, PRP6_TPR",v293.1
109.4.1.2756,"TPR_14, TPR_19, HAT_Syf1_CNRKL1_C, HAT_PRP39_N, PF29376","TPR_14, TPR_19, HAT_Syf1_CNRKL1_C, HAT_PRP39_N, PRP6_TPR",v293.1
109.4.1.2760,"TPR_8, PF26725","TPR_8, TPR_INTS8_3",v293.1
109.4.1.2761,"IBN_N, TPR_XPO7, PF28490","IBN_N, TPR_XPO7, XPO4",v293.1
109.4.1.2776,"PPR, PF29347","PPR, CCM1_C",v293.1
109.4.1.2782,"TPR_6, PF30363, PF30475","TPR_6, IFT70_C, IFT56",v293.1
109.4.1.2783,"TPR_7, TPR_8, PF31234","TPR_7, TPR_8, TPR_Psidin_N",v293.1
109.4.1.2786,"PF26573, PF27737, PF30504","TPR_Epg5_2, TPR-like_Epg5, Epg5_M_TPR",v293.1
109.4.1.2788,"TPR_2, TPR_6, PF30363, PF30475","TPR_2, TPR_6, IFT70_C, IFT56",v293.1
109.4.1.2789,"PF29386, PF29407","CFAP70_mid_TPR, CFAP70_TPR_C",v293.1
109.4.1.2791,"CNOT11, PF27642","CNOT11, CNOT11_N",v293.1
109.4.1.2797,"HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, GNC1_N, PF26715","HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, GNC1_N, HEAT_GCN1_2",v293.1
109.4.1.2819,"TPR_2, NatA_aux_su, TPR_8, TPR_16, PF31234","TPR_2, NatA_aux_su, TPR_8, TPR_16, TPR_Psidin_N",v293.1
109.4.1.2839,"TPR_8, TPR_14, TPR_19, PF29376","TPR_8, TPR_14, TPR_19, PRP6_TPR",v293.1
109.4.1.2840,"Dopey_N, TPR_DOP1_M, DOP1_C, PF26706","Dopey_N, TPR_DOP1_M, DOP1_C, TPR_DOP1B",v293.1
109.4.1.2845,"TPR_2, NatA_aux_su, TPR_16, PF31234","TPR_2, NatA_aux_su, TPR_16, TPR_Psidin_N",v293.1
109.4.1.2851,"PPR, PPR_3, TPR_24, PF29347","PPR, PPR_3, TPR_24, CCM1_C",v293.1
109.4.1.2852,"PPR, PPR_long, PF29347","PPR, PPR_long, CCM1_C",v293.1
109.4.1.2857,"TPR_8, PF29386, PF29407","TPR_8, CFAP70_mid_TPR, CFAP70_TPR_C",v293.1
109.4.1.2872,"TPR_2, TPR_8, TPR_11, TPR_16, PF29407, PF31234","TPR_2, TPR_8, TPR_11, TPR_16, CFAP70_TPR_C, TPR_Psidin_N",v293.1
109.4.1.2889,"TPR_8, PF30989, PF30990","TPR_8, TTC22_C, TTC22_N",v293.1
109.4.1.2897,"HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, TPR_DNAAF5, PF26715","HEAT, HEAT_EF3_GNC1, HEAT_EF3_N, TPR_DNAAF5, HEAT_GCN1_2",v293.1
109.4.1.2898,"Cnd1, PF26777, PF26778","Cnd1, NCAPD3_N, HEAT_NCAPD3",v293.1
109.4.1.2905,"Cnd1, HEAT_Maestro_2, HEAT_MROH2B_1st, HEAT_MROH2B_C, PF26767","Cnd1, HEAT_Maestro_2, HEAT_MROH2B_1st, HEAT_MROH2B_C, HEAT_SGR6",v293.1
109.4.1.2912,"PF27595, PF30992, PF30993, PF30995","HIR3_bundle, CABIN1_C, CABIN1_N, CABIN1_M",v293.1
109.4.1.2914,"NatB_MDM20, TPR_16, PF31234","NatB_MDM20, TPR_16, TPR_Psidin_N",v293.1
109.4.1.2920,"TPR_2, TPR_6, TPR_19, PF30363","TPR_2, TPR_6, TPR_19, IFT70_C",v293.1
109.4.1.2923,"VPS15-like_hel, PF29891, PF29896","VPS15-like_hel, PPFR1_N, PPFR1_M",v293.1
109.4.1.2934,"STAG, PDS5, SCD, HEAT_SCC3-SA, PF31007","STAG, PDS5, SCD, HEAT_SCC3-SA, STAG_C",v293.1
109.4.1.2944,"PF27595, PF30993, PF30995","HIR3_bundle, CABIN1_N, CABIN1_M",v293.1
109.4.1.2962,"PF26724, PF30216","TPR_PRD1, TPR_PRD1_C",v293.1
109.4.1.2972,"PPR, PPR_1, PPR_2, PPR_3, PPR_long, TPR_24, PF29070","PPR, PPR_1, PPR_2, PPR_3, PPR_long, TPR_24, MSC6_N",v293.1
109.4.1.2980,"PF27769, PF27814","MED33_C, MED33_TPR-like_2nd",v293.1
109.4.1.3028,"TPR_6, TPR_8, TPR_17, TPR_16, PF29407, PF30153","TPR_6, TPR_8, TPR_17, TPR_16, CFAP70_TPR_C, TPR_YpiA_C",v293.1
109.4.1.3030,"TPR_8, TPR_17, PF30153","TPR_8, TPR_17, TPR_YpiA_C",v293.1
109.4.1.3032,"TPR_14, TPR_19, PF29376","TPR_14, TPR_19, PRP6_TPR",v293.1
109.4.1.3056,"TPR_7, TPR_8, TPR_12, PF31234","TPR_7, TPR_8, TPR_12, TPR_Psidin_N",v293.1
109.4.1.3086,"TTI1, TPR_TTI1_C, PF26245","TTI1, TPR_TTI1_C, TPR_TTI1_2nd_yeast",v293.1
109.4.1.3103,"HEAT_EZ, HEAT_GCN1_fung, HEAT_EF3_GNC1, HEAT_EF3_N, PF26715","HEAT_EZ, HEAT_GCN1_fung, HEAT_EF3_GNC1, HEAT_EF3_N, HEAT_GCN1_2",v293.1
109.4.1.3120,"PF29901, PF29903","THR_C, THR_M",v293.1
109.4.1.3126,"PF29865, PF29866","MRX5_C, MRX5_M",v293.1
109.4.1.3129,"PF29094, PF29096","MRX12_middle, MRX12_N",v293.1
109.4.1.3146,"TPR_19, PF30154","TPR_19, TPR_YpiA",v293.1
109.4.1.3151,"PF30106, PF30107","YfbP_N, YfbP_C",v293.1
109.4.1.3157,"PF29173, PF29174, PF29177","ECM9_N, ECM9_C, ECM9_middle",v293.1
109.4.1.3163,"PF29832, PF29835","SOV1_middle, SOV1_N",v293.1
109.4.1.3166,"PF29342, PF29343","ADY4_C, ADY4_N",v293.1
109.4.1.3179,"PF26106, PF30504","TPR_Epg5_C, Epg5_M_TPR",v293.1
109.4.1.3198,"ARM_CUL7_CUL9, PF26718","ARM_CUL7_CUL9, TPR_CUL9",v293.1
109.4.1.3203,"PF26103, PF26573, PF27737, PF27745, PF30504","TPR_Epg5, TPR_Epg5_2, TPR-like_Epg5, Epg5_N, Epg5_M_TPR",v293.1
109.4.1.3223,"PF30305, PF30306","MPSS1_N, MPSS1_M",v293.1
109.4.1.3248,"TPR_1, PF31234","TPR_1, TPR_Psidin_N",v293.1
109.4.1.3267,"PF27584, PF27595, PF27596, PF30849","HIR3_helical, HIR3_bundle, HIR3_TPR_N, HIR3_TPR_2",v293.1
109.4.1.3274,"Xpo1, PF26714","Xpo1, TPR_XPO6_C",v293.1
109.4.1.3291,"Cohesin_HEAT, PF26779","Cohesin_HEAT, HEAT_NCAPD3_2",v293.1
109.4.1.3309,"TPR_1, TPR_2, PF30484","TPR_1, TPR_2, ETO1_C",v293.1
109.4.1.3316,"PF29173, PF29177","ECM9_N, ECM9_middle",v293.1
109.4.1.3317,"PPR, TPR_24, PF29347","PPR, TPR_24, CCM1_C",v293.1
109.4.1.3337,"Foie-gras_1, PF30051","Foie-gras_1, Ig_TRAPPC11_1st",v293.1
109.4.1.3366,"ARM_LRRK2, PF27652, PF30701","ARM_LRRK2, ARMC6_N, ARMC6",v293.1
109.4.1.3388,"TPR_16, PF30363","TPR_16, IFT70_C",v293.1
109.4.1.3429,"PF28853, PF28855, PF28893","Gem4_second_TPR, Gem4_C, Gem4_1st_TPR",v293.1
109.4.1.3436,"TPR_1, TPR_2, TPR_8, PF29386","TPR_1, TPR_2, TPR_8, CFAP70_mid_TPR",v293.1
109.4.1.3453,"PF30334, PF30337","TBC2_N, TBC2_C",v293.1
109.4.1.3465,"Cnd1, PF26777, PF26779","Cnd1, NCAPD3_N, HEAT_NCAPD3_2",v293.1
109.4.1.3481,"PF27104, PF29489","FimW_N, FimW_M",v293.1
109.4.1.3503,"PF28415, PF29875","SIL1_FES1_HPBP1_C, Sil1_beta",v293.1
109.4.1.3518,"PF28913, PF28915","ATRIP_mid, Mus304_C",v293.1
109.4.1.3523,"PF29546, PF29547","Ice1_2nd, Ice1_1st",v293.1
109.4.1.3560,"NatA_aux_su, TPR_14, PF31234","NatA_aux_su, TPR_14, TPR_Psidin_N",v293.1
109.4.1.3561,"TPR_8, PF29151","TPR_8, YPP1_middle",v293.1
109.4.1.3581,"Arm, Arm_2, HEAT_2, ARM_PUB, PF28415","Arm, Arm_2, HEAT_2, ARM_PUB, SIL1_FES1_HPBP1_C",v293.1
109.4.1.3589,"Suf, TPR_14, TPR_16, PF29376","Suf, TPR_14, TPR_16, PRP6_TPR",v293.1
109.4.1.3592,"TPR_1, TPR_4, TPR_8, TPR_10, TPR_11, TPR_12, TPR_16, TPR_19, PF29407","TPR_1, TPR_4, TPR_8, TPR_10, TPR_11, TPR_12, TPR_16, TPR_19, CFAP70_TPR_C",v293.1
109.4.1.3594,"Suf, TPR_14, TPR_16, TPR_19, PF29376","Suf, TPR_14, TPR_16, TPR_19, PRP6_TPR",v293.1
11.1.1.1031,"PF25992, PF27919","Ig_TM7SF3_N, Ig_TM7SF3_2nd",v293.1
11.1.1.1050,"fn3, PF28407","fn3, Ig_ANOS1",v293.1
11.1.1.1171,"I-set, PF26428","I-set, Zwei_Ig_N",v293.1
11.1.1.1183,"Cadherin, PF28393","Cadherin, Ig_Cad99C_N",v293.1
11.1.1.1358,"PF28845, PF28874","Fend_N, Fend_C",v293.1
11.1.1.1377,"V-set, PF29039","V-set, IGSF6_C",v293.1
11.1.1.1386,"PF28858, PF28861","Ig_BT4661_5th, Ig_BT4661_6th",v293.1
131.2.1.5,"HD, PF27444","HD, GlnD_3rd",v293.1
148.1.1.36,"Histone, PF26281","Histone, Histone_ABTB",v293.1
192.8.1.432,"PF30964, PF30966","At4g38062_N, At4g38062_C",v293.1
192.8.1.461,"PF28731, PF28733","PII1_C, PII1_coiled_coil",v293.1
198.1.1.13,"SapB_2, PF31278","SapB_2, GNLY",v293.1
2002.1.1.269,"GDPD_2, PF31089","GDPD_2, SPH",v293.1
2002.1.1.271,"AP_endonuc_2, PF27526","AP_endonuc_2, XylA2_C",v293.1
2002.1.1.374,"Cellulase, PF28394","Cellulase, Exg3_C",v293.1
2002.1.1.420,"HpcH_HpaI, PF25918","HpcH_HpaI, MSH_C",v293.1
2003.1.1.266,"adh_short, PF28827","adh_short, AcuH_dehydrog_dom",v293.1
2003.1.2.186,"FAD_binding_3, Thi4, PF26311","FAD_binding_3, Thi4, ETF-QO_FixC_C",v293.1
2003.1.2.235,"PF27252, PF29717","AF_1314_C, AF_1314_N",v293.1
2003.1.2.241,"FAD_oxidored, NAD_binding_8, PF26311","FAD_oxidored, NAD_binding_8, ETF-QO_FixC_C",v293.1
