ecod_uid	domain_id	old_f	commons_f	arch	missing_Q
8696	e1zfjA2	2002.1.1.23	2002.1.1.263	PF00478	PF01070
1514550	e1zq9A3	2003.1.5.2	2003.1.5.155	PF00398	PF13649
9626	e1zunB3	2004.1.1.14	2004.1.1.414	PF00009	PF01926
9644	e2afhE1	2004.1.1.20	2004.1.1.419	PF00142	PF13614
1568669	e2aprA2	1.1.1.1	1.1.1.27	PF00026	PF14543
9878	e2b0cA1	2006.1.1.1	2006.1.1.44	PF00702	PF13242
9093	e2b69A1	2003.1.1.72	2003.1.1.141	PF16363	PF02719
10782	e2bceA1	7579.1.1.1	7579.1.1.89	PF00135	PF20434
4616	e2bnxA1	109.4.1.89	109.4.1.1299	PF06367,PF06371	PF24959
9600	e2bv3A5	2004.1.1.14	2004.1.1.414	PF00009	PF01926
9624	e2cxxA1	2004.1.1.73	2004.1.1.414	PF01926	PF00009
9601	e2dy1A5	2004.1.1.14	2004.1.1.414	PF00009	PF01926
9184	e2f1kA2	2003.1.1.27	2003.1.1.147	PF02153	PF03807
9382	e2fk8A1	2003.1.5.21	2003.1.5.152	PF02353	PF13649
9183	e2g5cA2	2003.1.1.27	2003.1.1.147	PF02153	PF03807
9871	e2gfhA1	2006.1.1.1	2006.1.1.44	PF00702	PF13242
7063	e2gfsA1	206.1.1.1	206.1.1.70	PF00069	PF03109
9406	e2gh1A1	2003.1.5.82	2003.1.5.201	PF13847	PF13649
2192	e2hqsA1	5.1.3.20	5.1.3.136	PF07676	PF00930
10852	e2hu7A2	7579.1.1.3	7579.1.1.94	PF00326	PF02129
9230	e2iidA2	2003.1.2.17	2003.1.2.73	PF01593	PF07992,PF13450
7099	e2jflA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1145809	e2lhiA1	108.1.1.29	108.1.1.97	PF13499	PF00036
1148095	e2o5vA1	2004.1.1.87	2004.1.1.433	PF02463	PF13476
3163	e2obhA2	108.1.1.29	108.1.1.96	PF13499	PF00036,PF13405
4575	e2ooeA1	109.4.1.83	109.4.1.1316	PF05843	PF23240,PF23241
2218	e2ovrB1	5.1.4.1	5.1.4.310	PF00400	PF13360
8457	e2p3uA1	389.1.1.17	389.1.1.97	PF14670	PF12662
3148	e2pvbA1	108.1.1.29	108.1.1.99	PF13499	PF13202,PF13405
10114	e2shpA3	2007.2.3.1	2007.2.3.21	PF00102	PF22784
1870438	e2vglA1	109.4.1.22	109.4.1.1255	PF01602	PF12717
9237	e2vouA2	2003.1.2.15	2003.1.2.99	PF01494	PF00070
2033698	e2vpzB2	205.1.1.17	205.1.1.44	PF13247	PF00037
184980	e2x58A2	2003.1.1.36	2003.1.1.155	PF02737	PF03807
7065	e3bqcA1	206.1.1.1	206.1.1.73	PF00069	PF01636
5478	e3c8yA3	205.1.1.16	205.1.1.42	PF12838	PF00037,PF12837
1870442	e3cmmA1	2003.1.9.1	2003.1.9.8	PF00899	PF16191
9695	e3dhwC2	2004.1.1.5	2004.1.1.417	PF00005	PF13304
185234	e3f6kA1	5.1.7.2	5.1.7.4	PF15902	PF15899
223848	e3iddA1	7515.1.1.8	7515.1.1.14	PF01676	PF10143
1389177	e3izq11	2004.1.1.14	2004.1.1.414	PF00009	PF01926
1551400	e3j6bQ1	4.1.1.146	4.1.1.314	PF22682	PF00467
1411386	e3kv4A2	10.12.1.9	10.12.1.101	PF02373	PF13621
119500	e3nnqA1	101.1.1.73	101.1.1.301	PF16721	PF09337
1843702	e3q3qA1	7515.1.1.6	7515.1.1.15	PF01663	PF01676
1117696	e3vkhA3	2004.1.1.156	2004.1.1.500	PF07728	PF12774
1031105	e3zztA4	2004.1.1.14	2004.1.1.414	PF00009	PF01926
1556802	e4ad8A1	2004.1.1.87	2004.1.1.433	PF02463	PF13476
1841007	e4bepB3	109.3.1.8	109.3.1.176	PF12796	PF13606,PF13637
1088849	e4bkyA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1145884	e4cfeA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1145908	e4cfhA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1031124	e4e3cB1	206.1.1.1	206.1.1.72	PF00069	PF17667
1147811	e4g23A1	109.4.1.240	109.4.1.1384	PF17177	PF01535
1291870	e4hnwA1	109.4.1.173	109.4.1.1389	PF12569	PF13181
1291871	e4hnxA1	109.4.1.173	109.4.1.1389	PF12569	PF13181
1125473	e4ij2F1	11.1.1.72	11.1.1.861	PF05031	PF10049
1108126	e4kc5A1	7581.1.1.2	7581.1.1.22	PF00109	PF00108
1549037	e4lgdB1	206.1.1.1	206.1.1.70	PF00069	PF03109
1121969	e4m8oA3	2484.1.1.34	2484.1.1.197	PF03104	PF10108
1144179	e4o1pC2	206.1.1.1	206.1.1.71	PF00069	PF06293
1495179	e4pj3A3	2004.1.1.184	2004.1.1.473	PF13086	PF04851
1322288	e4qfgA1	206.1.1.1	206.1.1.70	PF00069	PF03109
1487349	e4rfsA1	2004.1.1.5	2004.1.1.417	PF00005	PF13304
1447873	e4rh7A4	2004.1.1.156	2004.1.1.500	PF07728	PF12774
1310610	e4upcA1	2011.1.1.12	2011.1.1.35	PF05450	PF04389
1447958	e4ux3A1	2004.1.1.87	2004.1.1.429	PF02463	PF13175
1731077	e4ww4B1	2004.1.1.137	2004.1.1.436	PF06068	PF03796
1723258	e4xhhA1	206.1.1.1	206.1.1.72	PF00069	PF17667
1555748	e4yc7B1	109.4.1.89	109.4.1.1299	PF06367,PF06371	PF24959
1555749	e4ydhA1	109.4.1.89	109.4.1.1299	PF06367,PF06371	PF24959
1716688	e4z87A1	2002.1.1.23	2002.1.1.263	PF00478	PF01070
1889998	e5d08A3	109.4.1.207	109.4.1.1259	PF13646	PF03130
1820986	e5dfzB2	109.4.1.298	109.4.1.1594	PF22956	PF22646
1933284	e5f0pA1	109.4.1.44	109.4.1.1333	PF03635	PF27614
1866768	e5fifD2	2486.1.1.3	2486.1.1.15	PF01039	PF03255
1779592	e5frpA1	109.4.1.257	109.4.1.1620	PF20168	PF12717
1870486	e5g53C1	2004.1.1.47	2004.1.1.431	PF00503	PF00025
2044878	e5h68A1	2004.1.1.87	2004.1.1.480	PF02463	PF13304,PF13555
1954217	e5hl3A2	207.1.1.20	207.1.1.144	PF12799	PF00560
1885547	e5kokA1	2003.1.5.21	2003.1.5.152	PF02353	PF13649
2072472	e5t77A1	1075.5.1.2	1075.5.1.12	PF03023	PF13440
1891442	e5t8vA1	109.4.1.183	109.4.1.1739	PF12830,PF20168	PF12765
1933321	e5tj6A1	5054.1.1.2	5054.1.1.59	PF00520	PF07885
2084847	e5ve9B1	108.1.1.29	108.1.1.97	PF13499	PF00036
2057238	e5x3xA1	2004.1.1.5	2004.1.1.417	PF00005	PF13304
