ecod_uid,domain_id,old_f,commons_f,missing_Q,verdict,strongest_Q,Q_class,Q_score,Q_GA,Q_delta_vs_GA,Q_evalue
119032,e1s6cA1,108.1.1.29,108.1.1.98,"PF00036,PF13202",Q_above_GA,PF00036,above_GA,29.6,25.4,4.2,4.8e-07
7096,e1s9jA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,31.0,22.9,8.1,2.3e-07
1088769,e1smrA2,1.1.1.1,1.1.1.27,PF14543,Q_above_GA,PF14543,above_GA,34.3,30.0,4.3,4.1e-08
1141779,e1tedA2,7581.1.1.4,7581.1.1.24,PF08545,Q_above_GA,PF08545,above_GA,35.6,24.0,11.6,1.1e-08
11071,e1u6mA1,213.1.1.1,213.1.1.72,PF13673,Q_above_GA,PF13673,above_GA,30.1,23.6,6.5,6.8e-07
9698,e1uaaA2,2004.1.1.195,2004.1.1.508,PF13538,Q_above_GA,PF13538,above_GA,31.3,27.4,3.9,2.3e-07
10839,e1ukcA1,7579.1.1.1,7579.1.1.89,PF20434,Q_above_GA,PF20434,above_GA,36.7,26.8,9.9,5.1e-09
586,e1vqoT1,4.1.1.95,4.1.1.295,PF00467,Q_above_GA,PF00467,above_GA,35.5,22.3,13.2,9.1e-09
2200,e1w0pA3,5.1.3.26,5.1.3.134,PF02012,Q_above_GA,PF02012,above_GA,12.4,12.4,0.0,2.2e-01
9688,e1w1wA1,2004.1.1.87,2004.1.1.481,PF13555,Q_above_GA,PF13555,above_GA,34.7,27.0,7.7,1.8e-08
2198,e1w8oA3,5.1.3.26,5.1.3.134,PF02012,Q_above_GA,PF02012,above_GA,12.5,12.4,0.1,2.0e-01
3762,e1wb9A1,601.23.1.1,601.23.1.4,PF05190,Q_above_GA,PF05190,above_GA,104.3,22.0,82.3,5.1e-30
10875,e1wdkC2,7581.1.1.1,7581.1.1.22,PF00109,Q_above_GA,PF00109,above_GA,24.9,20.8,4.1,2.2e-05
9605,e1wf3A2,2004.1.1.73,2004.1.1.474,PF00350,Q_sub_GA,PF00350,sub_GA,26.5,27.0,-0.5,9.1e-06
9623,e1wxqA2,2004.1.1.74,2004.1.1.597,PF02421,Q_above_GA,PF02421,above_GA,30.5,27.0,3.5,3.6e-07
2075048,e1x42A3,2006.1.1.1,2006.1.1.44,PF13242,Q_above_GA,PF13242,above_GA,34.6,22.0,12.6,2.2e-08
119099,e1xo5A1,108.1.1.29,108.1.1.103,"PF13405,PF13833",Q_above_GA,PF13833,above_GA,19.5,13.8,5.7,1.0e-03
7095,e1xwsA1,206.1.1.1,206.1.1.71,PF06293,Q_above_GA,PF06293,above_GA,27.5,21.3,6.2,3.0e-06
7078,e1yhwA1,206.1.1.1,206.1.1.72,PF17667,Q_above_GA,PF17667,above_GA,24.2,24.1,0.1,2.0e-05
9109,e1yo6A1,2003.1.1.3,2003.1.1.148,PF08659,Q_above_GA,PF08659,above_GA,23.0,22.6,0.4,1.0e-04
9877,e1zd3A1,2006.1.1.1,2006.1.1.46,PF13419,Q_above_GA,PF13419,above_GA,29.1,23.8,5.3,1.4e-06
8696,e1zfjA2,2002.1.1.23,2002.1.1.263,PF01070,Q_above_GA,PF01070,above_GA,26.3,24.9,1.4,5.8e-06
1514550,e1zq9A3,2003.1.5.2,2003.1.5.155,PF13649,Q_above_GA,PF13649,above_GA,31.8,27.0,4.8,2.9e-07
9626,e1zunB3,2004.1.1.14,2004.1.1.414,PF01926,Q_above_GA,PF01926,above_GA,23.9,21.9,2.0,5.8e-05
9644,e2afhE1,2004.1.1.20,2004.1.1.419,PF13614,Q_above_GA,PF13614,above_GA,40.6,27.0,13.6,3.8e-10
1568669,e2aprA2,1.1.1.1,1.1.1.27,PF14543,Q_above_GA,PF14543,above_GA,34.1,30.0,4.1,4.7e-08
9878,e2b0cA1,2006.1.1.1,2006.1.1.44,PF13242,Q_above_GA,PF13242,above_GA,24.3,22.0,2.3,3.6e-05
9093,e2b69A1,2003.1.1.72,2003.1.1.141,PF02719,Q_above_GA,PF02719,above_GA,20.2,20.2,0.0,4.6e-04
10782,e2bceA1,7579.1.1.1,7579.1.1.89,PF20434,Q_above_GA,PF20434,above_GA,44.1,26.8,17.3,2.7e-11
4616,e2bnxA1,109.4.1.89,109.4.1.1299,PF24959,Q_above_GA,PF24959,above_GA,31.0,27.4,3.6,2.9e-07
9600,e2bv3A5,2004.1.1.14,2004.1.1.414,PF01926,Q_sub_GA,PF01926,sub_GA,17.5,21.9,-4.4,5.8e-03
9624,e2cxxA1,2004.1.1.73,2004.1.1.414,PF00009,Q_above_GA,PF00009,above_GA,31.8,26.5,5.3,1.6e-07
9601,e2dy1A5,2004.1.1.14,2004.1.1.414,PF01926,Q_above_GA,PF01926,above_GA,21.9,21.9,0.0,2.4e-04
9184,e2f1kA2,2003.1.1.27,2003.1.1.147,PF03807,Q_above_GA,PF03807,above_GA,34.7,21.6,13.1,3.3e-08
9382,e2fk8A1,2003.1.5.21,2003.1.5.152,PF13649,Q_above_GA,PF13649,above_GA,38.6,27.0,11.6,2.1e-09
9183,e2g5cA2,2003.1.1.27,2003.1.1.147,PF03807,Q_sub_GA,PF03807,sub_GA,21.4,21.6,-0.2,4.7e-04
9871,e2gfhA1,2006.1.1.1,2006.1.1.44,PF13242,Q_above_GA,PF13242,above_GA,40.9,22.0,18.9,2.4e-10
7063,e2gfsA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,28.6,22.9,5.7,1.2e-06
9406,e2gh1A1,2003.1.5.82,2003.1.5.201,PF13649,Q_above_GA,PF13649,above_GA,49.7,27.0,22.7,7.3e-13
2192,e2hqsA1,5.1.3.20,5.1.3.136,PF00930,Q_above_GA,PF00930,above_GA,33.8,22.0,11.8,2.5e-08
10852,e2hu7A2,7579.1.1.3,7579.1.1.94,PF02129,Q_above_GA,PF02129,above_GA,30.6,23.0,7.6,4.3e-07
9230,e2iidA2,2003.1.2.17,2003.1.2.73,"PF07992,PF13450",Q_above_GA,PF07992,above_GA,31.0,26.1,4.9,2.8e-07
7099,e2jflA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,23.0,22.9,0.1,6.0e-05
1145809,e2lhiA1,108.1.1.29,108.1.1.97,PF00036,Q_above_GA,PF00036,above_GA,33.4,25.4,8.0,2.9e-08
1148095,e2o5vA1,2004.1.1.87,2004.1.1.433,PF13476,Q_above_GA,PF13476,above_GA,39.5,27.0,12.5,1.5e-09
3163,e2obhA2,108.1.1.29,108.1.1.96,"PF00036,PF13405",Q_above_GA,PF00036,above_GA,33.9,25.4,8.5,2.1e-08
4575,e2ooeA1,109.4.1.83,109.4.1.1316,"PF23240,PF23241",Q_above_GA,PF23240,above_GA,107.1,27.7,79.4,1.6e-30
2218,e2ovrB1,5.1.4.1,5.1.4.310,PF13360,Q_above_GA,PF13360,above_GA,24.9,19.7,5.2,2.4e-05
8457,e2p3uA1,389.1.1.17,389.1.1.97,PF12662,Q_above_GA,PF12662,above_GA,29.7,26.6,3.1,7.0e-07
3148,e2pvbA1,108.1.1.29,108.1.1.99,"PF13202,PF13405",Q_above_GA,PF13202,above_GA,22.4,11.5,10.9,9.7e-05
10114,e2shpA3,2007.2.3.1,2007.2.3.21,PF22784,Q_sub_GA,PF22784,sub_GA,26.6,27.0,-0.4,8.3e-06
1870438,e2vglA1,109.4.1.22,109.4.1.1255,PF12717,Q_above_GA,PF12717,above_GA,28.9,26.4,2.5,1.8e-06
9237,e2vouA2,2003.1.2.15,2003.1.2.99,PF00070,Q_above_GA,PF00070,above_GA,26.8,22.0,4.8,9.4e-06
2033698,e2vpzB2,205.1.1.17,205.1.1.44,PF00037,Q_above_GA,PF00037,above_GA,32.7,21.1,11.6,7.1e-08
184980,e2x58A2,2003.1.1.36,2003.1.1.155,PF03807,Q_sub_GA,PF03807,sub_GA,20.0,21.6,-1.6,1.3e-03
7065,e3bqcA1,206.1.1.1,206.1.1.73,PF01636,Q_above_GA,PF01636,above_GA,24.7,23.2,1.5,2.8e-05
5478,e3c8yA3,205.1.1.16,205.1.1.42,"PF00037,PF12837",Q_sub_GA,PF00037,sub_GA,19.7,21.1,-1.4,8.9e-04
1870442,e3cmmA1,2003.1.9.1,2003.1.9.8,PF16191,Q_absent,PF16191,absent,,25.0,,
9695,e3dhwC2,2004.1.1.5,2004.1.1.417,PF13304,Q_above_GA,PF13304,above_GA,28.4,27.0,1.4,2.6e-06
185234,e3f6kA1,5.1.7.2,5.1.7.4,PF15899,Q_above_GA,PF15899,above_GA,22.0,13.0,9.0,1.8e-04
223848,e3iddA1,7515.1.1.8,7515.1.1.14,PF10143,Q_absent,PF10143,absent,,21.5,,
1389177,e3izq11,2004.1.1.14,2004.1.1.414,PF01926,Q_sub_GA,PF01926,sub_GA,19.3,21.9,-2.6,1.5e-03
1551400,e3j6bQ1,4.1.1.146,4.1.1.314,PF00467,Q_above_GA,PF00467,above_GA,22.4,22.3,0.1,1.3e-04
1411386,e3kv4A2,10.12.1.9,10.12.1.101,PF13621,Q_above_GA,PF13621,above_GA,32.4,27.4,5.0,1.4e-07
119500,e3nnqA1,101.1.1.73,101.1.1.301,PF09337,Q_above_GA,PF09337,above_GA,60.5,25.0,35.5,2.4e-16
1843702,e3q3qA1,7515.1.1.6,7515.1.1.15,PF01676,Q_above_GA,PF01676,above_GA,27.3,24.3,3.0,4.0e-06
1117696,e3vkhA3,2004.1.1.156,2004.1.1.500,PF12774,Q_absent,PF12774,absent,,25.2,,
1031105,e3zztA4,2004.1.1.14,2004.1.1.414,PF01926,Q_sub_GA,PF01926,sub_GA,20.2,21.9,-1.7,8.3e-04
1556802,e4ad8A1,2004.1.1.87,2004.1.1.433,PF13476,Q_absent,PF13476,absent,,27.0,,
1841007,e4bepB3,109.3.1.8,109.3.1.176,"PF13606,PF13637",Q_above_GA,PF13606,above_GA,17.4,17.2,0.2,7.3e-03
1088849,e4bkyA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,29.7,22.9,6.8,5.7e-07
1145884,e4cfeA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,24.4,22.9,1.5,2.3e-05
1145908,e4cfhA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,23.4,22.9,0.5,4.7e-05
1031124,e4e3cB1,206.1.1.1,206.1.1.72,PF17667,Q_above_GA,PF17667,above_GA,34.8,24.1,10.7,1.2e-08
1147811,e4g23A1,109.4.1.240,109.4.1.1384,PF01535,Q_above_GA,PF01535,above_GA,15.1,9.3,5.8,3.3e-02
1291870,e4hnwA1,109.4.1.173,109.4.1.1389,PF13181,Q_above_GA,PF13181,above_GA,16.0,11.8,4.2,1.7e-02
1291871,e4hnxA1,109.4.1.173,109.4.1.1389,PF13181,Q_above_GA,PF13181,above_GA,16.0,11.8,4.2,1.7e-02
1125473,e4ij2F1,11.1.1.72,11.1.1.861,PF10049,Q_sub_GA,PF10049,sub_GA,21.8,23.0,-1.2,2.7e-04
1108126,e4kc5A1,7581.1.1.2,7581.1.1.22,PF00108,Q_sub_GA,PF00108,sub_GA,24.5,26.4,-1.9,2.5e-05
1549037,e4lgdB1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,23.0,22.9,0.1,6.4e-05
1121969,e4m8oA3,2484.1.1.34,2484.1.1.197,PF10108,Q_above_GA,PF10108,above_GA,31.6,24.0,7.6,2.0e-07
1144179,e4o1pC2,206.1.1.1,206.1.1.71,PF06293,Q_above_GA,PF06293,above_GA,25.8,21.3,4.5,1.0e-05
1495179,e4pj3A3,2004.1.1.184,2004.1.1.473,PF04851,Q_above_GA,PF04851,above_GA,28.6,22.5,6.1,1.9e-06
1322288,e4qfgA1,206.1.1.1,206.1.1.70,PF03109,Q_above_GA,PF03109,above_GA,23.3,22.9,0.4,4.8e-05
1487349,e4rfsA1,2004.1.1.5,2004.1.1.417,PF13304,Q_above_GA,PF13304,above_GA,32.8,27.0,5.8,1.2e-07
1447873,e4rh7A4,2004.1.1.156,2004.1.1.500,PF12774,Q_absent,PF12774,absent,,25.2,,
1310610,e4upcA1,2011.1.1.12,2011.1.1.35,PF04389,Q_above_GA,PF04389,above_GA,27.2,21.3,5.9,4.5e-06
1447958,e4ux3A1,2004.1.1.87,2004.1.1.429,PF13175,Q_above_GA,PF13175,above_GA,67.1,32.1,35.0,3.3e-18
1731077,e4ww4B1,2004.1.1.137,2004.1.1.436,PF03796,Q_above_GA,PF03796,above_GA,31.4,27.0,4.4,2.0e-07
1723258,e4xhhA1,206.1.1.1,206.1.1.72,PF17667,Q_above_GA,PF17667,above_GA,27.3,24.1,3.2,2.3e-06
1555748,e4yc7B1,109.4.1.89,109.4.1.1299,PF24959,Q_above_GA,PF24959,above_GA,37.5,27.4,10.1,3.0e-09
1555749,e4ydhA1,109.4.1.89,109.4.1.1299,PF24959,Q_above_GA,PF24959,above_GA,33.9,27.4,6.5,3.7e-08
1716688,e4z87A1,2002.1.1.23,2002.1.1.263,PF01070,Q_above_GA,PF01070,above_GA,26.7,24.9,1.8,4.3e-06
1889998,e5d08A3,109.4.1.207,109.4.1.1259,PF03130,Q_above_GA,PF03130,above_GA,23.1,13.0,10.1,1.1e-04
1820986,e5dfzB2,109.4.1.298,109.4.1.1594,PF22646,Q_above_GA,PF22646,above_GA,46.9,27.0,19.9,4.7e-12
1933284,e5f0pA1,109.4.1.44,109.4.1.1333,PF27614,Q_above_GA,PF27614,above_GA,27.2,27.0,0.2,3.1e-06
1866768,e5fifD2,2486.1.1.3,2486.1.1.15,PF03255,Q_above_GA,PF03255,above_GA,32.9,23.0,9.9,6.3e-08
1779592,e5frpA1,109.4.1.257,109.4.1.1620,PF12717,Q_above_GA,PF12717,above_GA,28.2,26.4,1.8,2.9e-06
1870486,e5g53C1,2004.1.1.47,2004.1.1.431,PF00025,Q_above_GA,PF00025,above_GA,97.3,22.3,75.0,1.1e-27
2044878,e5h68A1,2004.1.1.87,2004.1.1.480,"PF13304,PF13555",Q_above_GA,PF13304,above_GA,44.7,27.0,17.7,2.7e-11
1954217,e5hl3A2,207.1.1.20,207.1.1.144,PF00560,Q_above_GA,PF00560,above_GA,10.4,9.3,1.1,1.1e+00
1885547,e5kokA1,2003.1.5.21,2003.1.5.152,PF13649,Q_above_GA,PF13649,above_GA,44.8,27.0,17.8,2.6e-11
2072472,e5t77A1,1075.5.1.2,1075.5.1.12,PF13440,Q_above_GA,PF13440,above_GA,29.9,23.0,6.9,5.2e-07
1891442,e5t8vA1,109.4.1.183,109.4.1.1739,PF12765,Q_above_GA,PF12765,above_GA,25.7,8.9,16.8,1.9e-05
1933321,e5tj6A1,5054.1.1.2,5054.1.1.59,PF07885,Q_above_GA,PF07885,above_GA,50.2,22.5,27.7,3.0e-13
2084847,e5ve9B1,108.1.1.29,108.1.1.97,PF00036,Q_above_GA,PF00036,above_GA,28.5,25.4,3.1,1.1e-06
2057238,e5x3xA1,2004.1.1.5,2004.1.1.417,PF13304,Q_above_GA,PF13304,above_GA,31.5,27.0,4.5,2.8e-07
