fid,pfam_acc,n_cand,n_pdb,n_concordant,pick_uid,pick_domain,pick_source,pick_seqlen,pick_concordant,pick_hmm_cov,pick_pfams,runner_source,runner_uid,group_flag
2002.1.1.277,"PF00977,PF01884",61,23,61,1298429,e4mm1A1,pdb,243,True,1.0,PF01884,pdb,1298431,
205.1.1.131,PF13187,107,1,104,2330418,e6cfwN1,pdb,121,True,0.981,PF13187,afdb,5009186,
7581.1.1.33,"PF00108,PF00109,PF07451",12,12,12,1397674,e4n44A2,pdb,268,True,0.996,PF00108,pdb,1397676,
2004.1.1.779,"PF00009,PF01926,PF16004",4,3,2,4884264,e9l5rC01,pdb,392,True,0.936,"PF00009,PF16004",afdb,3347360,
5.1.4.340,"PF00400,PF04158,PF16755",9,9,9,4912144,e9n73LU2,pdb,0,True,1.0,"PF00400,PF04158,PF16755",pdb,4912146,
205.1.1.66,"PF00037,PF25160",5,2,5,3300832,I1L0Q9_F1_nD1,afdb,75,True,0.98,PF25160,afdb,3669390,
1033.1.1.1,PF12920,3,3,2,4824961,e7ubxA01,pdb,179,True,0.238,PF12920,pdb,4799352,
327.17.1.8,"PF02772,PF02773",5,4,3,4876397,e8xamA02,pdb,129,True,0.875,"PF02772,PF02773",pdb,4876403,
109.4.1.1277,"PF12854,PF13041,PF23276",78,1,78,1824611,e5i9gC2,pdb,161,True,1.0,"PF13041,PF23276",afdb,3683348,
109.4.1.1541,"PF13181,PF23220,PF23231,PF23233,PF23240",20,20,9,2448747,e6qdvT1,pdb,729,True,0.912,"PF23220,PF23231,PF23233",pdb,2074924,
109.4.1.2399,"PF23220,PF23231,PF23233,PF23240",3,2,2,4882161,e9eshX01,pdb,692,True,0.872,"PF23220,PF23231,PF23233",afdb,3421703,
3343.1.1.4,"PF04130,PF17681,PF20685",52,42,13,2557461,e6tf9UP11,pdb,569,True,0.981,"PF04130,PF17681",afdb,4014677,
4024.1.1.2,PF00374,2,2,2,1482112,e4ue3S2,pdb,88,True,0.167,PF00374,pdb,1482114,
5.1.5.112,"PF00400,PF25391",3,2,3,2794730,e7ewrF1,pdb,319,True,0.921,PF25391,pdb,3104160,
5.1.3.151,"PF01344,PF07646,PF24681,PF24981",20,1,20,4881279,e9d1iA01,pdb,236,True,1.0,PF24681,afdb,3876328,
4987.1.1.5,PF00181,7,7,7,2832798,e7nbu41,pdb,66,True,0.393,PF00181,pdb,4886946,
7.1.1.17,"PF00595,PF17820",11,4,11,2132608,e5m3oA1,pdb,114,True,0.944,"PF00595,PF17820",pdb,2988373,
5097.1.1.3,"PF17475,PF17476",204,204,6,4878181,e8yrmA02,pdb,216,True,0.688,"PF17475,PF17476",pdb,4798770,
148.1.3.206,PF31015,57,41,41,3088871,e8h3hF4,pdb,0,True,1.0,PF31015,pdb,3097551,
304.48.1.73,"PF00078,PF13655",4,3,2,4797886,e6me0C01,pdb,254,True,0.985,"PF00078,PF13655",afdb,4497954,
109.4.1.3607,"PF13181,PF13424,PF13431,PF13432",6,6,1,4879921,e9b9gD02,pdb,136,True,0.896,"PF13424,PF13432",pdb,5253796,
304.48.1.76,PF29845,2,2,2,4901747,e9k6gA3,pdb,0,True,0.595,PF29845,pdb,4901752,
109.4.1.1563,"PF23220,PF23231,PF23233",14,11,8,2161614,e6bk8U1,pdb,732,True,0.856,"PF23220,PF23231,PF23233",pdb,2142233,
109.3.1.168,"PF00023,PF12796,PF13606,PF13857",59,33,56,2899451,e7z72B1,pdb,0,True,1.0,PF12796,pdb,2136423,
3794.1.2.4,PF00364,4,4,1,4852078,e8hz4E02,pdb,85,True,0.932,PF00364,pdb,5143130,
7515.1.1.14,"PF01676,PF10143",65,6,65,1904005,e2zktA1,pdb,269,True,0.992,PF01676,pdb,1904008,
5.1.4.406,"PF15899,PF15902,PF25852",4,4,4,2233,e2ebsA1,pdb,427,True,0.247,"PF15902,PF25852",pdb,43805,
10.32.1.209,PF23524,42,12,42,2974339,e7xtlB1,pdb,0,True,1.0,PF23524,pdb,2966682,
206.1.1.265,PF00038,2,2,1,4776747,e3tyyA01,pdb,85,True,0.227,PF00038,pdb,5090443,
7581.1.1.38,"PF00108,PF00109,PF02801",15,14,5,4816636,e7m7fB01,pdb,312,True,0.992,"PF00109,PF02801",pdb,4816654,
185.1.1.6,"PF00234,PF13016",11,3,11,4421492,P18573_nD1,afdb,124,True,1.0,PF00234,afdb,4626639,
101.1.2.503,PF25875,25,4,25,2449470,e6a6iG1,pdb,80,True,0.969,PF25875,pdb,2451843,
2002.1.1.276,PF29664,71,10,71,1678270,e4wtpA1,pdb,266,True,1.0,PF29664,pdb,1683934,
2004.1.1.825,PF17852,2,2,2,4890933,e9y6s5b3,pdb,167,True,0.683,PF17852,pdb,4890920,
5001.1.1.199,PF22572,2,2,2,4890655,e9vorB1,pdb,171,True,0.906,PF22572,pdb,4922435,
207.1.1.206,"PF00560,PF12799,PF13516,PF13855,PF14580",9,3,9,1338391,e4aw4B2,pdb,186,True,0.977,"PF12799,PF14580",pdb,1338394,
109.4.1.1468,"PF02184,PF23233,PF23240",12,8,11,1877693,e5lj3S1,pdb,520,True,0.988,"PF23233,PF23240",pdb,1884257,
206.1.3.63,"PF01071,PF02786",10,4,10,1156850,e2yrwA8,pdb,215,True,0.995,PF01071,pdb,1205788,
2004.1.1.669,"PF01078,PF07724",4,2,4,4916272,e9p9vA1,pdb,0,True,0.988,PF07724,pdb,4916541,
4041.1.1.7,"PF04563,PF04565",7,7,7,4896483,e9gdqC4,pdb,0,True,0.574,"PF04563,PF04565",pdb,4887390,
6165.1.1.3,PF24871,6,6,6,4891248,e9zisA1,pdb,329,True,0.469,PF24871,pdb,4924887,
2004.1.1.444,"PF00004,PF08298",145,109,71,2512863,e6n2iA1,pdb,244,True,0.962,"PF00004,PF08298",pdb,2570814,
389.1.1.105,"PF07699,PF25599",11,3,11,1758209,e4bkfB2,pdb,123,True,1.0,"PF07699,PF25599",pdb,1758626,
2003.1.5.213,"PF05175,PF05958",13,2,12,4878638,e8z62A02,pdb,325,True,0.513,PF05958,afdb,4653095,
101.1.2.511,"PF01399,PF26569",21,2,20,4143988,Q17Q06_nD4,afdb,105,True,1.0,"PF01399,PF26569",afdb,4245474,
2003.1.1.159,"PF02826,PF03807",33,20,33,1780017,e5aovA1,pdb,193,True,1.0,PF02826,pdb,191863,
2004.1.1.20,PF00142,73,41,43,2884694,e7qqaA1,pdb,0,True,0.996,PF00142,pdb,2884697,
3794.1.1.7,PF00364,7,6,7,4891197,e9yx0A4,pdb,113,True,0.986,PF00364,pdb,4924497,
109.4.1.1330,"PF12854,PF13041,PF13812,PF17177",27,2,26,4807457,e6xywBG02,pdb,147,True,0.96,"PF13041,PF17177",afdb,3821796,
109.4.1.2435,"PF07719,PF13181,PF13428,PF14559",2,2,2,167190,e2pl2A1,pdb,194,True,0.662,"PF13181,PF13428,PF14559",pdb,337267,
10.1.1.86,"PF00622,PF02026",4,4,4,4889562,e9pwoA4,pdb,213,True,0.926,"PF00622,PF02026",pdb,4917133,
524.1.1.8,"PF00566,PF23436",255,8,255,1208393,e3hzjB7,pdb,127,True,0.588,PF00566,pdb,1157807,
109.4.1.2449,"PF12862,PF29127",2,2,2,3063067,e8tarO2,pdb,0,True,0.989,"PF12862,PF29127",pdb,3106489,
2004.1.1.1179,"PF17872,PF21312",5,5,1,4801619,e6rqcA03,pdb,192,True,0.458,"PF17872,PF21312",pdb,5291962,
206.1.1.117,PF27663,4,2,4,4602105,O32123_nD1,afdb,335,True,0.99,PF27663,afdb,4043249,
109.4.1.1376,"PF08640,PF23240",36,33,18,4790953,e5wlcLP01,pdb,196,True,1.0,"PF08640,PF23240",pdb,4796857,
207.1.1.176,"PF00560,PF12799,PF13306,PF13855",19,6,19,1173542,e4li1B3,pdb,425,True,0.984,"PF13306,PF13855",pdb,1088382,
102.1.1.120,PF21710,5,5,5,4890756,e9wmsm7,pdb,106,True,0.956,PF21710,pdb,4923047,
5.1.4.172,PF24105,28,6,26,3540243,Q13112_F1_nD1,afdb,405,True,1.0,PF24105,afdb,3768313,
5.1.4.258,"PF00415,PF13540",111,12,110,1065640,e4l1mC1,pdb,359,True,1.0,"PF00415,PF13540",pdb,4835224,
2484.1.1.209,PF00552,16,16,16,4919063,e9rmxE3,pdb,0,True,1.0,PF00552,pdb,4919066,
109.4.1.420,PF01535,706,2,705,4807455,e6xywBG01,pdb,177,True,0.839,PF01535,afdb,3468214,
135.1.1.2,"PF00025,PF00503",54,54,25,4855505,e8j9nC01,pdb,233,True,0.492,PF00503,pdb,4826531,
1.2.1.4,"PF00915,PF08435",12,12,12,1693513,e1ihmA2,pdb,163,True,0.543,PF08435,pdb,1696106,
7515.1.1.19,"PF00884,PF01663",17,2,17,1919134,e5tj3A2,pdb,410,True,0.655,PF01663,pdb,2130583,
7579.1.1.101,"PF00135,PF07859,PF20434",44,2,43,4873588,e8vcaA01,pdb,246,True,0.919,PF07859,afdb,3421642,
1.1.13.69,PF21425,2,2,1,4851773,e8hqzH01,pdb,137,True,0.771,PF21425,pdb,5142384,
2004.1.1.175,PF10609,252,15,250,2048376,e5j1jB1,pdb,248,True,0.984,PF10609,pdb,2048393,
5.1.5.92,"PF00400,PF23409",7,7,7,3099648,e8otze2,pdb,0,True,0.993,PF23409,pdb,3099649,
304.156.1.6,PF01580,25,25,1,4817949,e7np7C101,pdb,49,True,0.131,PF01580,pdb,5114843,
4342.1.1.2,PF14639,5,5,5,4890753,e9wmsm4,pdb,234,True,0.593,PF14639,pdb,4923044,
109.3.1.473,PF13181,2,1,2,3029524,e8fbjA1,pdb,0,True,0.853,PF13181,afdb,5051493,
2004.1.1.435,"PF00005,PF09818",139,94,125,1680421,e5c73C2,pdb,228,True,1.0,PF00005,pdb,1680422,
906.1.1.37,PF25584,41,32,31,2698481,e7aavP1,pdb,87,True,1.0,"PF16131,PF25584",pdb,2698546,
2003.1.5.196,"PF02475,PF05958",18,10,18,2130766,e5xj1A2,pdb,383,True,0.585,PF05958,pdb,2130767,
109.4.1.2438,"PF00515,PF13176,PF13181,PF13424",3,3,2,4823654,e7t7tA02,pdb,211,True,0.948,PF13424,pdb,148459,
109.4.1.2436,"PF12895,PF13174,PF13181,PF13414,PF14559",2,2,2,1148719,e2q7fA3,pdb,194,True,0.927,"PF12895,PF13414,PF14559",pdb,1182423,
386.1.1.253,"PF00096,PF13909",10,1,10,3105398,e8ssuA5,pdb,0,True,0.962,"PF00096,PF13909",afdb,3530156,
4.1.1.409,PF13538,2,2,2,4888318,e9kwfB2,pdb,100,True,0.942,PF13538,pdb,4903678,
3747.1.1.5,"PF00460,PF22692",132,132,132,4886905,e8z5uD1,pdb,129,True,0.968,"PF00460,PF22692",pdb,4892985,
11.1.1.1156,"PF08205,PF13895",2,2,2,1221868,e4lp5B5,pdb,165,True,0.652,"PF08205,PF13895",pdb,1221895,
3681.1.1.4,PF00562,2,2,2,4896459,e9gdpC7,pdb,0,True,0.201,PF00562,pdb,4896486,
109.4.1.2410,"PF00515,PF13181,PF13431,PF14559",2,1,2,2722840,e7bevA1,pdb,126,True,0.971,"PF00515,PF13181,PF14559",afdb,3857199,
5040.1.1.14,"PF00116,PF02790",2,2,2,4887340,e9fksl1,pdb,101,True,0.739,"PF00116,PF02790",pdb,4895949,
109.4.1.35,"PF02985,PF13646",16,10,13,1107239,e4lacA1,pdb,229,True,1.0,"PF02985,PF13646",pdb,4863956,
108.1.1.105,PF25578,26,4,26,169152,e2k60A1,pdb,70,True,0.838,PF25578,pdb,142122,
7579.1.1.32,PF06500,98,27,83,1107116,e4i4cA1,pdb,402,True,0.973,PF06500,pdb,1107117,
2002.1.1.301,PF09081,15,13,15,8818,e1gcyA2,pdb,357,True,0.328,PF09081,pdb,94412,
219.1.1.110,"PF00112,PF03051",128,95,128,1063784,e4k7cA1,pdb,446,True,1.0,PF03051,pdb,2577478,
223.1.1.98,PF30670,19,1,19,2116144,e5gjwF2,pdb,145,True,0.84,PF30670,afdb,3869669,
2004.1.1.505,"PF13086,PF13604",22,2,22,3783731,Q5ANG6_F1_nD4,afdb,420,True,1.0,PF13086,afdb,3919293,
207.1.1.148,"PF00560,PF12799,PF14580",48,12,47,3924123,A0A0K0ENM9_F1_nD1,afdb,330,True,1.0,"PF12799,PF14580",afdb,4277152,
109.4.1.1448,"PF00515,PF13176,PF13374,PF13424,PF17874",12,1,12,2125481,e5oj8A1,pdb,210,True,0.974,"PF13424,PF17874",afdb,3747522,
4959.1.1.2,"PF04983,PF05000",21,21,21,4895961,e9ujkD6,pdb,0,True,0.748,"PF04983,PF05000",pdb,4895970,
171.1.1.10,"PF00636,PF22935",11,9,7,2028803,e5mrc52,pdb,232,True,0.941,PF00636,pdb,2028859,
1.1.13.57,PF30637,9,9,3,4810019,e7b5hAJ01,pdb,114,True,0.307,PF30637,pdb,4809346,
922.1.1.30,PF08685,2,0,2,3528647,P59510_F1_nD18,afdb,171,True,0.563,PF08685,afdb,3213415,
3414.1.1.8,PF18676,8,0,8,3968417,Q9HVG6_F1_nD12,afdb,80,True,1.0,PF18676,afdb,3968411,
1.1.7.99,"PF00667,PF00970",3,0,3,3788350,A0A1D8PIF6_F1_nD4,afdb,140,True,0.248,"PF00667,PF00970",afdb,3613252,
2007.1.14.20,"PF00762,PF01903",3,0,3,3581707,A0A3P7E1L5_F1_nD1,afdb,320,True,0.994,PF00762,afdb,4394104,
9.1.1.50,PF23069,7,0,7,3585032,A0A3P7FCD9_F1_nD3,afdb,130,True,0.984,PF23069,afdb,3472946,
389.3.1.17,PF01607,2,0,2,3932772,A0A0K0EE94_F1_nD1,afdb,50,True,0.755,PF01607,afdb,3941301,
386.1.1.318,PF23573,2,0,2,3774364,D3ZQ99_F1_nD9,afdb,30,True,1.0,PF23573,afdb,3573111,
601.14.1.13,PF13596,2,0,2,4945412,A0A9Y1BN70_F1_nD2,afdb,0,True,0.575,"PF01814,PF13596",afdb,4947715,
4.1.1.313,PF25498,11,0,11,3332786,I1JEH0_F1_nD2,afdb,94,True,1.0,PF25498,afdb,3332574,
11.1.1.1109,PF00553,2,0,2,4113036,P11220_nD1,afdb,100,True,0.98,PF00553,afdb,4547203,
512.1.1.3,"PF01523,PF19290",8,0,8,3966796,Q9HVU9_F1_nD1,afdb,225,True,1.0,"PF01523,PF19290",afdb,3603689,
2008.1.1.152,PF09903,6,0,6,3838900,O25762_F1_nD2,afdb,155,True,0.612,PF09903,afdb,4457617,
2488.1.1.22,"PF01746,PF09936",2,0,2,4286524,Q313J9_nD1,afdb,420,True,0.996,"PF01746,PF09936",afdb,4511024,
109.4.1.1744,"PF13513,PF25574",5,0,5,3827813,Q8H0U4_F1_nD2,afdb,625,True,1.0,"PF13513,PF25574",afdb,3913750,
7579.1.1.137,"PF06500,PF12697",5,0,5,3288073,K0ERC4_F1_nD1,afdb,395,True,0.903,"PF06500,PF12697",afdb,4453085,
604.6.1.24,PF21647,3,0,3,3444056,Q2QYH0_F1_nD2,afdb,193,True,0.353,PF21647,afdb,3434037,
2003.1.10.29,PF27100,3,0,3,3962870,X8FCN0_F1_nD1,afdb,134,True,1.0,PF27100,afdb,4321817,
5.1.4.367,"PF00400,PF08662,PF24817",6,0,6,3759601,D3ZN63_F1_nD1,afdb,330,True,1.0,PF24817,afdb,3893229,
101.1.2.954,PF30797,3,0,3,4955503,B1L4S3_F1_nD2,afdb,0,True,0.987,PF30797,uniparc,5062716,
7573.1.1.13,PF24390,2,0,2,3945888,A0A0H3H5M5_F1_nD1,afdb,290,True,0.988,PF24390,afdb,5049200,
2007.2.2.6,PF30428,4,0,4,3945982,A0A0H3GTR2_F1_nD4,afdb,90,True,1.0,PF30428,afdb,3977983,
2008.1.1.205,PF26915,2,0,2,4030998,Q2G1G1_F1_nD1,afdb,220,True,0.675,PF26915,afdb,4958464,
389.1.2.9,PF01681,2,0,2,3234632,Q95X98_F1_nD1,afdb,90,True,0.876,PF01681,afdb,3998997,
101.1.11.189,PF26688,18,0,18,5010035,Q4J7Y4_F1_nD1,afdb,0,True,1.0,PF26688,uniparc,5077780,
193.1.1.33,PF25532,19,0,19,3887830,F1Q557_F1_nD1,afdb,145,True,1.0,PF25532,afdb,3775359,
3755.3.1.419,PF25526,4,0,4,3546183,O75145_F1_nD3,afdb,250,True,0.992,PF25526,afdb,3792236,
5069.1.3.136,PF21088,2,0,2,5011909,Q4JC30_F1_nD1,afdb,0,True,0.976,PF21088,epp,4996138,
304.8.1.69,PF13989,6,0,6,3979756,Q7CQ73_F1_nD1,afdb,105,True,0.981,PF13989,afdb,3948373,
5074.1.1.10,PF04117,2,0,2,3366503,A0A0R0L0C3_F1_nD1,afdb,170,True,0.984,PF04117,afdb,3319616,
101.1.2.634,PF27571,2,0,2,4029431,A0A143ZWL6_F1_nD8,afdb,150,True,0.463,PF27571,afdb,4425812,
604.1.1.135,PF02582,7,0,7,3173003,Q03441_F1_nD1,afdb,235,True,1.0,PF02582,afdb,3206688,
207.1.1.214,"PF13855,PF23247,PF23598",7,0,7,3315361,K7KQM7_F1_nD5,afdb,454,True,0.738,"PF23247,PF23598",afdb,3371197,
4970.1.1.18,PF01025,2,0,2,4199249,Q73GX9_nD2,afdb,55,True,0.345,PF01025,afdb,4207026,
309.1.2.3,PF08915,4,0,4,4931179,A0A1Y3GCZ0_F1_nD1,afdb,0,True,1.0,PF08915,afdb,4552801,
221.1.2.15,"PF01479,PF22421",11,0,11,4213270,Q87J85_nD2,afdb,94,True,1.0,PF22421,afdb,4097946,
109.4.1.1336,"PF12854,PF13041,PF13812",24,0,24,3829150,Q9FLJ4_F1_nD2,afdb,140,True,1.0,"PF12854,PF13041",afdb,3441897,
220.1.1.153,PF24818,30,0,30,3802918,Q9SUG8_F1_nD1,afdb,140,True,1.0,PF24818,afdb,3832578,
386.1.1.330,PF25076,2,0,2,3908145,Q6GQL7_F1_nD1,afdb,30,True,1.0,PF25076,afdb,3753402,
2006.1.6.40,PF25043,12,0,12,3381662,I1J626_F1_nD2,afdb,210,True,0.878,PF25043,afdb,3834038,
633.24.1.7,PF24097,2,0,2,3636892,C1HDT3_F1_nD1,afdb,85,True,1.0,PF24097,afdb,3695830,
310.2.1.35,PF28954,4,0,4,4386701,C5E4V5_nD6,afdb,145,True,0.316,PF28954,afdb,4179058,
109.4.1.1581,PF29127,7,0,7,3578112,A0A3P7FJV4_F1_nD1,afdb,245,True,0.99,PF29127,afdb,4155627,
10.32.1.252,PF24086,4,0,4,3200725,C0NGQ3_F1_nD1,afdb,204,True,1.0,PF24086,afdb,3639114,
378.1.1.28,PF05766,3,0,3,3944337,A0A0H3GT29_F1_nD3,afdb,135,True,0.637,PF05766,afdb,3980607,
633.10.1.15,PF09799,11,0,11,3762742,B6ID01_F1_nD1,afdb,135,True,1.0,PF09799,afdb,3853260,
101.1.9.89,PF02092,2,0,2,4446125,A9M127_nD2,afdb,115,True,0.214,PF02092,afdb,4379041,
6.1.1.34,PF25490,14,0,14,3374697,A0A0R0JNC7_F1_nD3,afdb,140,True,1.0,PF25490,afdb,3443611,
558.1.1.24,PF26038,12,0,12,4181231,Q0VA42_nD1,afdb,75,True,1.0,PF26038,afdb,3573181,
2003.1.1.374,PF01958,17,0,17,5002972,L0KX10_F1_nD1,afdb,0,True,1.0,"PF01958,PF03447",afdb,5034219,
101.1.2.934,PF25213,17,0,16,4961645,D4GPS4_F1_nD1,afdb,0,True,0.965,PF25213,afdb,4962058,
2485.1.1.117,PF24510,4,0,4,3879894,E7FC06_F1_nD3,afdb,110,True,1.0,PF24510,afdb,3532460,
109.4.1.2426,"PF01535,PF12854,PF13041,PF13812,PF20430,PF20431",2,0,2,3813706,Q9STE1_F1_nD3,afdb,350,True,1.0,"PF01535,PF13041,PF13812,PF20430,PF20431",afdb,3810777,
109.4.1.1769,"PF00806,PF08144,PF22493",5,0,5,3414973,O61345_F1_nD1,afdb,505,True,0.937,"PF08144,PF22493",afdb,4000035,
206.1.3.57,PF14648,26,0,26,3991631,A0A0N4UB38_F1_nD8,afdb,365,True,0.89,PF14648,afdb,3294301,
5.1.11.21,"PF00400,PF23098",2,0,2,4383876,Q7ZX22_nD1,afdb,370,True,0.545,PF23098,afdb,3705526,
331.2.1.15,PF25227,3,0,3,4965901,D4GZQ9_F1_nD1,afdb,0,True,0.511,PF25227,afdb,4962935,
109.4.1.1879,"PF00515,PF13414,PF13424",4,0,4,3350921,I1J9X8_F1_nD3,afdb,180,True,1.0,"PF13414,PF13424",afdb,4514975,
