ecod_uid,f_id,ecod_domain_id,ecod_source_id,seqid_range,dtype
3805978,101.1.1.272,Q8RX35_F1_nD1,Q8RX35_F1,146-220,computed structural model
3884965,101.1.1.273,A0A2R8QPZ9_F1_nD4,A0A2R8QPZ9_F1,951-1055,computed structural model
4987105,101.1.1.275,EPP00019187_nD1,EPP00019187,11-95,computed structural model
3199859,101.1.1.278,C0NSI6_F1_nD2,C0NSI6_F1,116-215,computed structural model
4290870,101.1.1.279,P17263_nD2,P17263_F1,136-295,computed structural model
3523688,101.1.1.281,Q96RK0_F1_nD2,Q96RK0_F1,1461-1520,computed structural model
4128031,101.1.1.282,P64946_nD1,P64946_F1,"56-205,522-545",computed structural model
3665477,101.1.1.283,K7TVY5_F1_nD1,K7TVY5_F1,26-120,computed structural model
4004471,101.1.1.284,P0CF57_F1_nD1,P0CF57_F1,1-40,computed structural model
3525714,101.1.1.286,Q8NEF3_F1_nD2,Q8NEF3_F1,146-245,computed structural model
3543275,101.1.1.287,Q9H8Y1_F1_nD4,Q9H8Y1_F1,401-455,computed structural model
3219228,101.1.1.289,Q7K6J1_F1_nD1,Q7K6J1_F1,296-405,computed structural model
3318142,101.1.1.291,I1L023_F1_nD2,I1L023_F1,166-225,computed structural model
3351472,101.1.1.292,A0A0R0IDQ2_F1_nD2,A0A0R0IDQ2_F1,276-340,computed structural model
3301427,101.1.1.293,I1MDJ7_F1_nD2,I1MDJ7_F1,726-795,computed structural model
3619785,101.1.1.294,A0A044TB05_F1_nD2,A0A044TB05_F1,351-505,computed structural model
3652926,101.1.1.295,K7TIK5_F1_nD1,K7TIK5_F1,6-75,computed structural model
4545023,101.1.1.297,Q6FVA1_nD4,Q6FVA1_F1,"786-805,871-945",computed structural model
3327057,101.1.1.298,K7K0P7_F1_nD7,K7K0P7_F1,886-945,computed structural model
3561038,101.1.1.299,O94885_F1_nD5,O94885_F1,1091-1170,computed structural model
3961692,101.1.1.300,X8F9P6_F1_nD3,X8F9P6_F1,326-420,computed structural model
3461974,101.1.1.302,A0A0N7KKL6_F1_nD1,A0A0N7KKL6_F1,6-150,computed structural model
3681019,101.1.1.303,A0A1D6Q5R6_F1_nD1,A0A1D6Q5R6_F1,116-170,computed structural model
4048642,101.1.1.304,B9KMT6_nD3,B9KMT6_F1,441-503,computed structural model
4271344,101.1.1.305,Q58CW6_nD2,Q58CW6_F1,411-480,computed structural model
4128029,101.1.1.307,P64740_nD2,P64740_F1,61-100,computed structural model
4120848,101.1.1.310,O84587_nD1,O84587_F1,31-190,computed structural model
3178411,101.1.1.311,P47098_F1_nD2,P47098_F1,261-355,computed structural model
4061700,101.1.1.312,P22016_nD2,P22016_F1,116-260,computed structural model
3391578,101.1.1.313,Q9VMD9_F1_nD2,Q9VMD9_F1,321-465,computed structural model
3217350,101.1.1.315,W6RRY4_F1_nD3,W6RRY4_F1,616-670,computed structural model
3569952,101.1.1.316,O43427_F1_nD1,O43427_F1,16-195,computed structural model
3874666,101.1.1.317,Q8VEH5_F1_nD2,Q8VEH5_F1,91-165,computed structural model
4010111,101.1.1.318,P77174_F1_nD2,P77174_F1,151-200,computed structural model
3945211,101.1.13.2,A0A0H3GVM3_F1_nD1,A0A0H3GVM3_F1,6-60,computed structural model
3196324,101.1.1.320,C0NKV8_F1_nD3,C0NKV8_F1,1116-1238,computed structural model
3739658,101.1.1.321,O42870_F1_nD1,O42870_F1,61-165,computed structural model
3415682,101.1.1.323,Q7K4M4_F1_nD3,Q7K4M4_F1,471-620,computed structural model
3919362,101.1.1.325,G1K2G6_F1_nD1,G1K2G6_F1,501-580,computed structural model
3238520,101.1.1.327,Q9XXC9_F1_nD2,Q9XXC9_F1,326-510,computed structural model
3717729,101.1.1.329,Q4CYJ8_F1_nD2,Q4CYJ8_F1,126-255,computed structural model
4919031,101.1.1.330,e9rmuD2,9rmu_D,88-135,experimental structure
3630289,101.1.1.331,A0A044TT26_F1_nD3,A0A044TT26_F1,381-465,computed structural model
3576763,101.1.1.332,A0A3P7F2M7_F1_nD1,A0A3P7F2M7_F1,1-65,computed structural model
3725567,101.1.1.333,A0A0D2DJU5_F1_nD1,A0A0D2DJU5_F1,127-205,computed structural model
4357104,101.1.1.334,Q7SYV0_nD1,Q7SYV0_F1,61-165,computed structural model
3731373,101.1.1.335,A0A0D2EYP9_F1_nD1,A0A0D2EYP9_F1,16-95,computed structural model
4017270,101.1.1.336,A0A175VWR6_F1_nD5,A0A175VWR6_F1,331-425,computed structural model
3189663,101.1.1.337,U7Q2R4_F1_nD1,U7Q2R4_F1,221-294,computed structural model
3188191,101.1.1.338,U7PQT3_F1_nD1,U7PQT3_F1,"246-300,366-390",computed structural model
3330811,101.1.1.339,K7MH50_F1_nD8,K7MH50_F1,506-605,computed structural model
3424453,101.1.1.341,Q10MT0_F1_nD1,Q10MT0_F1,31-115,computed structural model
3642853,101.1.1.343,A0A1D6F6R6_F1_nD2,A0A1D6F6R6_F1,286-390,computed structural model
3199957,101.1.1.344,C0NJI2_F1_nD2,C0NJI2_F1,426-515,computed structural model
3533601,101.1.1.345,Q2KJY2_F1_nD1,Q2KJY2_F1,126-210,computed structural model
3837930,101.1.1.347,O25386_F1_nD3,O25386_F1,306-360,computed structural model
4007413,101.1.1.348,P0CF90_F1_nD1,P0CF90_F1,6-50,computed structural model
4008259,101.1.1.350,P38035_F1_nD4,P38035_F1,451-525,computed structural model
3543146,101.1.1.351,Q92922_F1_nD6,Q92922_F1,866-925,computed structural model
3684914,101.1.1.354,A0A1C1CKS8_F1_nD1,A0A1C1CKS8_F1,156-210,computed structural model
3944885,101.1.1.355,A0A0H3GYG5_F1_nD2,A0A0H3GYG5_F1,121-185,computed structural model
3928067,101.1.1.356,A0A0K0DZA2_F1_nD2,A0A0K0DZA2_F1,56-110,computed structural model
3935495,101.1.1.357,A0A0K0ELK8_F1_nD1,A0A0K0ELK8_F1,16-85,computed structural model
3655266,101.1.1.362,A0A1D6FMZ2_F1_nD1,A0A1D6FMZ2_F1,6-80,computed structural model
3908297,101.1.1.365,Q6DBR4_F1_nD1,Q6DBR4_F1,76-150,computed structural model
3461613,101.1.1.367,C7J662_F1_nD1,C7J662_F1,171-220,computed structural model
3226995,101.1.1.369,O17024_F1_nD2,O17024_F1,81-155,computed structural model
4654073,101.1.1.371,O29658_nD1,O29658_F1,6-80,computed structural model
4111965,101.1.1.374,P0A135_nD2,P0A135_F1,56-115,computed structural model
3172751,101.1.1.377,P38201_F1_nD1,P38201_F1,271-370,computed structural model
4321283,101.1.1.378,P39785_nD2,P39785_F1,66-120,computed structural model
4198252,101.1.1.381,Q07736_nD4,Q07736_F1,651-805,computed structural model
3987150,101.1.1.382,Q327A3_F1_nD1,Q327A3_F1,46-95,computed structural model
3402689,101.1.1.383,Q9W3J5_F1_nD1,Q9W3J5_F1,1-185,computed structural model
3841511,101.1.1.384,Q8CHC8_F1_nD1,Q8CHC8_F1,"71-130,151-250",computed structural model
3866458,101.1.1.386,Q9Z103_F1_nD7,Q9Z103_F1,471-565,computed structural model
4090141,101.1.1.494,Q54513_nD1,Q54513_F1,1-60,computed structural model
4993451,101.1.1.537,EPP00012935_nD1,EPP00012935,1-50,computed structural model
4997042,101.1.1.540,EPP00006790_nD2,EPP00006790,161-215,computed structural model
4962257,101.1.1.542,D4GRA6_F1_nD2,D4GRA6_F1,81-150,computed structural model
5021230,101.1.1.544,Q8PYY6_F1_nD2,Q8PYY6_F1,61-170,computed structural model
5021578,101.1.1.545,Q8PZQ7_F1_nD2,Q8PZQ7_F1,86-130,computed structural model
5008720,101.1.1.548,O34822_F1_nD2,O34822_F1,76-140,computed structural model
5021927,101.1.1.550,Q8Q0D4_F1_nD1,Q8Q0D4_F1,26-150,computed structural model
4999493,101.1.1.551,EPP00008964_nD2,EPP00008964,66-120,computed structural model
4967694,101.1.1.552,EPP00018822_nD1,EPP00018822,16-90,computed structural model
4965811,101.1.1.559,D4GZH2_F1_nD1,D4GZH2_F1,31-90,computed structural model
4514592,101.1.1.63,P55598_nD1,P55598_F1,6-95,computed structural model
3176365,101.1.1.67,P21538_F1_nD2,P21538_F1,"96-110,476-575,661-720",computed structural model
3328887,101.1.17.18,K7N3A9_F1_nD7,K7N3A9_F1,746-810,computed structural model
3854211,101.1.17.19,Q76I79_F1_nD2,Q76I79_F1,251-305,computed structural model
3298931,101.1.17.20,A0A0R0EKA2_F1_nD1,A0A0R0EKA2_F1,561-700,computed structural model
3697543,101.1.17.21,A0A1C1CN97_F1_nD3,A0A1C1CN97_F1,211-300,computed structural model
3731907,101.1.17.23,A0A0D2G5B1_F1_nD3,A0A0D2G5B1_F1,251-355,computed structural model
3780345,101.1.17.32,A0A140UHX1_F1_nD1,A0A140UHX1_F1,6-195,computed structural model
4946735,101.1.17.47,A0A9Y1FM59_F1_nD1,A0A9Y1FM59_F1,6-75,computed structural model
3558238,101.1.20.3,Q12980_F1_nD4,Q12980_F1,506-555,computed structural model
3558237,101.1.20.4,Q12980_F1_nD2,Q12980_F1,246-335,computed structural model
3650956,101.1.21.2,Q6R9F9_F1_nD2,Q6R9F9_F1,"106-380,401-415",computed structural model
3453675,101.1.2.304,B9FM64_F1_nD1,B9FM64_F1,1-115,computed structural model
3557046,101.1.2.496,P41214_F1_nD3,P41214_F1,256-355,computed structural model
3809134,101.1.2.497,Q9FMS5_F1_nD3,Q9FMS5_F1,326-405,computed structural model
4018994,101.1.2.499,A0A175W4Q3_F1_nD6,A0A175W4Q3_F1,731-810,computed structural model
4156027,101.1.2.501,Q65R92_nD2,Q65R92_F1,211-320,computed structural model
3998170,101.1.2.502,A0A0N4UBN9_F1_nD1,A0A0N4UBN9_F1,"6-90,121-130",computed structural model
2449470,101.1.2.503,e6a6iG1,6a6i_G,19-98,experimental structure
3244217,101.1.2.506,O62471_F1_nD5,O62471_F1,556-680,computed structural model
3921946,101.1.2.507,E7F6L6_F1_nD3,E7F6L6_F1,746-900,computed structural model
3282985,101.1.2.508,K0EXI1_F1_nD3,K0EXI1_F1,276-360,computed structural model
3433941,101.1.2.509,Q5ZB81_F1_nD3,Q5ZB81_F1,231-304,computed structural model
4143988,101.1.2.511,Q17Q06_nD4,Q17Q06_F1,"741-815,821-850",computed structural model
3390302,101.1.2.512,B7Z0B0_F1_nD1,B7Z0B0_F1,6-90,computed structural model
3372375,101.1.2.513,I1N9Z0_F1_nD1,I1N9Z0_F1,101-240,computed structural model
3367073,101.1.2.515,I1M4Q4_F1_nD4,I1M4Q4_F1,1101-1240,computed structural model
3463845,101.1.2.516,Q94DS8_F1_nD4,Q94DS8_F1,706-825,computed structural model
3194355,101.1.2.517,U7Q079_F1_nD1,U7Q079_F1,"6-140,181-385,491-699",computed structural model
3998731,101.1.2.518,A0A0N4U313_F1_nD3,A0A0N4U313_F1,151-250,computed structural model
3638677,101.1.2.519,A0A0A2V2P0_F1_nD5,A0A0A2V2P0_F1,531-730,computed structural model
4010961,101.1.2.520,A0A175VXK7_F1_nD3,A0A175VXK7_F1,"346-460,486-529",computed structural model
3435011,101.1.2.522,Q6ZBI5_F1_nD2,Q6ZBI5_F1,601-695,computed structural model
3308122,101.1.2.524,I1LAZ8_F1_nD2,I1LAZ8_F1,431-525,computed structural model
3327056,101.1.2.525,K7K0P7_F1_nD4,K7K0P7_F1,311-395,computed structural model
3882275,101.1.2.526,E7EZB6_F1_nD5,E7EZB6_F1,601-680,computed structural model
3189160,101.1.2.527,U7PX85_F1_nD1,U7PX85_F1,871-975,computed structural model
3342137,101.1.2.528,I1KZ40_F1_nD2,I1KZ40_F1,206-319,computed structural model
3438548,101.1.2.529,Q6Z849_F1_nD3,Q6Z849_F1,236-340,computed structural model
3601063,101.1.2.532,E9AGJ4_F1_nD1,E9AGJ4_F1,"6-145,177-370,396-540",computed structural model
3205132,101.1.2.533,C0NB65_F1_nD2,C0NB65_F1,261-355,computed structural model
3631410,101.1.2.535,C1H6N2_F1_nD1,C1H6N2_F1,196-350,computed structural model
3878505,101.1.2.536,A0A2R8QN68_F1_nD1,A0A2R8QN68_F1,1-55,computed structural model
3568145,101.1.2.537,Q5T8I9_F1_nD2,Q5T8I9_F1,"271-285,321-385",computed structural model
4895866,101.1.2.538,e9e5zA2,9e5z_A,334-404,experimental structure
3200860,101.1.2.539,C0NV59_F1_nD1,C0NV59_F1,111-205,computed structural model
4944735,101.1.2.542,A0A9Y1BLU6_F1_nD1,A0A9Y1BLU6_F1,11-135,computed structural model
4887262,101.1.2.544,e9efmB2,9efm_B,342-408,experimental structure
3216583,101.1.2.545,Q09302_F1_nD3,Q09302_F1,306-395,computed structural model
4613366,101.1.2.546,A0A084R1I1_nD1,A0A084R1I1_F1,6-390,computed structural model
3632496,101.1.2.547,C1H8T2_F1_nD3,C1H8T2_F1,396-515,computed structural model
3360738,101.1.2.548,I1KUK5_F1_nD1,I1KUK5_F1,21-180,computed structural model
3746985,101.1.2.551,M0R3S3_F1_nD4,M0R3S3_F1,701-795,computed structural model
4902866,101.1.2.552,e9kzx3c2,9kzx_3c,437-515,experimental structure
4259268,101.1.2.553,Q7NXB9_nD3,Q7NXB9_F1,"256-288,326-368",computed structural model
4955409,101.1.2.554,B1L4J1_F1_nD1,B1L4J1_F1,6-225,computed structural model
3791600,101.1.2.555,A0A7I4NL73_F1_nD2,A0A7I4NL73_F1,121-220,computed structural model
3216904,101.1.2.556,O62020_F1_nD2,O62020_F1,"201-280,356-370",computed structural model
3925492,101.1.2.558,A0A0K0EC83_F1_nD2,A0A0K0EC83_F1,221-275,computed structural model
3650126,101.1.2.559,A0A1D6QPH4_F1_nD2,A0A1D6QPH4_F1,101-200,computed structural model
4036029,101.1.2.561,A0A443HJY8_nD1,A0A443HJY8_F1,6-155,computed structural model
3531322,101.1.2.564,Q86WI3_F1_nD4,Q86WI3_F1,451-515,computed structural model
3885842,101.1.2.565,Q1LVS6_F1_nD1,Q1LVS6_F1,6-75,computed structural model
3552400,101.1.2.566,Q9H211_F1_nD1,Q9H211_F1,"166-350,441-545",computed structural model
4153338,101.1.2.567,P9WM54_nD1,P9WM54_F1,26-180,computed structural model
3200375,101.1.2.569,C0NWF7_F1_nD3,C0NWF7_F1,"431-585,1046-1165",computed structural model
4000249,101.1.2.570,A0A0N4UC90_F1_nD2,A0A0N4UC90_F1,581-665,computed structural model
3339531,101.1.2.572,K7MSB1_F1_nD2,K7MSB1_F1,161-240,computed structural model
3853979,101.1.2.573,Q7TNH6_F1_nD7,Q7TNH6_F1,751-880,computed structural model
4299477,101.1.2.574,A0QSB7_nD1,A0QSB7_F1,11-95,computed structural model
3895346,101.1.2.575,B0UYS3_F1_nD3,B0UYS3_F1,251-360,computed structural model
3213714,101.1.2.577,G5EEE4_F1_nD2,G5EEE4_F1,1001-1140,computed structural model
3557902,101.1.2.580,O75140_F1_nD6,O75140_F1,"976-995,1286-1298,1351-1419",computed structural model
4484261,101.1.2.582,Q6FIP7_nD2,Q6FIP7_F1,306-370,computed structural model
3982916,101.1.2.583,Q32F99_F1_nD2,Q32F99_F1,111-210,computed structural model
3987859,101.1.2.584,Q8DQW9_F1_nD2,Q8DQW9_F1,"126-225,331-340",computed structural model
4887612,101.1.2.586,e9heuY2,9heu_Y,295-380,experimental structure
3628625,101.1.2.588,A0A044SFW9_F1_nD1,A0A044SFW9_F1,71-160,computed structural model
3797376,101.1.2.589,A0A7I4KPV2_F1_nD2,A0A7I4KPV2_F1,161-285,computed structural model
4321259,101.1.2.591,P14565_nD4,P14565_F1,"316-385,566-625,776-830,836-935",computed structural model
4001292,101.1.2.592,A0A0N4UC90_F1_nD1,A0A0N4UC90_F1,81-290,computed structural model
3629111,101.1.2.593,A0A2K6VV45_F1_nD2,A0A2K6VV45_F1,146-255,computed structural model
3653135,101.1.2.594,A0A1D6PBR2_F1_nD3,A0A1D6PBR2_F1,"747-865,991-1015",computed structural model
3451503,101.1.2.595,Q6K326_F1_nD1,Q6K326_F1,176-445,computed structural model
3631225,101.1.2.596,C1GTC1_F1_nD5,C1GTC1_F1,946-1120,computed structural model
3421827,101.1.2.597,A3BMZ6_F1_nD1,A3BMZ6_F1,171-238,computed structural model
3655782,101.1.2.598,A0A1D6NJX1_F1_nD2,A0A1D6NJX1_F1,"6-25,91-225,271-280,376-519",computed structural model
4931006,101.1.2.599,A0A1Y3GCJ9_F1_nD1,A0A1Y3GCJ9_F1,6-65,computed structural model
3269873,101.1.2.602,Q54BL5_F1_nD6,Q54BL5_F1,1186-1290,computed structural model
4580985,101.1.2.603,A5DQA6_nD1,A5DQA6_F1,"11-345,381-420",computed structural model
4452821,101.1.2.604,F7E728_nD1,F7E728_F1,136-210,computed structural model
3180643,101.1.2.605,U7PV98_F1_nD2,U7PV98_F1,1166-1235,computed structural model
3770447,101.1.2.606,D3ZP45_F1_nD4,D3ZP45_F1,556-645,computed structural model
3280683,101.1.2.609,K0EQG7_F1_nD10,K0EQG7_F1,1336-1420,computed structural model
3289362,101.1.2.610,K0EQG7_F1_nD6,K0EQG7_F1,891-995,computed structural model
3956136,101.1.2.611,P96901_F1_nD8,P96901_F1,1091-1185,computed structural model
3279331,101.1.2.612,K0F679_F1_nD2,K0F679_F1,81-234,computed structural model
4211410,101.1.2.614,O84543_nD1,O84543_F1,"6-35,211-235",computed structural model
3185408,101.1.2.615,U7PXK2_F1_nD2,U7PXK2_F1,171-265,computed structural model
3166485,101.1.2.616,P39995_F1_nD1,P39995_F1,1-140,computed structural model
5021354,101.1.2.619,Q8PZ72_F1_nD2,Q8PZ72_F1,86-150,computed structural model
4887284,101.1.2.621,e9eg1A2,9eg1_A,334-404,experimental structure
3960705,101.1.2.622,X8F3E3_F1_nD1,X8F3E3_F1,1-70,computed structural model
4895784,101.1.2.623,e9efqB2,9efq_B,342-408,experimental structure
4887604,101.1.2.624,e9heuV2,9heu_V,385-444,experimental structure
3624473,101.1.2.625,A0A044S182_F1_nD1,A0A044S182_F1,1-85,computed structural model
3164807,101.1.2.628,P43940_F1_nD2,P43940_F1,81-190,computed structural model
4029431,101.1.2.634,A0A143ZWL6_F1_nD8,A0A143ZWL6_F1,"2091-2190,2226-2275",computed structural model
4016382,101.1.2.635,A0A175VY88_F1_nD1,A0A175VY88_F1,"166-340,381-489",computed structural model
4370980,101.1.2.637,A0QRY1_nD1,A0QRY1_F1,6-115,computed structural model
3882191,101.1.2.639,Q08C99_F1_nD4,Q08C99_F1,406-450,computed structural model
3914228,101.1.2.640,F1Q7Y2_F1_nD5,F1Q7Y2_F1,"476-485,671-760",computed structural model
3829353,101.1.2.641,F4I7J9_F1_nD6,F4I7J9_F1,"551-660,691-915,1286-1370,1736-1805,1831-1844",computed structural model
4609020,101.1.2.642,P22875_nD2,P22875_F1,91-180,computed structural model
5024796,101.1.2.643,Q9HJ00_F1_nD1,Q9HJ00_F1,6-155,computed structural model
4565956,101.1.2.644,P25237_nD1,P25237_F1,16-95,computed structural model
5029842,101.1.2.645,A0A0B5HPU0_F1_nD2,A0A0B5HPU0_F1,91-195,computed structural model
3230859,101.1.2.646,O01477_F1_nD1,O01477_F1,6-60,computed structural model
3838234,101.1.2.647,O25919_F1_nD1,O25919_F1,36-180,computed structural model
3222238,101.1.2.649,Q9N3A3_F1_nD1,Q9N3A3_F1,246-315,computed structural model
4963201,101.1.2.650,D4GTH3_F1_nD2,D4GTH3_F1,336-405,computed structural model
3559429,101.1.2.651,O75140_F1_nD2,O75140_F1,96-170,computed structural model
4971198,101.1.2.652,EPP00000549_nD1,EPP00000549,11-155,computed structural model
4643976,101.1.2.654,P60119_nD1,P60119_F1,31-195,computed structural model
3955500,101.1.2.655,P9WM43_F1_nD1,P9WM43_F1,36-113,computed structural model
3982864,101.1.2.658,Q32HN2_F1_nD2,Q32HN2_F1,66-149,computed structural model
3608955,101.1.2.660,Q57XQ2_F1_nD4,Q57XQ2_F1,316-410,computed structural model
3262460,101.1.2.661,Q55FJ5_F1_nD2,Q55FJ5_F1,"1-70,91-105,386-665",computed structural model
4029375,101.1.2.663,Q8ILP9_F1_nD2,Q8ILP9_F1,1171-1260,computed structural model
3840294,101.1.2.664,Q8K284_F1_nD1,Q8K284_F1,1-360,computed structural model
3818254,101.1.2.667,Q9FZ37_F1_nD1,Q9FZ37_F1,56-230,computed structural model
3972090,101.1.2.668,Q9HVB1_F1_nD1,Q9HVB1_F1,6-90,computed structural model
3973730,101.1.2.669,Q9HZE0_F1_nD8,Q9HZE0_F1,"946-1230,1251-1260",computed structural model
3958385,101.1.2.670,X8FBY8_F1_nD2,X8FBY8_F1,116-215,computed structural model
166256,101.1.2.672,e3b73A1,3b73_A,2-89,experimental structure
1696828,101.1.2.673,e5dukA1,5duk_A,9-68,experimental structure
2849703,101.1.2.674,e7od9F1,7od9_F,35-115,experimental structure
4888539,101.1.2.675,e9lhvA2,9lhv_A,335-587,experimental structure
5031997,101.1.2.700,A0A0P9G659_F1_nD2,A0A0P9G659_F1,61-140,computed structural model
3548850,101.1.2.712,Q9P278_F1_nD2,Q9P278_F1,"391-450,486-530,941-1110",computed structural model
4601008,101.1.2.728,G7WMP6_nD1,G7WMP6_F1,6-115,computed structural model
5065235,101.1.2.738,UPI0030E19E1F_nD1,UPI0030E19E1F,6-190,computed structural model
3280606,101.1.2.743,K0FEY7_F1_nD3,K0FEY7_F1,311-390,computed structural model
4283075,101.1.2.750,O28141_nD1,O28141_F1,"41-90,113-225",computed structural model
4961452,101.1.2.751,D4GPD2_F1_nD2,D4GPD2_F1,151-275,computed structural model
5080067,101.1.2.752,UPI00355D2C3A_nD1,UPI00355D2C3A,11-150,computed structural model
4676441,101.1.2.785,P55388_nD2,P55388_F1,311-380,computed structural model
4953119,101.1.2.805,A5UL17_F1_nD4,A5UL17_F1,616-795,computed structural model
3602713,101.1.2.819,Q58962_F1_nD1,Q58962_F1,6-150,computed structural model
4498619,101.1.2.837,Q925X2_nD1,Q925X2_F1,11-140,computed structural model
4877466,101.1.2.867,e8y3zA01,8y3z_A,36-106,experimental structure
4946233,101.1.2.872,A0A9Y1FL36_F1_nD2,A0A9Y1FL36_F1,61-120,computed structural model
4947131,101.1.2.873,A0AAF0D1A4_F1_nD1,A0AAF0D1A4_F1,1-60,computed structural model
4975298,101.1.2.876,EPP00009691_nD2,EPP00009691,"6-70,196-215,241-285",computed structural model
4943729,101.1.2.878,A0A9Y1BJW7_F1_nD1,A0A9Y1BJW7_F1,1-95,computed structural model
4980028,101.1.2.879,EPP00004058_nD1,EPP00004058,16-95,computed structural model
5013438,101.1.2.881,Q5JFP8_F1_nD1,Q5JFP8_F1,6-65,computed structural model
5018158,101.1.2.886,Q8PSS5_F1_nD1,Q8PSS5_F1,"1-80,131-160",computed structural model
5061884,101.1.2.887,UPI00276D4E85_nD2,UPI00276D4E85,"86-155,161-250",computed structural model
4949226,101.1.2.892,A3CSK1_F1_nD1,A3CSK1_F1,6-165,computed structural model
5019807,101.1.2.894,Q8PW47_F1_nD1,Q8PW47_F1,"1-80,101-165",computed structural model
5009991,101.1.2.895,Q4J7U2_F1_nD1,Q4J7U2_F1,1-100,computed structural model
5018244,101.1.2.896,Q8PSX3_F1_nD1,Q8PSX3_F1,6-100,computed structural model
4945850,101.1.2.899,A0A9Y1FKB6_F1_nD2,A0A9Y1FKB6_F1,61-190,computed structural model
4965091,101.1.2.908,D4GXV6_F1_nD1,D4GXV6_F1,56-135,computed structural model
4965088,101.1.2.909,D4GXV3_F1_nD2,D4GXV3_F1,81-165,computed structural model
4963349,101.1.2.912,D4GTV0_F1_nD1,D4GTV0_F1,6-120,computed structural model
5080275,101.1.2.914,UPI00355D8F06_nD1,UPI00355D8F06,1-120,computed structural model
4944204,101.1.2.916,A0A9Y1BKT8_F1_nD3,A0A9Y1BKT8_F1,416-505,computed structural model
4963433,101.1.2.919,D4GU20_F1_nD2,D4GU20_F1,"86-110,121-179",computed structural model
4964911,101.1.2.920,D4GXF9_F1_nD2,D4GXF9_F1,146-270,computed structural model
5003349,101.1.2.921,L0KXR0_F1_nD1,L0KXR0_F1,1-100,computed structural model
4962955,101.1.2.922,D4GSW6_F1_nD1,D4GSW6_F1,1-80,computed structural model
5071770,101.1.2.923,UPI0032456FF2_nD1,UPI0032456FF2,6-104,computed structural model
