domain_id,t_id,old_f,old_f_name,commons_f,new_f_name,final_action,relaxed_Q_verdict,composite_outcome,struct_verdict,struct_rederived_f
e1zq9A3,2003.1.5,2003.1.5.2,RrnaAD,2003.1.5.155,"RrnaAD, Methyltransf_25",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,102.2.1.0;2003.1.5.2
e1wznA1,2003.1.5,2003.1.5.81,Methyltransf_25,2003.1.5.151,"Methyltransf_23, Methyltransf_25",APPLY (batch1): reassign f_id -> commons_f,,,supports_old,2003.1.5.81
e1y8cA1,2003.1.5,2003.1.5.81,Methyltransf_25,2003.1.5.151,"Methyltransf_23, Methyltransf_25",APPLY (batch1): reassign f_id -> commons_f,,,supports_old,2003.1.5.81
e1mkyA3,2004.1.1,2004.1.1.73,MMR_HSR1,2004.1.1.414,"GTP_EFTU, MMR_HSR1",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,2004.1.1.73
e1vplA1,2004.1.1,2004.1.1.5,ABC_tran,2004.1.1.417,"ABC_tran, AAA_21",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,2004.1.1.5
e1zunB3,2004.1.1,2004.1.1.14,GTP_EFTU,2004.1.1.414,"GTP_EFTU, MMR_HSR1",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,1.1.7.19;1.1.8.11;2004.1.1.14
e3dhwC2,2004.1.1,2004.1.1.5,ABC_tran,2004.1.1.417,"ABC_tran, AAA_21",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,2004.1.1.5;304.8.1.5
e4ux3A1,2004.1.1,2004.1.1.87,SMC_N,2004.1.1.429,"SMC_N, AAA_15",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,2004.1.1.87;3922.1.1.0
e4rfsA1,2004.1.1,2004.1.1.5,ABC_tran,2004.1.1.417,"ABC_tran, AAA_21",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,2004.1.1.5
e1gpmA2,2005.1.1,2005.1.1.18,NAD_synthase,2005.1.1.47,"NAD_synthase, tRNA_Me_trans",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,2005.1.1.18;2007.1.1.1;327.3.1.1
e4upcA1,2011.1.1,2011.1.1.12,Nicastrin,2011.1.1.35,"Peptidase_M28, Nicastrin",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,2011.1.1.12;2487.1.1.13
e1xwsA1,206.1.1,206.1.1.1,Pkinase,206.1.1.71,"Pkinase, Kdo",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,206.1.1.1
e1yhwA1,206.1.1,206.1.1.1,Pkinase,206.1.1.72,"Pkinase, Pkinase_fungal",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,206.1.1.1
e2jflA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,206.1.1.1
e4bkyA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,103.1.1.26;206.1.1.1
e4k17A2,207.1.1,207.1.1.22,LRR_6,207.1.1.161,"LRR_6, LRR_CARMIL",APPLY (batch1): reassign f_id -> commons_f,,,supports_old,207.1.1.22
e4gcwA1,247.1.1,247.1.1.11,Lactamase_B_2,247.1.1.29,"Lactamase_B_2, Anti-Pycsar_Apyc1",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,247.1.1.11
e1wepA1,376.1.3,376.1.3.1,PHD,376.1.3.56,PHD_UBR7-like,APPLY (batch1): reassign f_id -> commons_f,,,supports_old,376.1.3.1
e1xdtR1,389.1.1,389.1.1.1,EGF,389.1.1.99,EGF_TGFA-like,APPLY (batch1): reassign f_id -> commons_f,,,supports_old,389.1.1.1
e1l0qA2,5.1.4,5.1.4.64,YNCE,5.1.4.405,"Lactonase, YNCE, choice_anch_I",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,11.1.1.284;5.1.4.64
e1tyeA1,5.1.4,5.1.4.13,FG-GAP,5.1.4.257,"FG-GAP, FG-GAP_3",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,5.1.4.13
e3sfzA6,5.1.5,5.1.5.1,WD40,5.1.5.75,"WD40, ANAPC4_WD40",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,supports_old,101.1.2.197;110.1.1.2;148.1.3.0;2004.1.1.56;3704.1.1.1;5.1.4.274;5.1.5.1
e1ea5A1,7579.1.1,7579.1.1.1,COesterase,7579.1.1.89,"COesterase, BD-FAE",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,7579.1.1.1
e2hu7A2,7579.1.1,7579.1.1.3,Peptidase_S9,7579.1.1.94,"Peptidase_S9, Peptidase_S15",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,5.1.4.65;7579.1.1.3
e1c4xA1,7579.1.1,7579.1.1.6,Abhydrolase_1,7579.1.1.92,"Abhydrolase_1, Abhydrolase_6",APPLY (batch1): reassign f_id -> commons_f,,,supports_old,7579.1.1.6
e1tedA2,7581.1.1,7581.1.1.4,Chal_sti_synt_N,7581.1.1.24,"Chal_sti_synt_N, ACP_syn_III",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,supports_old,7581.1.1.4;7581.1.1.6
e4tkoB1,1.1.7,1.1.7.3,CusB_dom_1,1.1.7.88,Beta-barrel_AAEA,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e1yleA2,1.13.1,1.13.1.1,AstA,1.13.1.2,AstA_C,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4zmkA1,1009.1.1,,,1009.1.1.1,Taz1_DD,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e1wj7A1,103.1.1,103.1.1.14,UBA_4,103.1.1.84,UBA_UBAP2,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4n5cD1,109.4.1,,,109.4.1.1575,"YPP1_N, YPP1_middle, YPP1_C",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,unclassified,
e5dlqB1,109.4.1,109.4.1.125,CRM1_C,109.4.1.1463,XPO4,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4ak1A2,11.1.1,11.1.1.200,SGBP_BT4661-like,11.1.1.1383,Ig_BT4661_4th,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4ak1A3,11.1.1,11.1.1.200,SGBP_BT4661-like,11.1.1.1157,Ig_BT4661_5th,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4ak1A4,11.1.1,11.1.1.200,SGBP_BT4661-like,11.1.1.1158,Ig_BT4661_6th,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e3lm3A2,12.1.1,12.1.1.20,,12.1.1.117,DUF3864,APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,unclassified,
e6d7yA1,1205.2.1,,,1205.2.1.1,CdiA_CT_tRNase,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e5h9dC1,141.1.1,141.1.1.6,HEPPP_synt_1,141.1.1.33,HexPS-like,APPLY + reseed/deprecate old group (see reseed_suggestions),,,unclassified,
e5w2lB1,2.1.1,2.1.1.66,CTC1,2.1.1.243,CTC1_5th,APPLY + reseed/deprecate old group (see reseed_suggestions),,,unclassified,
e3nklB1,2003.1.1,2003.1.1.71,CoA_binding_3,2003.1.1.260,C2185-like_N,APPLY + reseed/deprecate old group (see reseed_suggestions),,,unclassified,
e1qhlA1,2004.1.1,2004.1.1.113,MukB,2004.1.1.1172,"MukB, AAA_29",APPLY: composite Pfam-justified (extra Pfam above GA),Q_above_GA,subset_ambiguous,unclassified,
e6f1sA1,2008.8.1,,,2008.8.1.1,CglI_C,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6gjeC1,207.16.1,,,207.16.1.1,Cubilin_N,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6f7jB1,304.9.1,,,304.9.1.78,RRM_SRRT,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e3gs9A2,3070.1.1,3070.1.1.3,Prophage_tail,3070.1.1.18,Prophage_tail_N2,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e4ei0A2,3077.1.1,3077.1.1.2,DUF4466,3077.1.1.3,DUF8576,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e2knjA1,3090.1.1,,,3090.1.1.2,Microplusin,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e3n54B1,3234.1.1,3234.1.1.1,Spore_GerAC,3234.1.1.2,"Spore_GerAC, Spore_GerAC_N",APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,unclassified,
e2fgtA2,3425.2.1,3425.2.1.1,YycH,3425.2.1.3,YycH_C,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e2o3iA2,4176.1.1,4176.1.1.1,,4176.1.1.2,S-Me-THD_N,APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,unclassified,
e1xu6A1,4986.1.1,,,4986.1.1.4,VSE2,APPLY: composite Pfam-confirmed (architecture==target),,apply_commons,unclassified,
e5cwwB1,5.1.4,,,5.1.4.331,NUP82_beta-prop,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e1lshA1,5087.2.1,5087.2.1.1,Vitellogenin_N,5087.2.1.2,Vitellogenin_N,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6d7yB1,7075.1.1,,,7075.1.1.1,PABL017_Cdi1I,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6a9sA2,7083.1.1,,,7083.1.1.1,Pox_A26L_M,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6qixA2,7084.1.1,,,7084.1.1.2,PCHTP_C,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
e6qixA1,922.1.1,,,922.1.1.21,PCHTP_C,APPLY (batch1): reassign f_id -> commons_f,,,unclassified,
