ecod_uid,domain_id,t_id,old_f,commons_f,dominant_pfam,dominant_name,dominant_cov_pct,dominant_score,verdict
8818,e1gcyA2,2002.1.1,2002.1.1.5,2002.1.1.301,,,,,no_dominant_pfam
1088769,e1smrA2,1.1.1,1.1.1.1,1.1.1.27,PF00026,Asp,91.6,395.7,ambiguous_both
1676515,e4ui9A2,109.35.1,109.35.1.1,109.35.1.11,PF29300,APC1_5th,65.2,499.3,supports_commons
9388,e1xxlA1,2003.1.5,2003.1.5.66,2003.1.5.154,PF03141,Methyltransf_29,89.7,24.7,supports_commons
1779600,e5hx2D2,11.41.1,,11.41.1.1,PF31222,Gp6_3rd,100.0,162.9,supports_commons
119034,e1s6iA1,108.1.1,108.1.1.1,108.1.1.97,PF13499,EF-hand_7,79.7,50.2,supports_commons
1790181,e5d0qC1,331.22.1,331.22.1.1,331.22.1.2,PF29358,BamC-like_N,92.0,211.2,supports_commons
119101,e1y1xA1,108.1.1,108.1.1.3,108.1.1.98,PF13499,EF-hand_7,75.0,44.3,supports_commons
4607,e1te4A1,109.4.1,109.4.1.207,109.4.1.1283,PF13646,HEAT_2,77.5,61.1,ambiguous_both
3761,e1ewqA1,601.23.1,601.23.1.1,601.23.1.4,PF05192,MutS_III,97.5,163.0,ambiguous_both
119099,e1xo5A1,108.1.1,108.1.1.29,108.1.1.103,PF13499,EF-hand_7,82.0,47.0,ambiguous_both
118964,e1jbaA2,108.1.1,108.1.1.29,108.1.1.97,PF13499,EF-hand_7,83.7,53.4,ambiguous_both
3163,e2obhA2,108.1.1,108.1.1.29,108.1.1.96,PF13499,EF-hand_7,97.0,57.3,ambiguous_both
9749,e1qvrC4,2004.1.1,2004.1.1.1,2004.1.1.462,PF00004,AAA,71.8,49.3,supports_old_ecod_rep
1885547,e5kokA1,2003.1.5,2003.1.5.21,2003.1.5.152,PF02353,CMAS,77.6,118.1,ambiguous_both
1031088,e3sfzA5,5.1.4,5.1.4.1,5.1.4.274,,,,,no_dominant_pfam
185234,e3f6kA1,5.1.7,5.1.7.2,5.1.7.4,PF15902,Sortilin-Vps10,82.6,390.1,ambiguous_both
1288513,e4jp0A3,101.1.1,,101.1.1.364,PF18010,HTH_49,85.3,39.8,supports_commons
118952,e1hqvA2,108.1.1,108.1.1.29,108.1.1.99,PF13499,EF-hand_7,66.3,50.8,ambiguous_both
1117696,e3vkhA3,2004.1.1,2004.1.1.156,2004.1.1.500,PF07728,AAA_5,77.9,57.2,ambiguous_both
7190,e1jl5A1,207.1.1,,207.1.1.199,,,,,no_dominant_pfam
119019,e1qv0A1,108.1.1,108.1.1.1,108.1.1.97,PF13499,EF-hand_7,71.6,33.4,supports_commons
1145809,e2lhiA1,108.1.1,108.1.1.29,108.1.1.97,PF13499,EF-hand_7,83.3,61.2,ambiguous_both
1843702,e3q3qA1,7515.1.1,7515.1.1.6,7515.1.1.15,PF01663,Phosphodiest,81.6,128.2,ambiguous_both
9677,e1b0uA1,2004.1.1,2004.1.1.5,2004.1.1.417,PF00005,ABC_tran,62.4,122.5,ambiguous_both
7193,e1w8aA1,207.1.1,207.1.1.11,207.1.1.164,,,,,no_dominant_pfam
8457,e2p3uA1,389.1.1,389.1.1.17,389.1.1.97,PF14670,FXa_inhibition,70.6,47.2,ambiguous_both
9015,e1hk8A1,2500.1.1,2500.1.1.5,2500.1.1.7,PF13597,NRDD,100.0,536.2,ambiguous_both
9294,e1gteA5,2003.1.3,2003.1.3.3,2003.1.3.15,PF07992,Pyr_redox_2,81.1,49.2,ambiguous_both
7389,e2f4mA1,219.1.1,219.1.1.13,219.1.1.111,,,,,no_dominant_pfam
5479,e1hfeL2,205.1.1,205.1.1.1,205.1.1.41,PF13237,Fer4_10,60.0,32.8,supports_commons
5482,e1jnrB1,205.1.1,205.1.1.13,205.1.1.47,,,,,no_dominant_pfam
1107951,e1h0hB2,205.1.1,205.1.1.17,205.1.1.71,,,,,no_dominant_pfam
10804,e1k8qA1,7579.1.1,7579.1.1.6,7579.1.1.93,PF00561,Abhydrolase_1,79.8,97.3,ambiguous_both
9237,e2vouA2,2003.1.2,2003.1.2.15,2003.1.2.99,PF01494,FAD_binding_3,60.0,36.5,ambiguous_both
9600,e2bv3A5,2004.1.1,2004.1.1.14,2004.1.1.414,PF00009,GTP_EFTU,98.8,223.1,ambiguous_both
215,e1arbA1,1.1.17,1.1.17.1,1.1.17.9,PF30586,LYSC_C,86.7,217.2,supports_commons
9871,e2gfhA1,2006.1.1,2006.1.1.1,2006.1.1.44,PF00702,Hydrolase,79.8,88.0,ambiguous_both
9602,e1n0uA5,2004.1.1,2004.1.1.14,2004.1.1.414,PF00009,GTP_EFTU,95.9,176.2,ambiguous_both
9485,e1nriA1,2007.6.1,2007.6.1.12,2007.6.1.17,,,,,no_dominant_pfam
1821879,e2gv9B7,1058.1.1,,1058.1.1.1,PF31254,Herpes_Pol_N,100.0,114.7,supports_commons
1108122,e4k17A2,207.1.1,207.1.1.22,207.1.1.161,PF29265,LRR_CARMIL,99.4,937.9,supports_commons
10114,e2shpA3,2007.2.3,2007.2.3.1,2007.2.3.21,PF00102,Y_phosphatase,80.8,273.6,ambiguous_both
185951,e2fgtA2,3425.2.1,3425.2.1.1,3425.2.1.3,PF29809,YycH_C,96.3,303.8,supports_commons
1145884,e4cfeA1,206.1.1,206.1.1.1,206.1.1.70,PF00069,Pkinase,80.6,249.8,ambiguous_both
2066777,e3wpcA1,207.1.1,207.1.1.24,207.1.1.210,,,,,no_dominant_pfam
7194,e1xkuA1,207.1.1,207.1.1.24,207.1.1.140,,,,,no_dominant_pfam
146239,e3ml3A1,207.2.1,207.2.1.10,207.2.1.74,PF18883,AC_1,71.2,76.8,supports_commons
7388,e1x3zA1,219.1.1,219.1.1.13,219.1.1.111,,,,,no_dominant_pfam
1870442,e3cmmA1,2003.1.9,2003.1.9.1,2003.1.9.8,PF00899,ThiF,97.0,98.7,ambiguous_both
9393,e1y8cA1,2003.1.5,2003.1.5.81,2003.1.5.151,PF13489,Methyltransf_23,80.1,37.1,supports_commons
9382,e2fk8A1,2003.1.5,2003.1.5.21,2003.1.5.152,PF02353,CMAS,96.8,401.1,ambiguous_both
10852,e2hu7A2,7579.1.1,7579.1.1.3,7579.1.1.94,PF00326,Peptidase_S9,78.5,146.5,ambiguous_both
7243,e2oi5A1,208.1.1,208.1.1.1,208.1.1.20,PF25087,GMPPB_C,62.7,41.4,supports_commons
2200,e1w0pA3,5.1.3,5.1.3.26,5.1.3.134,,,,,no_dominant_pfam
2751,e2hyeC2,101.1.2,101.1.2.13,101.1.2.493,PF26557,Cullin_AB,82.1,158.3,supports_commons
1310587,e4nsxA2,5.1.4,5.1.4.1,5.1.4.270,PF25168,Beta-prop_WDR36-Utp21_2nd,97.3,334.2,supports_commons
1687171,e5cwwB1,5.1.4,,5.1.4.331,PF30861,NUP82_beta-prop,99.7,900.2,supports_commons
1291898,e4ci8A1,5.1.4,5.1.4.2,5.1.4.269,PF23409,Beta-prop_EML,85.0,420.2,supports_commons
1291899,e4ci8A2,5.1.4,5.1.4.2,5.1.4.293,PF23414,Beta-prop_EML_2,82.5,366.5,supports_commons
119021,e1r7rA6,2004.1.1,2004.1.1.1,2004.1.1.415,PF00004,AAA,75.3,158.3,ambiguous_both
2233,e2ebsA1,5.1.4,5.1.4.52,5.1.4.406,,,,,no_dominant_pfam
1148107,e3j65q2,5.1.5,5.1.5.1,5.1.5.78,,,,,no_dominant_pfam
9395,e1wznA1,2003.1.5,2003.1.5.81,2003.1.5.151,PF13489,Methyltransf_23,82.5,41.8,supports_commons
9406,e2gh1A1,2003.1.5,2003.1.5.82,2003.1.5.201,PF13847,Methyltransf_31,70.1,56.5,ambiguous_both
2033698,e2vpzB2,205.1.1,205.1.1.17,205.1.1.44,PF13247,Fer4_11,100.0,91.5,ambiguous_both
10781,e1dx4A1,7579.1.1,7579.1.1.1,7579.1.1.89,PF00135,COesterase,98.1,439.2,ambiguous_both
1019409,e4gcwA1,247.1.1,247.1.1.11,247.1.1.29,,,,,no_dominant_pfam
1005491,e3hbzA1,6082.1.1,6082.1.1.2,6082.1.1.3,PF29074,SGBP_N,85.1,71.8,supports_commons
2266,e2bibA1,702.1.1,702.1.1.1,702.1.1.9,,,,,no_dominant_pfam
1514546,e1qamA3,2003.1.5,2003.1.5.2,2003.1.5.182,PF00398,RrnaAD,100.0,219.2,ambiguous_both
4516,e1n11A1,109.3.1,109.3.1.1,109.3.1.165,,,,,no_dominant_pfam
4520,e1iknD1,109.3.1,109.3.1.8,109.3.1.162,,,,,no_dominant_pfam
9346,e1l3iA1,2003.1.5,2003.1.5.82,2003.1.5.179,PF30636,Methyltransf_37,90.9,69.6,supports_commons
9698,e1uaaA2,2004.1.1,2004.1.1.195,2004.1.1.508,PF13361,UvrD_C,92.2,268.8,ambiguous_both
9626,e1zunB3,2004.1.1,2004.1.1.14,2004.1.1.414,PF00009,GTP_EFTU,97.3,164.1,ambiguous_both
1684052,e1y5iA4,2003.2.1,2003.2.1.1,2003.2.1.8,PF00384,Molybdopterin,60.0,256.5,ambiguous_both
223873,e3n71A1,70.3.1,70.3.1.1,70.3.1.11,PF00856,SET,83.4,38.5,ambiguous_both
1841022,e4uxeB3,1088.1.1,,1088.1.1.1,PF31249,Gp34_C,100.0,81.7,supports_commons
9036,e1ek6A1,2003.1.1,2003.1.1.72,2003.1.1.152,PF16363,GDP_Man_Dehyd,94.8,195.1,ambiguous_both
2198,e1w8oA3,5.1.3,5.1.3.26,5.1.3.134,PF13088,BNR_2,86.0,84.5,ambiguous_both
2826,e1q06A1,101.1.9,101.1.9.17,101.1.9.82,,,,,no_dominant_pfam
1734343,e2wteA2,101.1.2,101.1.2.93,101.1.2.530,PF25212,HVO_A0114,85.7,35.1,supports_commons
2827,e1q08A1,101.1.9,101.1.9.14,101.1.9.82,PF09278,MerR-DNA-bind,70.2,78.7,ambiguous_both
1680001,e4ytkA1,4.1.1,4.1.1.3,4.1.1.299,PF23042,KOW1_SPT5,100.0,127.3,supports_commons
9843,e2d13A1,2005.1.1,2005.1.1.16,2005.1.1.54,,,,,no_dominant_pfam
9835,e1gpmA2,2005.1.1,2005.1.1.18,2005.1.1.47,,,,,no_dominant_pfam
9623,e1wxqA2,2004.1.1,2004.1.1.74,2004.1.1.597,,,,,no_dominant_pfam
1716688,e4z87A1,2002.1.1,2002.1.1.23,2002.1.1.263,PF00478,IMPDH,88.6,456.5,ambiguous_both
1495179,e4pj3A3,2004.1.1,2004.1.1.184,2004.1.1.473,PF13086,AAA_11,66.2,101.7,ambiguous_both
1736241,e5cowA1,1041.1.1,,1041.1.1.1,PF29799,PGL_C,99.1,305.1,supports_commons
1688245,e4zmkA1,1009.1.1,,1009.1.1.1,PF31211,Taz1_DD,100.0,164.7,supports_commons
1916704,e5evfA1,872.12.1,,872.12.1.1,PF30739,DUF8716,99.0,174.2,supports_commons
9727,e1z3iX1,2004.1.1,2004.1.1.24,2004.1.1.428,PF11496,HDA2-3,70.5,31.6,supports_commons
1718749,e5dseC1,109.4.1,109.4.1.99,109.4.1.1798,,,,,no_dominant_pfam
1933300,e5h9dC1,141.1.1,141.1.1.6,141.1.1.33,PF22538,HexPS-like,70.7,144.1,supports_commons
1885533,e5ijlA2,375.1.1,375.1.1.24,375.1.1.204,PF24844,PolC_DP2_central,100.0,387.5,supports_commons
1824183,e5hb7A1,304.9.1,,304.9.1.92,PF30866,NUP53_M,98.3,220.4,supports_commons
2044878,e5h68A1,2004.1.1,2004.1.1.87,2004.1.1.480,PF02463,SMC_N,95.1,261.7,ambiguous_both
1839971,e5iv5I2,3386.2.1,3386.2.1.1,3386.2.1.4,PF23618,T4_gp9_10_C,96.2,120.0,supports_commons
1885536,e5ijlA5,1.3.1,1.3.1.1,1.3.1.2,PF24844,PolC_DP2_central,93.5,387.5,supports_commons
1824186,e5igoC1,5.1.4,5.1.4.1,5.1.4.254,,,,,no_dominant_pfam
2323934,e5teeA1,5.1.4,5.1.4.6,5.1.4.620,,,,,no_dominant_pfam
1891442,e5t8vA1,109.4.1,109.4.1.183,109.4.1.1739,,,,,no_dominant_pfam
2323924,e5oqdC2,101.1.2,,101.1.2.500,PF30898,PCL_mid,68.3,39.6,supports_commons
1933321,e5tj6A1,5054.1.1,5054.1.1.2,5054.1.1.59,PF00520,Ion_trans,81.0,71.1,ambiguous_both
118966,e1jfjA2,108.1.1,108.1.1.1,108.1.1.98,PF13499,EF-hand_7,89.7,43.2,supports_commons
118995,e1nyaA2,108.1.1,108.1.1.1,108.1.1.98,PF13499,EF-hand_7,70.6,34.3,supports_commons
119035,e1s6iA2,108.1.1,108.1.1.1,108.1.1.96,PF13499,EF-hand_7,61.2,54.3,supports_commons
3155,e1c7vA1,108.1.1,108.1.1.1,108.1.1.97,PF13499,EF-hand_7,97.1,59.7,supports_commons
118965,e1jfjA1,108.1.1,108.1.1.29,108.1.1.99,PF13499,EF-hand_7,95.5,51.1,ambiguous_both
2323952,e5ud5A1,4.29.1,,4.29.1.1,PF31240,PylS_N,100.0,112.7,supports_commons
118943,e1exrA2,108.1.1,108.1.1.29,108.1.1.96,PF13499,EF-hand_7,95.6,73.1,ambiguous_both
1723255,e4r04A5,1033.1.1,1033.1.1.1,1033.1.1.3,PF12920,TcdA_TcdB_pore,65.9,785.0,ambiguous_both
3161,e1oqpA1,108.1.1,108.1.1.29,108.1.1.96,PF13499,EF-hand_7,84.4,58.7,ambiguous_both
2084854,e5w1fD1,108.1.1,108.1.1.8,108.1.1.102,,,,,no_dominant_pfam
1716676,e3nklB1,2003.1.1,2003.1.1.71,2003.1.1.260,PF22674,C2185-like_N,74.6,33.1,supports_commons
184739,e2kngA1,130.1.1,130.1.1.9,130.1.1.33,PF23359,Lsr2_DNA-bd,67.3,71.6,supports_commons
2057238,e5x3xA1,2004.1.1,2004.1.1.5,2004.1.1.417,,,,,no_dominant_pfam
2387865,e6f7jB1,304.9.1,,304.9.1.78,PF28978,RRM_SRRT,92.3,149.0,supports_commons
2324055,e6b39A1,101.1.2,101.1.2.155,101.1.2.543,PF23526,AprA_N,77.9,79.8,supports_commons
2324073,e6bzfB2,102.1.1,,102.1.1.111,PF31229,ZIP2_C,95.7,83.7,supports_commons
118926,e1auiB1,108.1.1,108.1.1.1,108.1.1.98,PF13499,EF-hand_7,75.3,46.4,supports_commons
10163,e1r3nA2,2011.1.1,2011.1.1.6,2011.1.1.20,PF01546,Peptidase_M20,68.3,89.7,ambiguous_both
2502890,e6dnmA1,7059.1.1,,7059.1.1.1,PF31034,SatS_C,89.3,189.7,supports_commons
223973,e4ak1A3,11.1.1,11.1.1.200,11.1.1.1157,PF28858,Ig_BT4661_5th,91.2,152.1,supports_commons
2576201,e6i5bA2,139.2.1,139.2.1.2,139.2.1.18,,,,,no_dominant_pfam
2576208,e6j2pA2,906.2.1,,906.2.1.1,PF31218,Spp1_C3H_ZnF,100.0,78.7,supports_commons
4554,e1fchA1,109.4.1,109.4.1.5,109.4.1.1263,,,,,no_dominant_pfam
2526331,e6jdeB4,7091.1.1,,7091.1.1.1,PF29401,RadD_C,78.5,163.3,supports_commons
1565411,e2vf7B2,2004.1.1,2004.1.1.5,2004.1.1.417,,,,,no_dominant_pfam
4585,e1b3uA1,109.4.1,109.4.1.35,109.4.1.1321,,,,,no_dominant_pfam
2526353,e6qixA2,7084.1.1,,7084.1.1.2,PF29706,PCHTP_C,98.8,104.3,supports_commons
1141837,e1yleA2,1.13.1,1.13.1.1,1.13.1.2,PF29831,AstA_C,94.1,57.9,supports_commons
5389,e1zavA1,304.60.1,304.60.1.2,304.60.1.8,,,,,no_dominant_pfam
1676525,e4ui9R1,5.1.4,5.1.4.1,5.1.4.259,PF24807,WD40_CDC20-Fz,96.4,445.3,supports_commons
2750,e1ldjA2,101.1.2,101.1.2.13,101.1.2.493,PF26557,Cullin_AB,81.9,120.6,supports_commons
4936,e2aalA1,315.1.1,315.1.1.5,315.1.1.9,PF14552,Tautomerase_2,62.8,89.8,ambiguous_both
3148,e2pvbA1,108.1.1,108.1.1.29,108.1.1.99,PF13499,EF-hand_7,63.0,51.5,ambiguous_both
9355,e1jg1A1,2003.1.5,2003.1.5.4,2003.1.5.153,PF01135,PCMT,96.7,221.6,ambiguous_both
2323779,e4fweA5,1194.1.1,,1194.1.1.1,PF31216,zf-KDM1B,100.0,144.8,supports_commons
224055,e4hg6B3,10.32.1,10.32.1.10,10.32.1.215,PF03170,CBM_BcsB_1st,78.4,22.9,supports_old_ecod_rep
1144732,e2nykA2,11.1.1,11.1.1.149,11.1.1.1155,PF30327,Ig_M157,100.0,150.8,supports_commons
608,e2qi2A1,4.23.1,4.23.1.1,4.23.1.2,PF26356,Pelota_N,99.2,106.8,supports_commons
1688243,e4z8qB1,1010.1.1,,1010.1.1.1,PF31212,AvrRxo1-ORF2,89.8,82.0,supports_commons
11106,e1lrzA3,213.1.1,213.1.1.7,213.1.1.75,PF02388,FemAB,100.0,506.5,ambiguous_both
