ecod_uid,f_id,hmm_cov
3554890,11.1.1.1118,0.215
3526385,11.1.1.1123,0.49
3953152,11.1.1.1126,0.213
3178572,11.1.1.1134,0.402
3968837,11.1.1.1153,0.224
2171485,11.1.1.1159,0.183
4946678,11.1.1.1392,0.299
5022039,11.1.1.1395,0.318
4943634,11.1.1.1396,0.224
4937628,11.1.1.1414,0.427
5010197,11.1.1.1438,0.323
3636517,1.1.11.8,0.42
2806815,11.1.1.844,0.446
4273382,11.1.1.846,0.42
3195036,11.1.1.884,0.213
3332960,11.1.1.909,0.322
3846243,11.1.1.923,0.163
4244412,11.1.1.929,0.209
3939815,11.1.1.961,0.331
4388029,11.1.1.963,0.297
3528827,11.1.1.968,0.296
4167397,11.1.1.992,0.426
3176984,1.1.1.32,0.247
4166518,1.1.1.33,0.191
4141852,1.1.13.56,0.218
4810019,1.1.13.57,0.307
4883739,1.1.13.70,0.418
4952573,1.1.13.74,0.496
4943329,1.1.1.40,0.251
4266111,11.1.5.107,0.498
5010970,11.1.5.151,0.285
3187876,11.1.5.94,0.315
3652051,11.2.1.54,0.378
4486687,11.2.1.62,0.415
3771228,11.2.1.69,0.424
3890411,11.2.1.74,0.347
4302410,11.2.1.76,0.177
4797004,1.1.2.20,0.34
4902606,1.1.2.32,0.279
4530499,1.1.2.39,0.479
3801730,1128.1.1.12,0.49
3842363,1.1.5.76,0.471
3946996,1.16.1.4,0.096
3388311,1.1.7.100,0.401
5012955,1.1.7.128,0.118
4935406,1.1.7.139,0.381
4943928,1.1.7.140,0.286
4596043,1175.1.1.3,0.336
3788350,1.1.7.99,0.248
4467971,1189.1.1.9,0.482
4054715,1.1.9.36,0.435
4943587,1.1.9.54,0.229
3949363,12.1.1.99,0.132
3550724,12.3.1.52,0.491
3990215,12.6.1.9,0.287
3390098,130.1.1.47,0.222
4855505,135.1.1.2,0.492
4482666,140.1.1.21,0.193
3839960,140.1.1.23,0.402
3171445,140.1.1.25,0.372
3696837,141.1.1.26,0.291
3658111,145.1.1.26,0.473
3918508,148.1.3.213,0.189
4172152,148.1.3.217,0.431
3802003,148.1.3.219,0.417
3319398,148.1.3.230,0.078
3942637,148.1.3.232,0.399
3774613,148.1.3.235,0.056
3963295,148.1.3.238,0.221
3571909,148.1.3.239,0.256
3315356,148.1.3.240,0.282
4623806,148.1.3.245,0.263
3303617,148.1.3.250,0.325
3315721,148.1.3.252,0.034
3525729,148.1.3.255,0.486
3541499,148.1.3.259,0.13
3564241,148.1.3.260,0.08
4814020,148.1.3.394,0.22
5021988,148.1.3.409,0.236
3774121,150.1.1.119,0.13
3193852,150.5.1.57,0.239
3774397,150.5.1.67,0.406
4942406,159.1.2.34,0.342
3323977,161.1.1.5,0.24
3890798,161.1.1.7,0.304
3571651,164.1.1.12,0.402
3373445,164.1.1.13,0.466
4397490,164.1.1.15,0.468
3876882,170.1.1.29,0.353
3748303,174.1.1.52,0.398
3851437,174.1.1.54,0.297
3694197,177.1.1.4,0.415
3429459,181.1.1.13,0.479
3741532,181.1.1.14,0.28
4946984,181.1.1.32,0.347
4945246,184.1.1.6,0.273
4358653,185.1.1.8,0.06
3194871,186.1.1.17,0.216
3176530,190.1.1.28,0.35
3521328,192.10.1.5,0.448
4492817,192.1.1.34,0.179
3920490,192.15.1.74,0.315
3169326,192.15.1.77,0.486
4582363,192.15.1.86,0.413
3685185,192.17.1.10,0.201
3827431,192.17.1.16,0.42
4537890,192.17.1.19,0.364
4486021,192.2.1.35,0.045
3628954,192.2.1.39,0.443
5045441,192.2.1.88,0.287
3383131,192.29.1.168,0.48
3734775,192.29.1.174,0.435
3301730,192.29.1.177,0.228
3747935,192.29.1.181,0.287
3698090,192.29.1.186,0.127
3790906,192.29.1.187,0.431
3748991,192.29.1.202,0.205
4501070,192.29.1.204,0.181
3781737,192.4.1.23,0.402
4084921,192.8.1.144,0.464
3539282,192.8.1.246,0.225
3758176,192.8.1.352,0.439
4233981,192.8.1.354,0.135
3751791,192.8.1.357,0.288
3802185,192.8.1.359,0.496
3372362,192.8.1.360,0.382
3874517,192.8.1.361,0.461
4583042,192.8.1.367,0.429
3761226,192.8.1.370,0.227
3487605,192.8.1.371,0.182
4258213,192.8.1.374,0.256
3909247,192.8.1.378,0.243
3754586,192.8.1.379,0.449
3527615,192.8.1.382,0.174
3658209,193.1.1.37,0.346
3173296,196.1.1.4,0.247
4426428,198.1.1.12,0.323
3781648,198.1.1.15,0.49
5043718,2002.1.1.448,0.154
3424229,2002.1.2.4,0.31
3644322,2002.1.2.5,0.185
3811989,2002.1.2.6,0.411
3960324,2002.1.2.7,0.373
3891201,2002.1.2.9,0.463
4313482,2003.1.10.30,0.261
4946219,2003.1.10.35,0.379
5037892,2003.1.10.36,0.388
4889529,2003.1.1.200,0.452
4284674,2003.1.1.244,0.245
4119019,2003.1.1.311,0.216
4863981,2003.1.1.363,0.456
4945074,2003.1.1.377,0.473
4947085,2003.1.1.385,0.457
1843849,2003.1.2.102,0.361
168314,2003.1.2.114,0.392
1675590,2003.1.2.120,0.345
3432707,2003.1.2.127,0.436
3375066,2003.1.2.128,0.325
3375262,2003.1.2.129,0.426
2774709,2003.1.2.147,0.197
3669597,2003.1.2.164,0.225
3575322,2003.1.2.165,0.229
3190828,2003.1.2.184,0.476
1868637,2003.1.2.94,0.388
3728137,2003.1.3.35,0.305
3656764,2003.1.5.271,0.397
4350952,2003.1.5.320,0.176
3312833,2003.1.8.10,0.248
3960844,2003.1.8.11,0.371
4307619,2003.1.8.8,0.412
4177002,2003.1.8.9,0.346
4801619,2004.1.1.1179,0.458
4882042,2004.1.1.1189,0.17
4477357,2004.1.1.543,0.345
3276368,2004.1.1.598,0.445
3208375,2004.1.1.614,0.491
4163051,2004.1.1.700,0.481
4609699,2004.1.1.706,0.341
4258326,2004.1.1.714,0.268
4890328,2004.1.1.734,0.433
3332665,2004.1.1.778,0.239
4259807,2004.1.1.784,0.315
4782876,2004.1.1.817,0.322
4890974,2004.1.1.826,0.434
3945765,2004.1.1.847,0.493
4947930,2004.1.3.3,0.29
3685061,2004.5.1.16,0.44
4562869,2004.5.1.17,0.132
3281438,2005.1.1.95,0.446
3099975,2006.1.1.50,0.084
4518945,2006.1.3.22,0.417
4948253,2006.1.3.30,0.218
3906677,2006.1.4.34,0.3
3214509,2006.1.6.39,0.408
4944913,2007.1.13.6,0.161
5033451,2007.1.16.5,0.432
4816640,2007.1.19.9,0.119
4990191,2007.1.2.57,0.4
4188428,2007.1.3.49,0.299
4947618,2007.1.3.69,0.434
4943524,2007.1.4.13,0.476
3913969,2007.1.4.9,0.419
4932244,2007.1.5.18,0.4
4227938,2007.1.5.8,0.293
4312837,2007.1.5.9,0.229
3888016,2007.1.6.7,0.282
5031085,2007.23.1.3,0.409
3902766,2007.2.3.24,0.443
3560172,2007.2.4.4,0.443
4947964,2007.3.1.8,0.253
4949496,2007.9.1.19,0.383
3526593,2007.9.1.8,0.221
3388478,2007.9.1.9,0.445
3883797,2008.1.1.146,0.333
5036000,2008.1.1.165,0.482
4884256,2008.1.1.216,0.245
4992014,2008.1.1.219,0.301
4963143,2008.1.1.228,0.471
4947346,205.1.1.118,0.255
4943824,205.1.1.119,0.335
3604442,205.1.1.87,0.318
4924199,206.1.1.137,0.298
4889881,206.1.1.161,0.428
4776747,206.1.1.265,0.227
4889220,207.1.1.136,0.221
3057239,207.1.1.169,0.198
3656669,207.1.1.245,0.376
3865822,207.1.1.252,0.388
3854025,207.1.1.273,0.309
3809402,207.1.1.330,0.337
4534174,207.2.1.80,0.46
3437206,207.2.2.2,0.247
4509418,207.6.1.15,0.334
4460673,208.5.1.2,0.455
3279751,211.1.1.46,0.436
4500356,211.1.1.48,0.315
3522623,2.1.1.228,0.191
3654028,2.1.1.241,0.189
4886947,2.1.1.252,0.31
4253836,2.1.1.272,0.311
3982470,2.1.1.273,0.371
3779796,2.1.1.275,0.355
3971710,2.1.1.280,0.476
3825313,2.1.1.284,0.481
3454301,2.1.1.285,0.481
3757288,2.1.1.288,0.199
4944356,2.1.1.357,0.25
4943372,2.1.1.361,0.404
5024077,2.1.1.363,0.393
4996015,2.1.1.365,0.325
3728740,212.1.1.43,0.236
3177672,212.1.1.50,0.438
5024305,212.1.1.60,0.454
3954491,213.1.1.102,0.395
3526452,213.1.1.88,0.462
3582886,216.1.1.26,0.326
3744042,216.1.1.27,0.487
4946970,218.1.1.10,0.253
3840027,218.1.1.9,0.356
4119649,220.1.1.156,0.145
3204424,220.1.1.179,0.487
3852979,220.1.1.185,0.325
3358147,220.1.1.241,0.467
3289369,220.1.1.255,0.47
3743404,220.1.1.256,0.454
4990231,220.1.1.319,0.329
4824866,220.3.1.6,0.253
3980473,220.4.1.7,0.418
3754669,221.1.1.173,0.427
3530895,221.1.1.176,0.459
4402788,221.1.1.191,0.111
3748389,221.1.1.195,0.367
3584151,221.1.1.200,0.082
4634110,221.1.1.205,0.394
3978189,221.1.2.17,0.467
3281481,222.1.1.34,0.423
3386569,223.1.1.124,0.441
4299844,223.1.1.135,0.364
3396868,223.2.1.46,0.339
3744550,223.2.1.48,0.277
3483643,223.2.1.49,0.326
3780458,223.2.1.51,0.381
4947976,229.1.1.12,0.305
5000984,231.1.4.2,0.244
3978932,235.1.1.35,0.264
3176205,237.1.1.37,0.294
4945123,239.4.1.4,0.273
4961351,242.1.1.10,0.489
5081203,242.4.1.2,0.348
3412477,243.3.1.53,0.221
4169479,243.3.1.60,0.276
3490300,243.4.1.6,0.185
4159226,244.1.1.30,0.216
3915651,244.1.1.32,0.353
4967188,244.3.1.7,0.438
3171578,247.1.1.38,0.415
4065749,2484.1.1.206,0.346
4943743,2484.1.1.232,0.4
3755415,2484.1.1.236,0.455
3171687,2484.1.1.237,0.234
4922640,2484.1.1.238,0.25
3978892,2484.1.1.260,0.308
4945168,2484.3.1.7,0.346
4045444,2487.1.1.24,0.333
4946104,2487.1.1.25,0.174
3948733,2498.1.1.103,0.373
3853322,2498.1.1.120,0.462
4562049,2498.1.1.126,0.207
3226617,2.6.1.5,0.409
4072997,263.1.1.7,0.366
4255516,283.2.1.12,0.45
4963276,283.2.1.21,0.138
3428604,284.1.1.21,0.128
3588335,284.1.1.22,0.49
4376475,284.1.1.23,0.058
4944254,284.1.1.31,0.267
3905302,284.1.3.8,0.108
3368639,295.1.1.28,0.343
3962256,295.1.1.32,0.38
4237612,3006.1.1.6,0.346
4244786,3012.1.1.10,0.226
4097489,301.7.1.8,0.496
3640848,304.120.1.10,0.409
4943164,304.132.1.2,0.488
4367769,304.136.1.2,0.143
4817949,304.156.1.6,0.131
3332610,304.160.1.2,0.311
4190599,304.20.1.5,0.46
3938798,304.24.1.24,0.164
4932025,304.24.1.37,0.257
4955390,304.24.1.39,0.288
4944223,304.25.1.11,0.461
3831193,304.28.1.27,0.407
3397557,304.34.1.2,0.37
4671096,304.4.1.54,0.26
4267776,304.4.1.56,0.348
3968919,304.4.1.57,0.237
3732482,304.4.1.58,0.299
4094863,304.4.1.60,0.492
3171256,304.48.1.58,0.247
3818702,304.51.1.19,0.319
3579336,304.5.1.23,0.114
3899075,304.5.1.25,0.164
4500585,304.55.2.7,0.46
5009121,304.8.1.100,0.492
3195460,304.8.1.73,0.159
3894366,304.8.1.75,0.091
4152642,304.9.1.139,0.114
4429780,306.2.1.2,0.21
3588646,306.8.1.3,0.281
4809347,3070.1.1.16,0.249
4200887,3070.1.1.17,0.289
4809348,3071.1.1.7,0.426
3292800,3080.1.1.2,0.429
4945526,310.1.1.8,0.244
4386701,310.2.1.35,0.316
3823920,310.2.1.38,0.038
3392639,310.2.1.40,0.197
4145515,310.2.1.42,0.189
3282832,3110.1.1.11,0.255
3508212,3115.1.1.6,0.475
5030874,312.1.1.25,0.471
4830884,3146.1.1.5,0.156
3520754,3156.1.1.18,0.271
4890941,3187.1.1.20,0.315
4146962,3187.1.1.24,0.132
3786021,319.1.1.14,0.278
3824856,319.1.1.15,0.432
3178364,319.1.1.19,0.49
4336160,319.1.1.21,0.458
3663201,320.1.1.13,0.399
3303229,3204.1.1.2,0.319
4794739,3225.1.1.7,0.415
4946375,325.1.1.18,0.27
4924546,325.1.1.9,0.275
4655654,325.1.3.2,0.23
4944270,325.1.4.7,0.456
4895958,325.1.7.33,0.173
4904863,325.1.7.34,0.292
4887709,325.1.8.7,0.481
4912908,327.11.2.49,0.379
4890711,327.16.1.11,0.444
3892960,3291.1.1.86,0.399
5036880,330.1.1.35,0.466
4939669,330.2.1.4,0.304
4483138,331.1.1.13,0.424
4203060,331.19.1.3,0.382
4346967,331.2.1.8,0.406
4426204,331.23.1.7,0.387
4881299,331.3.1.73,0.418
3289758,331.4.1.17,0.124
3263502,331.4.1.9,0.387
3807108,3331.1.1.7,0.299
3457498,3358.1.1.15,0.434
4946976,3407.1.1.5,0.232
4297624,3414.1.1.9,0.201
3175714,3419.1.1.3,0.233
3813698,3443.1.1.6,0.433
3834982,3444.1.1.6,0.289
3497809,3447.1.1.7,0.472
3601219,3447.1.1.9,0.463
4008901,3462.1.1.20,0.198
3372412,3470.1.1.27,0.216
3387451,3470.1.1.28,0.382
3229717,3470.1.1.29,0.15
3220415,3485.1.1.3,0.481
4949049,3488.1.1.5,0.355
4943420,3501.1.1.2,0.358
3257755,3529.1.1.6,0.39
3514314,3538.1.1.5,0.087
3209158,3538.1.1.6,0.167
3172676,3538.1.1.7,0.262
4480001,354.1.1.7,0.346
5021586,3558.1.1.4,0.407
3210666,3559.1.1.35,0.45
3687403,3567.1.1.104,0.274
3536834,3567.1.1.113,0.444
3567846,3567.1.1.114,0.122
5022934,3567.1.1.194,0.472
4117874,3567.1.1.90,0.437
3186278,3567.1.1.96,0.287
4128526,3600.1.1.4,0.406
3779105,3602.1.1.16,0.485
3816662,361.1.1.18,0.279
3880165,3615.1.1.24,0.191
3514807,3615.1.1.26,0.194
4896459,3681.1.1.4,0.201
3921784,3684.1.1.27,0.372
4220905,3684.1.1.29,0.326
4943437,3688.1.1.2,0.311
3588647,3696.1.1.4,0.259
4488134,3711.1.1.20,0.191
3381747,3711.1.1.26,0.489
3804077,3722.1.1.3,0.46
3390121,3749.2.1.4,0.479
3859918,375.1.1.202,0.302
4168580,375.1.1.205,0.405
3352340,375.1.1.210,0.451
4593354,375.1.1.211,0.366
4025535,375.1.1.214,0.312
3388521,375.1.1.219,0.125
4643522,375.1.1.232,0.161
3889079,375.1.1.236,0.2
3481841,375.1.1.238,0.455
4129996,375.1.1.239,0.148
3204799,375.1.1.243,0.333
3405293,375.1.1.245,0.396
3390445,375.1.1.248,0.358
3319399,375.1.1.249,0.08
3243122,375.1.1.250,0.332
3405170,375.1.1.257,0.221
4953347,375.1.1.299,0.23
5057952,375.1.1.325,0.451
4929289,375.1.1.329,0.319
4965484,375.1.1.337,0.461
3691777,375.1.9.13,0.409
3450078,3753.1.1.2,0.25
3521157,375.4.1.10,0.312
4140935,375.4.1.2,0.36
3226335,375.4.1.9,0.193
3956422,3755.1.1.13,0.429
3630220,3755.3.1.103,0.498
4125257,3755.3.1.392,0.284
3852295,3755.3.1.474,0.43
3609068,3755.3.1.487,0.215
3559692,3755.3.1.488,0.426
4518626,3755.3.1.491,0.172
3979729,3755.3.1.500,0.235
3541983,3755.3.1.505,0.238
3864424,3755.3.1.508,0.317
3746561,3755.3.1.509,0.272
4637019,3755.3.1.514,0.203
3746557,3755.3.1.519,0.293
3956294,3755.3.1.527,0.423
3530264,3755.3.1.533,0.32
3999587,3755.4.1.48,0.121
4029610,3755.4.1.57,0.323
3570117,375.6.1.2,0.359
3563088,3758.1.1.54,0.178
3447430,376.1.1.104,0.083
3864752,376.1.1.113,0.435
3478683,376.1.1.123,0.212
3411235,376.1.1.95,0.252
3993220,376.1.2.24,0.252
4459072,376.1.2.6,0.441
4379431,376.1.6.12,0.302
3851474,377.1.1.82,0.308
3957054,377.1.1.87,0.327
3478119,377.1.1.91,0.261
3186766,377.1.1.92,0.293
3788292,377.1.1.95,0.327
3537095,377.9.1.15,0.145
3348775,3788.1.1.11,0.365
3760132,3788.1.1.12,0.161
3444874,3788.1.1.14,0.207
4922674,3820.1.1.6,0.384
4574835,3826.1.1.21,0.338
4043451,3826.1.1.22,0.388
3448294,3826.1.1.33,0.181
3758935,383.1.1.19,0.234
3560214,3839.1.1.5,0.239
5055323,3843.1.1.20,0.201
4550967,3843.1.1.29,0.435
5038239,3843.1.1.31,0.411
3542656,385.1.1.20,0.477
4816822,3860.1.1.126,0.102
3396342,3860.1.1.133,0.368
3381194,3860.1.1.135,0.441
3460532,3860.1.1.140,0.131
4330909,3860.1.1.152,0.287
4081797,3860.1.1.158,0.427
4152647,3860.1.1.160,0.226
4292780,3860.1.1.161,0.096
4533799,3860.1.1.173,0.454
3233526,386.1.1.214,0.442
3764172,386.1.1.250,0.122
3805781,386.1.1.255,0.271
3611185,386.1.1.266,0.175
3725392,386.1.1.272,0.307
3390620,386.1.1.287,0.13
3876524,386.1.1.303,0.37
3710005,386.1.1.304,0.469
3213512,387.1.3.21,0.32
3804603,387.1.5.39,0.449
4089496,387.1.5.42,0.347
3335067,387.4.1.1,0.133
4608688,3877.1.2.5,0.365
3650735,3890.1.1.4,0.437
3570828,389.1.1.119,0.312
3194280,389.1.1.124,0.148
3753927,389.1.1.131,0.2
4521899,389.1.1.148,0.191
3659374,3896.1.1.4,0.162
3863615,3896.1.2.3,0.083
4960843,3896.1.2.5,0.473
3812979,3914.1.1.9,0.328
3553953,3922.1.1.259,0.304
4426097,3922.1.1.265,0.227
3881240,3928.1.1.7,0.282
4946724,3932.1.1.8,0.471
3876765,3939.1.1.147,0.495
3238550,3939.1.1.161,0.231
4486342,3939.1.1.165,0.42
4597673,3939.1.1.173,0.258
3691486,3939.1.1.201,0.224
4298186,3939.1.1.218,0.241
3832425,3939.1.1.239,0.231
4210084,394.1.1.3,0.08
4145892,3949.1.1.2,0.416
3331967,397.7.1.3,0.305
4945449,3987.1.1.1,0.398
3626006,4003.1.1.3,0.085
4321663,4004.1.1.10,0.233
4116135,4009.1.1.11,0.358
4922657,4012.3.1.4,0.397
1482112,4024.1.1.2,0.167
4822941,4032.1.1.5,0.394
4896384,4041.1.1.8,0.241
3878853,4044.1.1.13,0.074
3863108,4044.1.1.16,0.477
3942110,4056.1.1.8,0.295
5082725,4056.1.1.9,0.28
3814973,4081.1.1.10,0.319
4025774,4085.1.1.5,0.498
4543988,4099.1.1.26,0.29
4185615,4.1.1.331,0.438
3174609,4.1.1.345,0.245
4510402,4.1.1.346,0.39
4607576,4.1.1.370,0.243
3230860,4.1.1.389,0.414
3214474,4.1.1.390,0.478
3602381,4.1.1.403,0.489
3859981,4.1.1.406,0.301
4026434,4120.1.1.35,0.447
3254107,4120.1.1.39,0.487
3412608,4120.1.1.40,0.123
3961236,4120.1.1.41,0.111
3988410,4125.1.1.3,0.357
3977178,4125.1.1.4,0.327
4273399,4126.1.1.6,0.433
4946196,4143.1.1.11,0.492
4945744,4143.1.1.13,0.276
4864611,4156.1.1.13,0.446
4117498,4177.1.1.96,0.381
3919703,4207.1.1.49,0.082
3774346,4207.1.1.99,0.343
3940848,4230.1.1.7,0.389
4423406,4244.1.1.6,0.358
3279860,4252.1.1.14,0.492
3188432,4.26.1.6,0.302
5041149,4.26.1.9,0.213
3338819,4294.1.1.6,0.358
3466990,4323.1.1.8,0.494
3744014,4336.1.1.5,0.202
4896077,4951.1.1.2,0.21
4157604,4952.1.1.6,0.272
4669849,4953.1.1.32,0.281
4922841,4956.1.1.2,0.346
4896079,4958.1.1.4,0.288
3741558,4969.1.1.5,0.358
4199249,4970.1.1.18,0.345
3570731,4973.1.1.6,0.408
2832798,4987.1.1.5,0.393
3170376,4991.1.1.53,0.224
3849547,4992.1.1.25,0.445
3430072,4994.1.1.2,0.263
3466581,5000.4.1.3,0.396
3277452,5001.1.1.129,0.324
3168797,5001.1.1.190,0.189
3490313,5009.1.1.4,0.136
3350083,5010.1.1.3,0.22
3476592,5011.1.1.5,0.248
3333976,5014.1.1.5,0.37
3560279,5026.1.1.2,0.26
3298407,5030.1.1.3,0.268
3171374,5041.1.1.13,0.09
3781350,5041.1.1.20,0.407
3679259,5045.1.1.3,0.355
3347567,5046.1.1.112,0.207
3870051,5046.1.1.114,0.365
3879782,5046.1.1.151,0.225
4962081,5049.1.2.2,0.421
4197218,5050.1.1.68,0.232
1566580,5050.1.1.71,0.298
4247458,5050.1.1.89,0.275
3257771,5054.1.1.107,0.455
3451292,5054.1.1.82,0.184
3998504,5057.1.1.13,0.278
3477279,5057.1.1.18,0.465
3654014,5058.1.1.45,0.249
4506363,5058.1.1.73,0.316
3282147,5063.1.1.10,0.361
3462889,5063.1.1.8,0.068
3655428,5067.1.1.23,0.394
3974142,5069.1.1.57,0.4
3663121,5069.1.1.62,0.184
3785087,5069.1.3.59,0.466
3664301,5069.1.3.60,0.378
4573266,5069.1.3.61,0.176
3511712,5069.1.3.66,0.354
3996908,5069.1.3.67,0.465
3461299,5074.1.1.11,0.463
3390484,5074.1.1.12,0.211
4010124,5084.5.2.6,0.233
3835025,5086.1.1.204,0.402
3724513,509.1.1.13,0.307
3220288,509.1.1.14,0.436
4887025,5100.1.1.3,0.358
4968895,5103.1.1.2,0.218
3356790,5106.1.1.8,0.455
3208497,5106.1.1.9,0.298
4944354,512.1.1.5,0.341
2774201,5.1.2.34,0.386
3488471,5.1.2.41,0.306
3868137,513.1.1.2,0.472
3219423,5.1.3.193,0.324
4871228,5.1.3.197,0.207
2160210,5.1.4.290,0.279
3811371,5.1.4.334,0.451
2720803,5.1.4.338,0.342
4142474,5.1.4.357,0.337
3779734,5.1.4.416,0.466
3849012,5.1.4.433,0.46
3677682,5.1.4.508,0.48
4817069,5.1.4.658,0.412
3933589,5.1.5.127,0.266
2841490,5.1.5.229,0.236
3656924,5.1.8.4,0.48
3226528,524.1.1.10,0.458
3867375,526.1.1.3,0.12
3514483,532.2.1.10,0.34
3694767,532.2.1.11,0.233
