ecod_uid,domain_id,prev_verdict,t_id,old_f,old_pfam,commons_f,new_pfam,domain_arch,j_old,j_commons,best_match,exact_match,comp_verdict
3262,e1nklA1,no_dominant_pfam,198.1.1,198.1.1.3,PF05184,198.1.1.26,PF31278,PF31278,0.0,1.0,198.1.1.26,True,comp_supports_commons
4537,e1ouvA1,no_dominant_pfam,109.4.1,109.4.1.109,PF08238,109.4.1.1793,"PF08238,PF13181","PF08238,PF13181",0.5,1.0,109.4.1.1793,True,comp_supports_commons
2826,e1q06A1,no_dominant_pfam,101.1.9,101.1.9.17,PF13411,101.1.9.82,"PF09278,PF13411","PF09278,PF13411",0.5,1.0,101.1.9.82,True,comp_supports_commons
6236,e1q33A1,no_dominant_pfam,221.4.1,221.4.1.1,PF00293,221.4.1.23,"PF00293,PF25969","PF00293,PF25969",0.5,1.0,221.4.1.23,True,comp_supports_commons
10820,e1qo7A1,no_dominant_pfam,7579.1.1,7579.1.1.31,PF06441,7579.1.1.97,"PF00561,PF06441","PF00561,PF06441",0.5,1.0,7579.1.1.97,True,comp_supports_commons
7425,e1qsaA2,ambiguous_both,235.1.1,235.1.1.9,PF01464,235.1.1.32,"PF01464,PF27553","PF01464,PF27553",0.5,1.0,235.1.1.32,True,comp_supports_commons
2825,e1r8dA1,ambiguous_both,101.1.9,101.1.9.17,PF13411,101.1.9.82,"PF09278,PF13411","PF09278,PF13411",0.5,1.0,101.1.9.82,True,comp_supports_commons
2224,e1tyeA1,no_dominant_pfam,5.1.4,5.1.4.13,PF01839,5.1.4.257,"PF01839,PF13517","PF01839,PF13517",0.5,1.0,5.1.4.257,True,comp_supports_commons
9693,e1vplA1,ambiguous_both,2004.1.1,2004.1.1.5,PF00005,2004.1.1.417,"PF00005,PF13304","PF00005,PF13304",0.5,1.0,2004.1.1.417,True,comp_supports_commons
1291890,e1vw4J1,no_dominant_pfam,2490.3.1,2490.3.1.1,PF00828,2490.3.1.3,"PF00828,PF29471","PF00828,PF29471",0.5,1.0,2490.3.1.3,True,comp_supports_commons
7388,e1x3zA1,no_dominant_pfam,219.1.1,219.1.1.13,PF01841,219.1.1.111,"PF01841,PF03835","PF01841,PF03835",0.5,1.0,219.1.1.111,True,comp_supports_commons
7939,e1xu6A1,no_dominant_pfam,4986.1.1,,,4986.1.1.4,PF29633,PF29633,0.0,1.0,4986.1.1.4,True,comp_supports_commons
1684052,e1y5iA4,ambiguous_both,2003.2.1,2003.2.1.1,PF00384,2003.2.1.8,"PF00384,PF28599","PF00384,PF28599",0.5,1.0,2003.2.1.8,True,comp_supports_commons
5389,e1zavA1,no_dominant_pfam,304.60.1,304.60.1.2,PF00466,304.60.1.8,"PF00466,PF27436","PF00466,PF27436",0.5,1.0,304.60.1.8,True,comp_supports_commons
2187,e1zgkA1,no_dominant_pfam,5.1.3,5.1.3.6,PF01344,5.1.3.117,"PF01344,PF24681","PF01344,PF24681",0.5,1.0,5.1.3.117,True,comp_supports_commons
4936,e2aalA1,ambiguous_both,315.1.1,315.1.1.5,PF14552,315.1.1.9,"PF01361,PF14552","PF01361,PF14552",0.5,1.0,315.1.1.9,True,comp_supports_commons
7227,e2bm5A1,no_dominant_pfam,207.9.1,207.9.1.2,PF13599,207.9.1.7,"PF00805,PF13576","PF00805,PF13576",0.0,1.0,207.9.1.7,True,comp_supports_commons
9843,e2d13A1,no_dominant_pfam,2005.1.1,2005.1.1.16,PF01902,2005.1.1.54,"PF01902,PF28410","PF01902,PF28410",0.5,1.0,2005.1.1.54,True,comp_supports_commons
7389,e2f4mA1,no_dominant_pfam,219.1.1,219.1.1.13,PF01841,219.1.1.111,"PF01841,PF03835","PF01841,PF03835",0.5,1.0,219.1.1.111,True,comp_supports_commons
1145793,e2gw1A1,no_dominant_pfam,109.4.1,,,109.4.1.1438,"PF00515,PF13181,PF13432,PF14559","PF00515,PF13181,PF13432,PF14559",0.0,1.0,109.4.1.1438,True,comp_supports_commons
1842535,e2iw3A2,no_dominant_pfam,109.4.1,109.4.1.955,PF24984,109.4.1.1442,"PF24984,PF24987","PF24984,PF24987",0.5,1.0,109.4.1.1442,True,comp_supports_commons
11511,e2j01P1,no_dominant_pfam,2490.3.1,2490.3.1.1,PF00828,2490.3.1.3,"PF00828,PF29471","PF00828,PF29471",0.5,1.0,2490.3.1.3,True,comp_supports_commons
10862,e2jbwA1,ambiguous_both,7579.1.1,7579.1.1.32,PF06500,7579.1.1.118,"PF00326,PF06500","PF00326,PF06500",0.5,1.0,7579.1.1.118,True,comp_supports_commons
10975,e2o3iA2,ambiguous_both,4176.1.1,4176.1.1.1,"PF06032,PF20906",4176.1.1.2,PF06032,PF06032,0.5,1.0,4176.1.1.2,True,comp_supports_commons
185295,e3h09A3,no_dominant_pfam,207.2.1,207.2.1.7,"PF02395,PF03212",207.2.1.75,"PF03212,PF24078","PF03212,PF24078",0.33,1.0,207.2.1.75,True,comp_supports_commons
1148107,e3j65q2,no_dominant_pfam,5.1.5,5.1.5.1,PF00400,5.1.5.78,"PF00400,PF08662,PF12894","PF00400,PF08662,PF12894",0.33,1.0,5.1.5.78,True,comp_supports_commons
1951795,e3j9zLH1,no_dominant_pfam,2490.3.1,2490.3.1.1,PF00828,2490.3.1.3,"PF00828,PF29471","PF00828,PF29471",0.5,1.0,2490.3.1.3,True,comp_supports_commons
1498230,e3lm3A2,ambiguous_both,12.1.1,12.1.1.20,"PF12979,PF12980",12.1.1.117,PF12980,PF12980,0.5,1.0,12.1.1.117,True,comp_supports_commons
147021,e3n54B1,no_dominant_pfam,3234.1.1,3234.1.1.1,PF05504,3234.1.1.2,"PF05504,PF25198","PF05504,PF25198",0.5,1.0,3234.1.1.2,True,comp_supports_commons
223873,e3n71A1,ambiguous_both,70.3.1,70.3.1.1,PF00856,70.3.1.11,"PF00856,PF01753","PF00856,PF01753",0.5,1.0,70.3.1.11,True,comp_supports_commons
185457,e3p8cF1,no_dominant_pfam,3305.1.1,3305.1.1.1,PF07815,3305.1.1.7,"PF07815,PF27594","PF07815,PF27594",0.5,1.0,3305.1.1.7,True,comp_supports_commons
1031089,e3sfzA6,no_dominant_pfam,5.1.5,5.1.5.1,PF00400,5.1.5.75,"PF00400,PF12894","PF00400,PF12894",0.5,1.0,5.1.5.75,True,comp_supports_commons
1005523,e3u44B2,ambiguous_both,2004.1.1,2004.1.1.195,PF13361,2004.1.1.654,"PF13361,PF27467","PF13361,PF27467",0.5,1.0,2004.1.1.654,True,comp_supports_commons
2066777,e3wpcA1,no_dominant_pfam,207.1.1,207.1.1.24,PF13855,207.1.1.210,"PF00560,PF13516,PF13855,PF18837","PF00560,PF13516,PF13855,PF18837",0.25,1.0,207.1.1.210,True,comp_supports_commons
185635,e4a53A1,no_dominant_pfam,4.1.1,4.1.1.67,PF09532,4.1.1.391,"PF09532,PF30873","PF09532,PF30873",0.5,1.0,4.1.1.391,True,comp_supports_commons
1124192,e4adyA2,no_dominant_pfam,109.35.1,109.35.1.1,PF01851,109.35.1.10,"PF01851,PF13646","PF01851,PF13646",0.5,1.0,109.35.1.10,True,comp_supports_commons
1126564,e4bujF1,no_dominant_pfam,109.4.1,109.4.1.255,PF18833,109.4.1.2094,"PF13181,PF18833","PF13181,PF18833",0.5,1.0,109.4.1.2094,True,comp_supports_commons
1019409,e4gcwA1,no_dominant_pfam,247.1.1,247.1.1.11,PF12706,247.1.1.29,"PF12706,PF23023","PF12706,PF23023",0.5,1.0,247.1.1.29,True,comp_supports_commons
1820968,e4j0mA1,no_dominant_pfam,207.1.1,207.1.1.1,PF00560,207.1.1.323,"PF00560,PF08263,PF13516,PF13855,PF20141","PF00560,PF08263,PF13516,PF13855,PF20141",0.2,1.0,207.1.1.323,True,comp_supports_commons
1180304,e4lxrA1,no_dominant_pfam,207.1.1,207.1.1.24,PF13855,207.1.1.158,"PF00560,PF01462,PF01463,PF13306,PF13855","PF00560,PF01462,PF01463,PF13306,PF13855",0.2,1.0,207.1.1.158,True,comp_supports_commons
1141025,e4n5cD1,no_dominant_pfam,109.4.1,,,109.4.1.1575,"PF29148,PF29151,PF29158","PF29148,PF29151,PF29158",0.0,1.0,109.4.1.1575,True,comp_supports_commons
1348265,e4pjuA1,no_dominant_pfam,109.4.1,109.4.1.117,"PF08514,PF21581",109.4.1.1350,"PF08514,PF21581,PF24571,PF31007","PF08514,PF21581,PF24571,PF31007",0.5,1.0,109.4.1.1350,True,comp_supports_commons
1721533,e4qo5A1,no_dominant_pfam,139.2.1,139.2.1.7,PF13447,139.2.1.17,"PF13435,PF13447","PF13435,PF13447",0.5,1.0,139.2.1.17,True,comp_supports_commons
1723255,e4r04A5,ambiguous_both,1033.1.1,1033.1.1.1,PF12920,1033.1.1.3,"PF12920,PF30720","PF12920,PF30720",0.5,1.0,1033.1.1.3,True,comp_supports_commons
1487350,e4rfsB1,no_dominant_pfam,2004.1.1,2004.1.1.5,PF00005,2004.1.1.445,"PF00005,PF27471","PF00005,PF27471",0.5,1.0,2004.1.1.445,True,comp_supports_commons
1676519,e4ui9I1,no_dominant_pfam,5.1.4,5.1.4.39,PF12894,5.1.4.283,"PF12894,PF23405","PF12894,PF23405",0.5,1.0,5.1.4.283,True,comp_supports_commons
1676526,e4ui9Y1,no_dominant_pfam,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1264,"PF13181,PF13432","PF13181,PF13432",0.0,1.0,109.4.1.1264,True,comp_supports_commons
1503129,e4wwxB2,no_dominant_pfam,2484.1.1,2484.1.1.64,PF12940,2484.1.1.195,"PF26024,PF26025,PF26100,PF26101,PF26105","PF26024,PF26025,PF26100,PF26101,PF26105",0.0,1.0,2484.1.1.195,True,comp_supports_commons
1713369,e4zlhB1,no_dominant_pfam,109.4.1,109.4.1.210,PF14559,109.4.1.1555,"PF13176,PF14559","PF13176,PF14559",0.5,1.0,109.4.1.1555,True,comp_supports_commons
1563569,e5aioA1,no_dominant_pfam,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1264,"PF13181,PF13432","PF13181,PF13432",0.0,1.0,109.4.1.1264,True,comp_supports_commons
1828347,e5ctqA1,no_dominant_pfam,109.4.1,109.4.1.83,PF05843,109.4.1.1303,"PF23240,PF23241","PF23240,PF23241",0.0,1.0,109.4.1.1303,True,comp_supports_commons
1718749,e5dseC1,no_dominant_pfam,109.4.1,109.4.1.99,"PF07719,PF19440",109.4.1.1798,"PF12895,PF13181,PF13424,PF13432,PF19440","PF12895,PF13181,PF13424,PF13432,PF19440",0.17,1.0,109.4.1.1798,True,comp_supports_commons
1723271,e5ekeC1,no_dominant_pfam,7516.1.1,7516.1.1.2,PF00535,7516.1.1.106,"PF00535,PF30648","PF00535,PF30648",0.5,1.0,7516.1.1.106,True,comp_supports_commons
1736252,e5ganJ1,no_dominant_pfam,109.4.1,,,109.4.1.1573,PF29376,PF29376,0.0,1.0,109.4.1.1573,True,comp_supports_commons
2075105,e5h28A1,no_dominant_pfam,109.3.1,,,109.3.1.170,"PF00023,PF13637","PF00023,PF13637",0.0,1.0,109.3.1.170,True,comp_supports_commons
1779594,e5hx2A2,no_dominant_pfam,1047.1.1,,,1047.1.1.1,PF31235,PF31235,0.0,1.0,1047.1.1.1,True,comp_supports_commons
1824186,e5igoC1,no_dominant_pfam,5.1.4,5.1.4.1,PF00400,5.1.4.254,"PF00400,PF23098","PF00400,PF23098",0.5,1.0,5.1.4.254,True,comp_supports_commons
1830979,e5jpzB1,no_dominant_pfam,109.4.1,109.4.1.83,PF05843,109.4.1.1303,"PF23240,PF23241","PF23240,PF23241",0.0,1.0,109.4.1.1303,True,comp_supports_commons
2323934,e5teeA1,no_dominant_pfam,5.1.4,5.1.4.6,"PF00400,PF12894",5.1.4.620,PF23770,PF23770,0.0,1.0,5.1.4.620,True,comp_supports_commons
2084854,e5w1fD1,no_dominant_pfam,108.1.1,108.1.1.8,PF01023,108.1.1.102,"PF01023,PF13499","PF01023,PF13499",0.5,1.0,108.1.1.102,True,comp_supports_commons
2526320,e6iczZ1,no_dominant_pfam,396.3.1,396.3.1.2,PF11708,396.3.1.7,PF30379,PF30379,0.0,1.0,396.3.1.7,True,comp_supports_commons
118927,e1auiB2,ambiguous_both,108.1.1,108.1.1.29,PF13499,108.1.1.97,"PF00036,PF13499",PF13499,1.0,0.5,108.1.1.29;108.1.1.64,True,comp_supports_old
9677,e1b0uA1,ambiguous_both,2004.1.1,2004.1.1.5,PF00005,2004.1.1.417,"PF00005,PF13304",PF00005,1.0,0.5,2004.1.1.5,True,comp_supports_old
11057,e1cjwA1,ambiguous_both,213.1.1,213.1.1.1,PF00583,213.1.1.72,"PF00583,PF13673",PF00583,1.0,0.5,213.1.1.1,True,comp_supports_old
10781,e1dx4A1,ambiguous_both,7579.1.1,7579.1.1.1,PF00135,7579.1.1.89,"PF00135,PF20434",PF00135,1.0,0.5,7579.1.1.1,True,comp_supports_old
10780,e1ea5A1,ambiguous_both,7579.1.1,7579.1.1.1,PF00135,7579.1.1.89,"PF00135,PF20434",PF00135,1.0,0.5,7579.1.1.1,True,comp_supports_old
9036,e1ek6A1,ambiguous_both,2003.1.1,2003.1.1.72,PF16363,2003.1.1.152,"PF08659,PF16363",PF16363,1.0,0.5,2003.1.1.72,True,comp_supports_old
3761,e1ewqA1,ambiguous_both,601.23.1,601.23.1.1,PF05192,601.23.1.4,"PF05190,PF05192",PF05192,1.0,0.5,601.23.1.1,True,comp_supports_old
118943,e1exrA2,ambiguous_both,108.1.1,108.1.1.29,PF13499,108.1.1.96,"PF00036,PF13405,PF13499",PF13499,1.0,0.33,108.1.1.29;108.1.1.64,True,comp_supports_old
9996,e1f4pA1,ambiguous_both,2007.2.1,2007.2.1.1,PF00258,2007.2.1.9,"PF00258,PF12724",PF00258,1.0,0.5,2007.2.1.1,True,comp_supports_old
9835,e1gpmA2,no_dominant_pfam,2005.1.1,2005.1.1.18,PF02540,2005.1.1.47,"PF02540,PF03054",PF02540,1.0,0.5,2005.1.1.18,True,comp_supports_old
9294,e1gteA5,ambiguous_both,2003.1.3,2003.1.3.3,PF07992,2003.1.3.15,"PF07992,PF13450",PF07992,1.0,0.5,2003.1.3.3,True,comp_supports_old
9015,e1hk8A1,ambiguous_both,2500.1.1,2500.1.1.5,PF13597,2500.1.1.7,"PF01228,PF13597",PF13597,1.0,0.5,2500.1.1.5,True,comp_supports_old
10878,e1hnjA1,no_dominant_pfam,7581.1.1,7581.1.1.13,PF08545,7581.1.1.23,"PF00108,PF08545",PF08545,1.0,0.5,7581.1.1.13,True,comp_supports_old
