ecod_uid,domain_id,commons_f,prior,best_Q,score,GA,delta,relaxed_verdict
2391215,e6fvtN1,109.35.1.13,no_arch,PF13646,49.2,27.7,21.5,supports_commons (>=GA)
2048354,e5iwbB1,109.4.1.1258,no_arch,PF13041,80.4,30.0,50.4,supports_commons (>=GA)
4554,e1fchA1,109.4.1.1263,no_arch,PF13432,30.3,15.5,14.8,supports_commons (>=GA)
1123783,e4m59A1,109.4.1.1275,no_arch,PF13812,52.9,15.7,37.2,supports_commons (>=GA)
2080125,e5jqyA1,109.4.1.1287,no_arch,PF13432,26.5,15.5,11.0,supports_commons (>=GA)
1487475,e4rg6A1,109.4.1.1294,no_arch,PF13432,38.9,15.5,23.4,supports_commons (>=GA)
2095496,e5o01A1,109.4.1.1304,no_arch,PF13181,25.9,11.8,14.1,supports_commons (>=GA)
1722652,e5a6cB1,109.4.1.1315,no_arch,PF13176,29.4,14.0,15.4,supports_commons (>=GA)
1879627,e5g04C1,109.4.1.1326,no_arch,PF13414,27.3,26.8,0.5,supports_commons (>=GA)
4578,e1qgrA1,109.4.1.1345,no_arch,PF25574,407.0,27.6,379.4,supports_commons (>=GA)
1182357,e2jlbB6,109.4.1.1347,no_arch,PF13432,30.2,15.5,14.7,supports_commons (>=GA)
3101308,e8pkpQ1,109.4.1.1359,no_arch,PF13424,35.3,30.1,5.2,supports_commons (>=GA)
4551,e1elrA1,109.4.1.1394,no_arch,PF13424,47.7,30.1,17.6,supports_commons (>=GA)
1140573,e4c0oA1,109.4.1.1395,no_arch,PF24139,167.9,27.0,140.9,supports_commons (>=GA)
3071370,e8c6jS1,109.4.1.1397,no_arch,PF23231,84.0,27.0,57.0,supports_commons (>=GA)
1673889,e4ui9O2,109.4.1.1398,no_arch,PF29127,34.7,27.0,7.7,supports_commons (>=GA)
4613,e1xqrA1,109.4.1.1413,no_arch,PF28415,60.3,29.6,30.7,supports_commons (>=GA)
1878863,e5i9fA1,109.4.1.1440,no_arch,PF23276,55.7,22.4,33.3,supports_commons (>=GA)
1910322,e5gm6d1,109.4.1.1466,no_arch,PF23233,52.7,31.0,21.7,supports_commons (>=GA)
1910263,e5khrX1,109.4.1.1499,no_arch,PF13174,12.0,12.2,-0.2,borderline (sub-GA)
4586,e1u6gC1,109.4.1.1501,no_arch,PF25782,202.8,32.8,170.0,supports_commons (>=GA)
424333,e3as5A1,109.4.1.1536,no_arch,PF14559,36.4,25.0,11.4,supports_commons (>=GA)
2171546,e6c6kA1,109.4.1.1537,no_arch,PF13181,22.6,11.8,10.8,supports_commons (>=GA)
1088203,e4imiA1,109.4.1.1538,no_arch,PF20168,29.8,27.0,2.8,supports_commons (>=GA)
1290148,e3w3tA1,109.4.1.1539,no_arch,PF25780,100.9,26.0,74.9,supports_commons (>=GA)
1610272,e3cvqA1,109.4.1.1562,no_arch,PF13432,39.5,15.5,24.0,supports_commons (>=GA)
4886297,Q2UBW0_nD3,109.4.1.1588,no_arch,PF27584,590.1,27.9,562.2,supports_commons (>=GA)
2875707,e8a3tK1,109.4.1.1613,no_arch,PF13181,16.3,11.8,4.5,supports_commons (>=GA)
2125177,e5oqlE1,109.4.1.1630,no_arch,PF23233,34.7,31.0,3.7,supports_commons (>=GA)
3563491,Q2VPB7_F1_nD1,109.4.1.1687,ambiguous_both,PF21588,440.8,24.5,416.3,supports_commons (>=GA)
2323971,e5ve8B1,109.4.1.1697,no_arch,PF25780,62.1,26.0,36.1,supports_commons (>=GA)
4563,e2c2lA1,109.4.1.1707,no_arch,PF12895,48.6,27.2,21.4,supports_commons (>=GA)
4029506,A0A143ZWU2_F1_nD2,109.4.1.1753,ambiguous_both,PF02526,98.4,25.0,73.4,supports_commons (>=GA)
2462397,e6n1zD1,109.4.1.1773,no_arch,PF25758,102.1,27.0,75.1,supports_commons (>=GA)
1118456,e4i9cA1,109.4.1.1920,no_arch,PF13181,14.5,11.8,2.7,supports_commons (>=GA)
2841850,e6whbA1,109.4.1.1965,no_arch,PF28295,597.3,49.2,548.1,supports_commons (>=GA)
1122217,e2x1gF1,109.4.1.2093,no_arch,PF24139,33.4,27.0,6.4,supports_commons (>=GA)
3628307,A0A044TN99_F1_nD1,109.4.1.2108,ambiguous_both,PF20926,149.9,31.2,118.7,supports_commons (>=GA)
3519213,A0A077Z6U1_F1_nD1,109.4.1.2122,ambiguous_both,PF22766,106.9,27.0,79.9,supports_commons (>=GA)
3520619,A0A077Z7F2_F1_nD1,109.4.1.2124,ambiguous_both,PF20926,168.1,31.2,136.9,supports_commons (>=GA)
2129015,e5m32i1,109.4.1.2130,no_arch,PF13646,51.5,27.7,23.8,supports_commons (>=GA)
2420868,e5vxvA1,109.4.1.2374,no_arch,PF30033,239.0,27.0,212.0,supports_commons (>=GA)
3407960,Q9W1C5_F1_nD5,109.4.1.2423,ambiguous_both,PF22929,312.9,27.2,285.7,supports_commons (>=GA)
180062,e3q15A1,109.4.1.2437,no_arch,PF13176,17.2,14.0,3.2,supports_commons (>=GA)
3098939,e8or3C1,109.4.1.2447,no_arch,PF25782,202.8,32.8,170.0,supports_commons (>=GA)
3585480,A0A3P7DLC8_F1_nD1,109.4.1.2718,ambiguous_both,PF22929,116.6,27.2,89.4,supports_commons (>=GA)
3169496,Q04781_F1_nD2,109.4.1.3165,ambiguous_both,PF22958,173.6,27.4,146.2,supports_commons (>=GA)
3918871,X1WD61_F1_nD1,109.4.1.3569,ambiguous_both,PF22883,74.1,27.7,46.4,supports_commons (>=GA)
4560,e1w3bA1,109.4.1.3572,no_arch,PF13424,47.6,30.1,17.5,supports_commons (>=GA)
1758348,e3zkvA1,109.4.1.3579,no_arch,PF24139,33.4,27.0,6.4,supports_commons (>=GA)
3494631,A0A5K4FEI4_F1_nD10,11.1.1.1195,no_arch,PF03160,24.7,6.8,17.9,supports_commons (>=GA)
1125473,e4ij2F1,11.1.1.861,no_arch,PF10049,21.8,23.0,-1.2,borderline (sub-GA)
2592160,e6ppoU1,11.1.1.931,no_arch,PF31191,117.9,27.0,90.9,supports_commons (>=GA)
3405939,Q8IRH9_F1_nD1,11.2.1.113,no_arch,PF14924,8.3,21.5,-13.2,borderline (sub-GA)
1693513,e1ihmA2,1.2.1.4,no_arch,,,,,unresolved (commons Pfam absent)
4886069,Q2U5P7_nD1,12.3.1.50,no_arch,PF28395,137.9,27.0,110.9,supports_commons (>=GA)
184739,e2kngA1,130.1.1.33,no_arch,PF23359,71.6,26.9,44.7,supports_commons (>=GA)
2576201,e6i5bA2,139.2.1.18,no_arch,PF13435,20.2,14.9,5.3,supports_commons (>=GA)
4885911,Q2IBF7_nD6,148.1.3.208,no_arch,PF25408,44.0,27.0,17.0,supports_commons (>=GA)
3704953,Q4CXA6_F1_nD4,150.5.1.119,ambiguous_both,PF11040,384.9,27.3,357.6,supports_commons (>=GA)
2322931,e5n0pA3,159.1.1.5,no_arch,PF31221,129.8,27.0,102.8,supports_commons (>=GA)
2797118,e7lgaA1,170.1.1.22,no_arch,PF30901,102.8,27.0,75.8,supports_commons (>=GA)
1390914,e3cf4A4,187.1.1.14,no_arch,PF12838,27.5,27.0,0.5,supports_commons (>=GA)
3630104,A0A044V8V3_F1_nD3,192.24.1.6,ambiguous_both,PF22536,85.1,30.0,55.1,supports_commons (>=GA)
2967092,e8a3kUNK1,192.29.1.298,no_arch,PF30778,33.8,27.0,6.8,supports_commons (>=GA)
1240413,e3rlgA2,2002.1.1.269,no_arch,PF31089,345.2,27.0,318.2,supports_commons (>=GA)
8818,e1gcyA2,2002.1.1.301,no_arch,,,,,unresolved (commons Pfam absent)
4886542,Q3SHE7_nD2,2002.1.1.413,no_arch,PF22617,96.0,27.0,69.0,supports_commons (>=GA)
184980,e2x58A2,2003.1.1.155,no_arch,PF03807,20.0,21.6,-1.6,borderline (sub-GA)
4886087,B0KGD9_nD2,2003.1.11.7,no_arch,PF02826,102.3,25.1,77.2,supports_commons (>=GA)
4886526,B0KRH6_nD1,2003.1.1.291,no_arch,PF22660,34.1,27.0,7.1,supports_commons (>=GA)
4885952,Q3SRR6_nD1,2003.1.2.59,no_arch,PF01134,321.8,19.1,302.7,supports_commons (>=GA)
9224,e1kdgA2,2003.1.2.63,no_arch,PF13450,23.8,21.9,1.9,supports_commons (>=GA)
9280,e1w4xA1,2003.1.2.69,no_arch,PF13738,63.5,30.0,33.5,supports_commons (>=GA)
1278961,e3g07A2,2003.1.5.200,no_arch,PF13649,26.3,27.0,-0.7,borderline (sub-GA)
1870442,e3cmmA1,2003.1.9.8,no_arch,,,,,unresolved (commons Pfam absent)
9774,e1iqpA3,2004.1.1.415,no_arch,PF05496,34.3,27.0,7.3,supports_commons (>=GA)
2132493,e5bk472,2004.1.1.418,no_arch,PF01078,25.0,20.3,4.7,supports_commons (>=GA)
4886486,A4W7A9_nD2,2004.1.1.424,no_arch,PF07724,116.7,27.0,89.7,supports_commons (>=GA)
375982,e3kb1B1,2004.1.1.437,no_arch,PF13614,29.4,27.0,2.4,supports_commons (>=GA)
234135,e4ernA1,2004.1.1.457,no_arch,PF00271,52.5,23.5,29.0,supports_commons (>=GA)
9749,e1qvrC4,2004.1.1.462,no_arch,PF23569,43.5,28.6,14.9,supports_commons (>=GA)
2420114,e6a1zA1,2004.1.1.463,no_arch,PF16796,90.8,27.0,63.8,supports_commons (>=GA)
143810,e2xitA1,2004.1.1.465,no_arch,PF13614,33.6,27.0,6.6,supports_commons (>=GA)
9605,e1wf3A2,2004.1.1.474,no_arch,PF00350,26.5,27.0,-0.5,borderline (sub-GA)
1105357,e2vsfA2,2004.1.1.485,no_arch,PF00270,27.2,24.1,3.1,supports_commons (>=GA)
1117696,e3vkhA3,2004.1.1.500,no_arch,,,,,unresolved (commons Pfam absent)
1779584,e5dnyB1,2004.1.1.514,no_arch,PF13555,27.8,27.0,0.8,supports_commons (>=GA)
2116453,e5x0yO2,2004.1.1.602,no_arch,PF11496,41.2,27.0,14.2,supports_commons (>=GA)
4885915,B0K7T0_nD2,2004.1.1.761,no_arch,PF22740,171.2,27.0,144.2,supports_commons (>=GA)
4886574,A4WEY3_nD6,2004.1.1.923,no_arch,PF22042,96.4,27.0,69.4,supports_commons (>=GA)
4886124,Q3SL86_nD1,2005.1.1.91,no_arch,PF13603,28.5,25.0,3.5,supports_commons (>=GA)
4886474,Q2U9M7_nD2,2007.12.1.5,no_arch,PF07691,63.9,24.0,39.9,supports_commons (>=GA)
2491385,e5wlpA1,2007.1.3.42,no_arch,PF29921,170.3,27.0,143.3,supports_commons (>=GA)
4886429,Q088S6_nD2,2007.1.7.7,no_arch,PF24621,190.0,27.6,162.4,supports_commons (>=GA)
10114,e2shpA3,2007.2.3.21,no_arch,PF22784,26.6,27.0,-0.4,borderline (sub-GA)
4885869,A7GD48_nD1,2007.6.1.17,no_arch,PF22645,73.4,27.0,46.4,supports_commons (>=GA)
4885968,Q1JCJ8_nD1,2008.1.1.203,no_arch,PF00580,184.3,23.0,161.3,supports_commons (>=GA)
4886215,A7GR91_nD2,2011.1.1.23,no_arch,PF07687,60.8,21.0,39.8,supports_commons (>=GA)
2573473,e5odcA3,205.1.1.39,no_arch,PF14697,32.8,35.0,-2.2,borderline (sub-GA)
1107951,e1h0hB2,205.1.1.71,no_arch,PF12838,24.5,27.0,-2.5,borderline (sub-GA)
1167701,e3j15B8,205.1.1.81,no_arch,PF00037,28.6,21.1,7.5,supports_commons (>=GA)
3671474,A0A1X7YG27_F1_nD1,206.1.1.74,ambiguous_both,PF07714,64.7,23.1,41.6,supports_commons (>=GA)
7192,e1oznA1,207.1.1.130,no_arch,PF13306,24.2,10.0,14.2,supports_commons (>=GA)
7194,e1xkuA1,207.1.1.140,no_arch,PF01462,40.2,24.4,15.8,supports_commons (>=GA)
1030869,e1h6tA3,207.1.1.142,no_arch,PF13855,29.7,27.0,2.7,supports_commons (>=GA)
2141472,e5y9wB1,207.1.1.151,no_arch,PF12799,32.3,27.0,5.3,supports_commons (>=GA)
7193,e1w8aA1,207.1.1.164,no_arch,PF01463,22.5,6.6,15.9,supports_commons (>=GA)
1255183,e2z62A4,207.1.1.179,no_arch,PF12799,31.2,27.0,4.2,supports_commons (>=GA)
7198,e1dceA3,207.1.1.197,no_arch,PF14580,26.8,30.5,-3.7,borderline (sub-GA)
1284444,e4mqwX1,207.1.1.200,no_arch,PF13306,32.1,10.0,22.1,supports_commons (>=GA)
1759149,e4cilA2,207.1.1.332,no_arch,PF13855,29.6,27.0,2.6,supports_commons (>=GA)
3531139,Q8N307_F1_nD1,207.6.1.26,ambiguous_both,PF21824,43.3,11.0,32.3,supports_commons (>=GA)
11106,e1lrzA3,213.1.1.75,no_arch,PF13480,14.5,22.0,-7.5,borderline (sub-GA)
2491409,e6hv6A2,219.1.1.117,no_arch,PF30660,58.9,27.0,31.9,supports_commons (>=GA)
2625578,e6winA1,219.1.1.163,no_arch,PF31135,61.0,27.0,34.0,supports_commons (>=GA)
3785666,A0A1D8PC56_F1_nD2,221.1.1.198,ambiguous_both,PF11055,492.5,25.0,467.5,supports_commons (>=GA)
2491423,e6dgaA1,223.1.1.117,no_arch,PF30418,127.4,27.0,100.4,supports_commons (>=GA)
4886682,Q4USR1_nD1,230.3.1.3,no_arch,PF25025,28.9,33.2,-4.3,borderline (sub-GA)
6738,e1ublL5,244.4.1.3,no_arch,PF27537,33.8,21.4,12.4,supports_commons (>=GA)
2579494,e6tt5AAA1,247.1.1.40,no_arch,PF23023,28.2,27.8,0.4,supports_commons (>=GA)
3570901,Q9H5L6_F1_nD3,2484.1.1.315,ambiguous_both,PF21787,151.6,24.6,127.0,supports_commons (>=GA)
149006,e3rstA1,2486.1.1.14,no_arch,PF00574,23.6,20.2,3.4,supports_commons (>=GA)
3943050,A0A0H3GSM5_F1_nD1,274.1.1.51,ambiguous_both,PF27121,119.3,27.0,92.3,supports_commons (>=GA)
3513463,A0A077ZHG9_F1_nD7,283.2.1.10,no_arch,PF29514,21.2,24.0,-2.8,borderline (sub-GA)
2136730,e5xynC1,292.2.1.15,no_arch,PF29923,173.4,27.0,146.4,supports_commons (>=GA)
1180600,e3noyA4,296.1.1.3,no_arch,PF26540,113.2,32.0,81.2,supports_commons (>=GA)
3532878,Q9BZB8_F1_nD2,304.9.1.139,no_arch,PF00076,18.2,20.7,-2.5,borderline (sub-GA)
2491505,e6ffyA6,304.9.1.87,no_arch,PF30891,70.3,27.0,43.3,supports_commons (>=GA)
4886343,Q2IXN6_nD1,305.1.1.8,no_arch,PF01000,120.8,33.9,86.9,supports_commons (>=GA)
1497958,e2mxzA1,307.1.1.11,no_arch,PF31190,241.3,27.0,214.3,supports_commons (>=GA)
2475125,e6rbkC4,3071.1.1.7,no_arch,,,,,unresolved (commons Pfam absent)
4885763,C0RI89_nD3,314.1.1.43,no_arch,PF02938,37.0,23.4,13.6,supports_commons (>=GA)
2137466,e5nenA1,325.1.7.55,no_arch,PF00364,22.4,22.1,0.3,supports_commons (>=GA)
2702007,e7cikA2,327.16.1.10,no_arch,PF29189,54.7,24.4,30.3,supports_commons (>=GA)
2049683,e5wyj3E1,3407.1.1.4,no_arch,,,,,unresolved (commons Pfam absent)
1914574,e5gjvF2,3488.1.1.3,no_arch,PF30670,107.1,30.2,76.9,supports_commons (>=GA)
3442375,Q5Z6J6_F1_nD3,3562.1.1.11,ambiguous_both,PF13962,105.8,24.1,81.7,supports_commons (>=GA)
3393497,Q8IRH3_F1_nD4,3567.1.1.99,no_arch,,,,,unresolved (commons Pfam absent)
4508982,Q9WX62_nD2,3598.1.1.4,no_arch,PF29164,130.3,27.7,102.6,supports_commons (>=GA)
1322546,e4d10J3,3749.1.1.5,no_arch,PF25983,48.7,27.0,21.7,supports_commons (>=GA)
4886707,Q72AR5_nD2,375.1.1.304,no_arch,PF13603,30.8,25.0,5.8,supports_commons (>=GA)
3867129,Q9QYE6_F1_nD1,3755.3.1.103,no_arch,PF09787,5.7,31.7,-26.0,borderline (sub-GA)
3582569,A0A3P7DN76_F1_nD1,3755.3.1.348,ambiguous_both,PF10146,168.4,34.5,133.9,supports_commons (>=GA)
3886253,A0A2R8QHE1_F1_nD3,3755.3.1.495,no_arch,PF30391,-12.4,27.0,-39.4,borderline (sub-GA)
3375240,K7LP86_F1_nD1,3755.3.1.575,ambiguous_both,PF03087,153.6,23.5,130.1,supports_commons (>=GA)
3361155,I1LNW1_F1_nD2,377.1.1.106,no_arch,PF22908,20.6,23.9,-3.3,borderline (sub-GA)
2562106,e6qetA1,383.1.1.21,no_arch,PF30530,74.6,27.0,47.6,supports_commons (>=GA)
2163927,e5wjqD2,386.1.1.233,no_arch,PF00096,26.6,15.8,10.8,supports_commons (>=GA)
3310103,K7L200_F1_nD2,386.1.1.235,ambiguous_both,PF22996,79.3,27.0,52.3,supports_commons (>=GA)
3546631,Q96GE5_F1_nD13,386.1.1.238,ambiguous_both,PF13912,27.3,12.4,14.9,supports_commons (>=GA)
3105394,e8ssuA1,386.1.1.262,no_arch,PF23611,28.7,27.0,1.7,supports_commons (>=GA)
3350636,I1MNH4_F1_nD2,386.1.1.324,ambiguous_both,PF22992,80.8,26.3,54.5,supports_commons (>=GA)
3863462,A2APF3_F1_nD4,386.1.1.352,no_arch,PF23611,25.3,27.0,-1.7,borderline (sub-GA)
2563417,e6tlyA1,386.1.1.417,no_arch,PF26235,111.4,26.0,85.4,supports_commons (>=GA)
2772055,e7nxdB5,389.4.1.18,no_arch,PF23105,59.3,27.0,32.3,supports_commons (>=GA)
3335572,I1L0F5_F1_nD2,3922.1.1.303,no_arch,PF12936,-5.7,25.0,-30.7,borderline (sub-GA)
3970339,Q9HUE7_F1_nD3,3922.1.1.347,ambiguous_both,PF12795,200.8,30.5,170.3,supports_commons (>=GA)
4886133,A7GJ82_nD2,4010.1.1.6,no_arch,PF04561,89.7,21.7,68.0,supports_commons (>=GA)
3455825,Q6Z4S9_F1_nD1,4044.1.1.23,no_arch,PF18052,24.9,27.7,-2.8,borderline (sub-GA)
4886015,Q5X9U6_nD3,4070.1.1.7,no_arch,PF17820,29.9,27.0,2.9,supports_commons (>=GA)
1758652,e2ckkA1,4.1.1.300,no_arch,PF25092,96.1,27.9,68.2,supports_commons (>=GA)
197758,e3by7A1,4.1.1.328,no_arch,PF16243,34.8,27.6,7.2,supports_commons (>=GA)
3256431,Q54GS9_F1_nD1,4.1.1.360,no_arch,PF00467,19.8,22.3,-2.5,borderline (sub-GA)
3856317,Q6ZPY7_F1_nD1,4.1.1.361,ambiguous_both,PF22988,95.6,27.0,68.6,supports_commons (>=GA)
4886247,A4W8W0_nD1,4143.1.1.10,no_arch,PF22020,70.0,22.9,47.1,supports_commons (>=GA)
3998805,A0A158Q5L6_F1_nD1,4207.1.1.62,ambiguous_both,PF22628,71.6,27.0,44.6,supports_commons (>=GA)
3905613,E7EXW8_F1_nD5,4207.1.1.77,ambiguous_both,PF00839,56.6,22.0,34.6,supports_commons (>=GA)
3921924,A2CE93_F1_nD8,4207.1.2.70,no_arch,PF00612,8.3,11.1,-2.8,borderline (sub-GA)
3744794,O59793_F1_nD1,4336.1.1.10,no_arch,PF09751,25.5,27.0,-1.5,borderline (sub-GA)
4009677,P76072_F1_nD3,5086.1.1.220,no_arch,PF08400,-5.5,26.6,-32.1,borderline (sub-GA)
139819,e2wvpA1,5087.1.1.4,no_arch,PF04338,33.5,21.1,12.4,supports_commons (>=GA)
2646217,e6tjeA2,5.1.2.34,no_arch,,,,,unresolved (commons Pfam absent)
1238188,e2vduB2,5.1.3.154,no_arch,PF30361,163.1,27.0,136.1,supports_commons (>=GA)
1891495,e5c9oA1,5.1.3.172,no_arch,PF26607,665.4,27.0,638.4,supports_commons (>=GA)
1565096,e5c86A1,5.1.4.10,no_arch,PF01344,40.1,20.0,20.1,supports_commons (>=GA)
1031088,e3sfzA5,5.1.4.274,no_arch,PF23381,136.4,120.0,16.4,supports_commons (>=GA)
1545159,e4ruqB1,5.1.4.281,no_arch,PF06462,35.3,21.0,14.3,supports_commons (>=GA)
180800,e2xyiA1,5.1.4.292,no_arch,PF23609,52.0,54.0,-2.0,borderline (sub-GA)
2770114,e7moqA1,5.1.4.301,no_arch,PF24681,110.0,50.0,60.0,supports_commons (>=GA)
2390508,e5yzgs1,5.1.4.314,no_arch,PF24814,413.1,320.0,93.1,supports_commons (>=GA)
2233,e2ebsA1,5.1.4.406,no_arch,PF25852,25.7,27.0,-1.3,borderline (sub-GA)
3525333,Q969F9_F1_nD2,5.1.4.416,no_arch,,,,,unresolved (commons Pfam absent)
3628522,A0A044QLM8_F1_nD1,5.1.4.489,ambiguous_both,PF00432,267.5,6.0,261.5,supports_commons (>=GA)
2213,e1nr0A2,5.1.4.6,no_arch,PF12894,26.2,21.1,5.1,supports_commons (>=GA)
2531625,e5nniA2,5.1.7.2,no_arch,PF15902,386.0,33.0,353.0,supports_commons (>=GA)
4883260,e9grxL01,536.1.1.2,no_arch,PF10716,108.1,25.0,83.1,supports_commons (>=GA)
3628283,A0A044QSX6_F1_nD2,601.1.2.76,ambiguous_both,PF00137,52.1,24.0,28.1,supports_commons (>=GA)
4886489,Q72D51_nD3,601.25.1.2,no_arch,PF01926,80.3,21.9,58.4,supports_commons (>=GA)
3922083,E7F1L9_F1_nD1,601.4.1.74,ambiguous_both,PF22975,158.6,27.0,131.6,supports_commons (>=GA)
3321923,I1KS00_F1_nD1,603.2.1.16,ambiguous_both,PF12056,504.6,25.0,479.6,supports_commons (>=GA)
3683295,A0A1D6GW55_F1_nD4,605.1.1.232,no_arch,PF12936,-6.5,25.0,-31.5,borderline (sub-GA)
3905614,E7EXW8_F1_nD1,606.1.1.18,ambiguous_both,PF00839,57.6,22.0,35.6,supports_commons (>=GA)
2646216,e6tjeA1,6.1.1.39,no_arch,PF13360,67.7,19.7,48.0,supports_commons (>=GA)
1002477,e3ne5B4,6119.1.1.2,no_arch,PF25869,63.6,26.2,37.4,supports_commons (>=GA)
4885912,C0R562_nD2,67.1.1.6,no_arch,PF00684,47.7,32.7,15.0,supports_commons (>=GA)
2298,e1dq3A1,69.1.1.11,ambiguous_both,PF07591,13.0,27.7,-14.7,borderline (sub-GA)
2266,e2bibA1,702.1.1.9,no_arch,PF19127,35.1,27.0,8.1,supports_commons (>=GA)
2491495,e6ebnA4,7035.1.1.2,no_arch,PF31270,153.4,27.0,126.4,supports_commons (>=GA)
3547916,Q9BU23_F1_nD1,70.4.1.10,no_arch,,,,,unresolved (commons Pfam absent)
2581350,e6ii2A2,7047.1.1.1,no_arch,,,,,unresolved (commons Pfam absent)
2559798,e6hq6A2,7093.1.1.2,no_arch,PF31219,76.2,27.0,49.2,supports_commons (>=GA)
1780244,e5e9tB2,7512.1.1.86,no_arch,PF30761,172.6,27.0,145.6,supports_commons (>=GA)
223848,e3iddA1,7515.1.1.14,no_arch,,,,,unresolved (commons Pfam absent)
1821028,e4ug4B1,7515.1.1.16,no_arch,PF16347,43.5,29.3,14.2,supports_commons (>=GA)
4886444,Q3SGA3_nD1,7515.1.1.32,no_arch,PF06415,267.9,27.0,240.9,supports_commons (>=GA)
4885818,Q089E1_nD1,7558.1.1.14,no_arch,PF27464,239.4,27.0,212.4,supports_commons (>=GA)
10878,e1hnjA1,7581.1.1.23,no_arch,PF00108,25.0,26.4,-1.4,borderline (sub-GA)
3286456,K0EM16_F1_nD1,7581.1.1.32,ambiguous_both,PF22691,94.4,28.0,66.4,supports_commons (>=GA)
4886554,Q4UL10_nD1,821.1.1.9,no_arch,PF30054,95.2,27.0,68.2,supports_commons (>=GA)
4886565,Q2UJF5_nD1,883.1.1.18,no_arch,PF26545,361.0,28.0,333.0,supports_commons (>=GA)
1918766,e5gykA1,883.1.1.19,no_arch,PF26544,288.1,31.6,256.5,supports_commons (>=GA)
3271609,Q54X99_F1_nD4,883.1.1.23,no_arch,PF14613,26.3,27.0,-0.7,borderline (sub-GA)
3448306,B7EN35_F1_nD1,904.1.1.27,no_arch,PF22586,26.3,27.0,-0.7,borderline (sub-GA)
2060964,e5ml1A1,931.1.1.11,no_arch,PF30063,32.1,27.0,5.1,supports_commons (>=GA)
