ecod_uid,new_f_id
1487349,2004.1.1.417
1487350,2004.1.1.445
1676519,5.1.4.283
1676526,109.4.1.1264
1310610,2011.1.1.35
1503129,2484.1.1.195
1555748,109.4.1.1299
1713369,109.4.1.1555
1563569,109.4.1.1264
1828347,109.4.1.1303
1820986,109.4.1.1594
1718749,109.4.1.1798
1723271,7516.1.1.106
1736252,109.4.1.1573
2075105,109.3.1.170
1954217,207.1.1.144
1779594,1047.1.1.1
1824186,5.1.4.254
1830979,109.4.1.1303
1891442,109.4.1.1739
2323934,5.1.4.620
2084854,108.1.1.102
2057238,2004.1.1.417
2526320,396.3.1.7
7423,235.1.1.33
215,1.1.17.9
118926,108.1.1.98
10811,7579.1.1.92
3155,108.1.1.97
1070,10.1.1.74
5723,211.1.1.41
118942,108.1.1.97
7424,235.1.1.31
5472,205.1.1.80
5479,205.1.1.41
1184,10.2.1.87
118966,108.1.1.98
10833,7579.1.1.98
8462,389.1.1.101
3139,108.1.1.102
9346,2003.1.5.179
2373,5087.2.1.2
8461,389.1.1.99
118995,108.1.1.98
1072,10.1.1.74
8441,387.1.5.28
9291,2003.1.3.15
119019,108.1.1.97
3138,108.1.1.97
119034,108.1.1.97
119035,108.1.1.96
177,1.1.9.35
2206,5.1.4.253
3174,108.1.1.97
5091,304.9.1.77
8128,376.1.3.56
5049,304.9.1.77
3085,103.1.1.84
9395,2003.1.5.151
7608,4075.1.1.2
8463,389.1.1.99
9388,2003.1.5.154
9393,2003.1.5.151
1141837,1.13.1.2
9727,2004.1.1.428
7186,207.1.1.162
5092,304.9.1.77
1539,11.1.1.862
185910,2004.1.1.453
2038,4178.1.1.4
607,4.15.1.2
185951,3425.2.1.3
6542,4099.1.1.25
9911,2006.1.1.44
3264,198.1.1.10
1821879,1058.1.1.1
11490,2498.1.1.90
119222,3090.1.1.2
1851163,108.1.1.103
1144732,11.1.1.1155
9910,2006.1.1.44
7243,208.1.1.20
3146,108.1.1.99
48960,108.1.1.99
1826881,101.1.1.288
7316,880.1.1.4
1144822,11.1.5.96
185292,3070.1.1.18
146895,2004.1.1.422
1145817,1.1.7.87
1005491,6082.1.1.3
1546393,10.12.1.101
1891399,513.2.1.2
1295900,70.3.1.12
1145751,1.1.7.87
146239,207.2.1.74
1840991,2004.1.1.428
1002475,1.1.7.87
146868,389.1.1.110
223972,11.1.1.1383
223973,11.1.1.1157
223974,11.1.1.1158
1291898,5.1.4.269
1291899,5.1.4.293
1031125,221.1.1.164
224012,3077.1.1.3
224022,3597.1.1.5
185748,2488.1.1.19
2323779,1194.1.1.1
185755,54.1.1.6
1108116,3435.1.1.7
1288513,101.1.1.364
1108122,207.1.1.161
1096987,1.1.7.87
1070876,10.2.1.89
1088877,207.1.1.157
1124210,54.1.1.7
1310586,5.1.4.280
1310587,5.1.4.270
1313622,1.1.7.88
1676515,109.35.1.11
1676525,5.1.4.259
1841022,1088.1.1.1
1503130,3948.1.1.3
1680001,4.1.1.299
1688243,1010.1.1.1
1688245,1009.1.1.1
1681454,304.166.1.9
1736241,1041.1.1.1
1687171,5.1.4.331
1790181,331.22.1.2
1843715,109.4.1.1463
1916704,872.12.1.1
1824183,304.9.1.92
1779600,11.41.1.1
1885533,375.1.1.204
1885536,1.3.1.2
1839971,3386.2.1.4
1842586,109.3.1.162
2076897,148.1.3.203
2066817,5.1.5.80
2323862,1201.1.1.1
2323924,101.1.2.500
2323935,5.1.4.285
2080138,327.21.1.2
2323952,4.29.1.1
2323967,2.1.1.224
2323974,11.1.1.987
2485644,7030.1.1.1
2084857,1164.1.1.2
2324026,101.1.2.500
2387804,9.30.1.1
2324037,1195.1.1.2
2485650,633.16.2.2
2617272,2007.1.20.2
2485656,7052.1.1.1
2485657,7053.1.1.1
2526309,7083.1.1.1
2324055,101.1.2.543
2623804,7529.1.1.14
2324072,2008.1.1.149
2324073,102.1.1.111
2526314,1205.2.1.1
2526315,7075.1.1.1
2502890,7059.1.1.1
2485680,7035.1.1.1
2324093,2008.8.1.1
2322965,109.4.1.1284
2387865,304.9.1.78
2387867,3735.1.1.14
2485693,7040.1.1.1
2502901,207.16.1.1
2576194,7103.1.1.1
2526318,7093.1.1.1
2576204,558.1.1.19
2576208,906.2.1.1
2526330,375.15.1.1
2526331,7091.1.1.1
2526332,7092.1.1.1
2576209,7112.1.1.1
2526352,922.1.1.21
2526353,7084.1.1.2
