ecod_uid,domain_id,t_id,old_f,old_f_name,commons_f,new_f_name,dominant_pfam,dominant_name,cov_pct,score,verdict,tier,recommended_action,composite_outcome,relaxed_Q_verdict,relaxed_Q_detail,final_class,final_action
9015,e1hk8A1,2500.1.1,2500.1.1.5,NRDD,2500.1.1.7,"Gly_radical, NRDD",PF13597,NRDD,100.0,536.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF01228 score=84.0 GA=22.2 dE=1.5e-23,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
118952,e1hqvA2,108.1.1,108.1.1.29,EF-hand_7,108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",PF13499,EF-hand_7,66.3,50.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13202 score=21.6 GA=11.5 dE=1.7e-04,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9356,e1i1nA1,2003.1.5,2003.1.5.4,PCMT,2003.1.5.153,"PCMT, Methyltransf_25",PF01135,PCMT,95.5,290.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13649 score=29.7 GA=27.0 dE=1.3e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
118964,e1jbaA2,108.1.1,108.1.1.29,EF-hand_7,108.1.1.97,"EF-hand_1, EF-hand_7",PF13499,EF-hand_7,83.7,53.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=28.2 GA=25.4 dE=1.4e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
118965,e1jfjA1,108.1.1,108.1.1.29,EF-hand_7,108.1.1.99,"EF-hand_5, EF-hand_6, EF-hand_7",PF13499,EF-hand_7,95.5,51.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13202 score=27.1 GA=11.5 dE=3.2e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9355,e1jg1A1,2003.1.5,2003.1.5.4,PCMT,2003.1.5.153,"PCMT, Methyltransf_25",PF01135,PCMT,96.7,221.6,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13649 score=33.5 GA=27.0 dE=8.3e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10804,e1k8qA1,7579.1.1,7579.1.1.6,Abhydrolase_1,7579.1.1.93,"Abhydrolase_1, Abhydro_lipase",PF00561,Abhydrolase_1,79.8,97.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
7073,e1kobA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",PF00069,Pkinase,72.7,245.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF03109 score=34.0 GA=22.9 dE=2.7e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1107957,e1kqfB3,205.1.1,205.1.1.17,Fer4_11,205.1.1.48,"Fer4_6, Fer4_11",PF13247,Fer4_11,100.0,90.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF12837 score=24.3 GA=24.0 dE=3.3e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9777,e1lv7A2,2004.1.1,2004.1.1.1,AAA,2004.1.1.420,"AAA, TIP49",PF00004,AAA,74.0,163.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF06068 score=26.5 GA=23.8 dE=5.6e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9608,e1mkyA3,2004.1.1,2004.1.1.73,MMR_HSR1,2004.1.1.414,"GTP_EFTU, MMR_HSR1",PF01926,MMR_HSR1,64.5,101.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
1088763,e1mppA1,1.1.1,1.1.1.1,Asp,1.1.1.27,"Asp, TAXi_N",PF00026,Asp,92.5,293.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF14543 score=32.9 GA=30.0 dE=1.1e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7079,e1o6yA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",PF00069,Pkinase,95.3,173.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF03109 score=32.6 GA=22.9 dE=7.4e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1088767,e1oewA2,1.1.1,1.1.1.1,Asp,1.1.1.27,"Asp, TAXi_N",PF00026,Asp,91.5,290.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF14543 score=31.6 GA=30.0 dE=2.8e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
119003,e1omrA2,108.1.1,108.1.1.29,EF-hand_7,108.1.1.97,"EF-hand_1, EF-hand_7",PF13499,EF-hand_7,74.5,36.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=27.7 GA=25.4 dE=1.9e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
3161,e1oqpA1,108.1.1,108.1.1.29,EF-hand_7,108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",PF13499,EF-hand_7,84.4,58.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=28.3 GA=25.4 dE=1.3e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
4922,e1orqC1,5054.1.1,5054.1.1.2,Ion_trans,5054.1.1.59,"Ion_trans, Ion_trans_2",PF00520,Ion_trans,96.9,74.6,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF07885 score=66.4 GA=22.5 dE=2.6e-18,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9044,e1orrA1,2003.1.1,2003.1.1.72,GDP_Man_Dehyd,2003.1.1.141,"Polysacc_synt_2, GDP_Man_Dehyd",PF16363,GDP_Man_Dehyd,97.0,177.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF02719 score=36.0 GA=20.2 dE=7.0e-09,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
3152,e1ozsA1,108.1.1,108.1.1.29,EF-hand_7,108.1.1.96,"EF-hand_1, EF-hand_6, EF-hand_7",PF13499,EF-hand_7,89.0,68.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=33.6 GA=25.4 dE=2.5e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
4234,e1ppjC2,5069.1.1,5069.1.1.1,Cytochrome_B,5069.1.1.54,"Cytochrome_B, Cytochrom_B_N_2",PF00033,Cytochrome_B,76.0,289.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13631 score=157.1 GA=27.0 dE=6.4e-46,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7437,e1prtA1,237.1.1,237.1.1.7,Pertussis_S1,237.1.1.33,"Pertussis_S1, Scabin-like",PF02917,Pertussis_S1,99.6,429.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF22596 score=29.4 GA=27.0 dE=1.0e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
2827,e1q08A1,101.1.9,101.1.9.14,MerR-DNA-bind,101.1.9.82,"MerR-DNA-bind, MerR_1",PF09278,MerR-DNA-bind,70.2,78.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13411 score=24.0 GA=21.6 dE=5.1e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1514546,e1qamA3,2003.1.5,2003.1.5.2,RrnaAD,2003.1.5.182,"RrnaAD, Methyltransf_11",PF00398,RrnaAD,100.0,219.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF08241 score=23.1 GA=21.2 dE=1.4e-04,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9690,e1qhlA1,2004.1.1,2004.1.1.113,MukB,2004.1.1.1172,"MukB, AAA_29",PF04310,MukB,100.0,412.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13555 score=34.3 GA=27.0 dE=2.5e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7425,e1qsaA2,235.1.1,235.1.1.9,SLT,235.1.1.32,"SLT, PF27553",PF01464,SLT,72.0,122.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
10163,e1r3nA2,2011.1.1,2011.1.1.6,Peptidase_M20,2011.1.1.20,"Peptidase_M20, Peptidase_M28",PF01546,Peptidase_M20,68.3,89.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF04389 score=23.7 GA=21.3 dE=5.5e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
2825,e1r8dA1,101.1.9,101.1.9.17,MerR_1,101.1.9.82,"MerR-DNA-bind, MerR_1",PF13411,MerR_1,64.2,71.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
9227,e1ryiA2,2003.1.2,2003.1.2.12,DAO,2003.1.2.60,"DAO, NAD_binding_8",PF01266,DAO,91.3,240.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13450 score=27.3 GA=21.9 dE=5.3e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
119032,e1s6cA1,108.1.1,108.1.1.29,EF-hand_7,108.1.1.98,"EF-hand_1, EF-hand_5, EF-hand_7",PF13499,EF-hand_7,81.1,60.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00036 score=29.6 GA=25.4 dE=4.8e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7096,e1s9jA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",PF00069,Pkinase,90.4,214.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF03109 score=31.0 GA=22.9 dE=2.3e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1088769,e1smrA2,1.1.1,1.1.1.1,Asp,1.1.1.27,"Asp, TAXi_N",PF00026,Asp,91.6,395.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF14543 score=34.3 GA=30.0 dE=4.1e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1141779,e1tedA2,7581.1.1,7581.1.1.4,Chal_sti_synt_N,7581.1.1.24,"Chal_sti_synt_N, ACP_syn_III",PF00195,Chal_sti_synt_N,94.2,83.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF08545 score=35.6 GA=24.0 dE=1.1e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
11071,e1u6mA1,213.1.1,213.1.1.1,Acetyltransf_1,213.1.1.72,"Acetyltransf_1, Acetyltransf_10",PF00583,Acetyltransf_1,79.4,52.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13673 score=30.1 GA=23.6 dE=6.8e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9698,e1uaaA2,2004.1.1,2004.1.1.195,UvrD_C,2004.1.1.508,"UvrD_C, UvrD_C_2",PF13361,UvrD_C,92.2,268.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13538 score=31.3 GA=27.4 dE=2.3e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10839,e1ukcA1,7579.1.1,7579.1.1.1,COesterase,7579.1.1.89,"COesterase, BD-FAE",PF00135,COesterase,97.7,290.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF20434 score=36.7 GA=26.8 dE=5.1e-09,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9693,e1vplA1,2004.1.1,2004.1.1.5,ABC_tran,2004.1.1.417,"ABC_tran, AAA_21",PF00005,ABC_tran,60.9,106.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
586,e1vqoT1,4.1.1,4.1.1.95,Ribosomal_L26,4.1.1.295,"KOW, Ribosomal_L26",PF16906,Ribosomal_L26,96.6,85.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00467 score=35.5 GA=22.3 dE=9.1e-09,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9688,e1w1wA1,2004.1.1,2004.1.1.87,SMC_N,2004.1.1.481,"SMC_N, AAA_29",PF02463,SMC_N,96.4,220.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13555 score=34.7 GA=27.0 dE=1.8e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
2198,e1w8oA3,5.1.3,5.1.3.26,BNR_2,5.1.3.134,"BNR, BNR_2",PF13088,BNR_2,86.0,84.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF02012 score=12.5 GA=12.4 dE=2.0e-01,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
3762,e1wb9A1,601.23.1,601.23.1.1,MutS_III,601.23.1.4,"MutS_IV, MutS_III",PF05192,MutS_III,97.0,172.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF05190 score=104.3 GA=22.0 dE=5.1e-30,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10875,e1wdkC2,7581.1.1,7581.1.1.1,Thiolase_N,7581.1.1.22,"Thiolase_N, ketoacyl-synt",PF00108,Thiolase_N,95.8,295.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00109 score=24.9 GA=20.8 dE=2.2e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
2075048,e1x42A3,2006.1.1,2006.1.1.1,Hydrolase,2006.1.1.44,"Hydrolase, Hydrolase_like",PF00702,Hydrolase,73.6,103.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13242 score=34.6 GA=22.0 dE=2.2e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
119099,e1xo5A1,108.1.1,108.1.1.29,EF-hand_7,108.1.1.103,"EF-hand_6, EF-hand_7, EF-hand_8",PF13499,EF-hand_7,82.0,47.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13833 score=19.5 GA=13.8 dE=1.0e-03,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7095,e1xwsA1,206.1.1,206.1.1.1,Pkinase,206.1.1.71,"Pkinase, Kdo",PF00069,Pkinase,92.7,232.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF06293 score=27.5 GA=21.3 dE=3.0e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1684052,e1y5iA4,2003.2.1,2003.2.1.1,Molybdopterin,2003.2.1.8,"Molybdopterin, PF28599",PF00384,Molybdopterin,60.0,256.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
7078,e1yhwA1,206.1.1,206.1.1.1,Pkinase,206.1.1.72,"Pkinase, Pkinase_fungal",PF00069,Pkinase,86.0,248.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF17667 score=24.2 GA=24.1 dE=2.0e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9109,e1yo6A1,2003.1.1,2003.1.1.3,adh_short,2003.1.1.148,"adh_short, KR",PF00106,adh_short,84.8,96.9,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF08659 score=23.0 GA=22.6 dE=1.0e-04,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9877,e1zd3A1,2006.1.1,2006.1.1.1,Hydrolase,2006.1.1.46,"Hydrolase, HAD_2",PF00702,Hydrolase,86.7,66.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13419 score=29.1 GA=23.8 dE=1.4e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
8696,e1zfjA2,2002.1.1,2002.1.1.23,IMPDH,2002.1.1.263,"IMPDH, FMN_dh",PF00478,IMPDH,93.7,536.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF01070 score=26.3 GA=24.9 dE=5.8e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1514550,e1zq9A3,2003.1.5,2003.1.5.2,RrnaAD,2003.1.5.155,"RrnaAD, Methyltransf_25",PF00398,RrnaAD,100.0,232.6,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13649 score=31.8 GA=27.0 dE=2.9e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9626,e1zunB3,2004.1.1,2004.1.1.14,GTP_EFTU,2004.1.1.414,"GTP_EFTU, MMR_HSR1",PF00009,GTP_EFTU,97.3,164.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF01926 score=23.9 GA=21.9 dE=5.8e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
4936,e2aalA1,315.1.1,315.1.1.5,Tautomerase_2,315.1.1.9,"Tautomerase, Tautomerase_2",PF14552,Tautomerase_2,62.8,89.8,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),apply_commons,,,APPLY,APPLY: composite Pfam-confirmed (architecture==target)
9644,e2afhE1,2004.1.1,2004.1.1.20,Fer4_NifH,2004.1.1.419,"Fer4_NifH, AAA_31",PF00142,Fer4_NifH,94.1,443.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13614 score=40.6 GA=27.0 dE=3.8e-10,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
1568669,e2aprA2,1.1.1,1.1.1.1,Asp,1.1.1.27,"Asp, TAXi_N",PF00026,Asp,91.6,341.5,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF14543 score=34.1 GA=30.0 dE=4.7e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9878,e2b0cA1,2006.1.1,2006.1.1.1,Hydrolase,2006.1.1.44,"Hydrolase, Hydrolase_like",PF00702,Hydrolase,90.4,63.7,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13242 score=24.3 GA=22.0 dE=3.6e-05,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9093,e2b69A1,2003.1.1,2003.1.1.72,GDP_Man_Dehyd,2003.1.1.141,"Polysacc_synt_2, GDP_Man_Dehyd",PF16363,GDP_Man_Dehyd,94.9,181.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF02719 score=20.2 GA=20.2 dE=4.6e-04,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
10782,e2bceA1,7579.1.1,7579.1.1.1,COesterase,7579.1.1.89,"COesterase, BD-FAE",PF00135,COesterase,96.7,550.4,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF20434 score=44.1 GA=26.8 dE=2.7e-11,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9624,e2cxxA1,2004.1.1,2004.1.1.73,MMR_HSR1,2004.1.1.414,"GTP_EFTU, MMR_HSR1",PF01926,MMR_HSR1,70.1,70.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF00009 score=31.8 GA=26.5 dE=1.6e-07,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9601,e2dy1A5,2004.1.1,2004.1.1.14,GTP_EFTU,2004.1.1.414,"GTP_EFTU, MMR_HSR1",PF00009,GTP_EFTU,100.0,112.2,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF01926 score=21.9 GA=21.9 dE=2.4e-04,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9184,e2f1kA2,2003.1.1,2003.1.1.27,PDH_N,2003.1.1.147,"PDH_N, F420_oxidored",PF02153,PDH_N,90.9,179.3,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF03807 score=34.7 GA=21.6 dE=3.3e-08,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9382,e2fk8A1,2003.1.5,2003.1.5.21,CMAS,2003.1.5.152,"CMAS, Methyltransf_25",PF02353,CMAS,96.8,401.1,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13649 score=38.6 GA=27.0 dE=2.1e-09,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
9871,e2gfhA1,2006.1.1,2006.1.1.1,Hydrolase,2006.1.1.44,"Hydrolase, Hydrolase_like",PF00702,Hydrolase,79.8,88.0,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF13242 score=40.9 GA=22.0 dE=2.4e-10,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
7063,e2gfsA1,206.1.1,206.1.1.1,Pkinase,206.1.1.70,"Pkinase, ABC1",PF00069,Pkinase,81.9,214.6,ambiguous_both,,REVIEW: dominant Pfam in BOTH old & new (likely refinement),subset_ambiguous,Q_above_GA,PF03109 score=28.6 GA=22.9 dE=1.2e-06,APPLY,APPLY: composite Pfam-justified (extra Pfam above GA)
