ecod_uid,commons_f,old_f,old_dep,old_name,old_ecodrep_doms,old_other_doms,old_other_reps,old_commons_members,old_commons_rep_avail,disposition
3388565,192.8.1.372,192.8.1.248,False,KIF21A_4th,1,0,0,3,0,rep_select_hold
4006212,2003.1.1.192,2003.1.1.89,False,GD_AH_second,1,0,0,1,0,rep_select_hold
3616040,2003.1.2.103,2003.1.2.34,False,Prenylcys_lyase,1,0,0,6,2,reseed_from_commons_rep
3600560,2004.1.1.535,2004.1.1.240,False,Utp25_C,1,0,0,73,0,rep_select_hold
3280179,2004.1.1.552,2004.1.1.286,False,TraG-D_C,1,0,0,2,0,rep_select_hold
3520924,206.1.1.88,206.1.1.44,False,DUF1679,1,0,0,34,0,rep_select_hold
3302627,207.1.1.132,207.1.1.63,False,"LRR_6,LRR_8",1,0,0,29,0,rep_select_hold
3450762,207.1.1.172,207.1.1.77,False,FBD,1,0,0,27,0,rep_select_hold
3249938,207.9.1.6,207.9.1.3,False,Pentapeptide_3,1,0,0,9,0,rep_select_hold
3362433,2.1.1.250,2.1.1.149,False,CTC1_2,1,0,0,4,0,rep_select_hold
4008916,223.1.1.103,223.1.1.67,False,CHASE7,1,0,0,4,0,rep_select_hold
3216011,243.1.1.109,243.1.1.46,False,DUF5382,1,0,0,2,0,rep_select_hold
3587928,2484.1.1.202,2484.1.1.127,False,rve_2,1,0,0,1,0,rep_select_hold
3977985,2485.3.1.18,2485.3.1.15,False,Mu-like_gpT,1,0,0,2,0,rep_select_hold
3753958,304.9.1.112,304.9.1.44,False,NID,1,0,0,3,0,rep_select_hold
3365352,309.1.1.16,309.1.1.13,False,"Peptidase_M16,Peptidase_M16_C,M16C_assoc",1,0,0,2,0,rep_select_hold
3572117,376.1.2.17,376.1.2.6,False,PET,1,0,0,8,0,rep_select_hold
3542350,389.1.1.98,389.1.1.28,False,cEGF,1,0,0,24,0,rep_select_hold
3173156,4.1.1.344,4.1.1.219,False,LSM12_LSM,1,0,0,25,0,rep_select_hold
3210772,5001.1.1.133,5001.1.1.30,False,GPR_Gpa2_C,1,0,0,2,0,rep_select_hold
3311390,5050.1.1.58,5050.1.1.18,False,PUCC,1,0,0,3,0,rep_select_hold
3813242,5069.1.1.56,5069.1.1.15,False,Cytochrom_C_asm,1,0,0,170,0,rep_select_hold
3237954,603.1.1.139,603.1.1.66,False,V-SNARE_C,1,0,0,1,0,rep_select_hold
3466926,7516.1.1.105,7516.1.1.43,False,DUF604,1,0,0,1,0,rep_select_hold
3666677,7516.1.1.110,7516.1.1.66,False,Gb3_synth,1,0,0,1,0,rep_select_hold
3694946,7568.1.1.21,7568.1.1.13,False,DNA_ligase_IV,1,0,0,1,0,rep_select_hold
3970450,7581.1.1.50,7581.1.1.17,False,DUF2875,1,0,0,1,0,rep_select_hold
4001860,804.1.1.3,804.1.1.2,False,PDCD2_C,1,0,0,4,0,rep_select_hold
1031323,101.1.1.276,101.1.1.67,False,Myb_DNA-bind_6,1,0,0,121,0,rep_select_hold
2671940,101.1.1.285,101.1.1.63,False,HTH_28,1,0,0,35,0,rep_select_hold
164353,102.1.1.96,102.1.1.10,False,"DNA_ligase_ZBD,HHH_2",1,0,0,206,0,rep_select_hold
161019,109.3.1.163,109.3.1.11,False,Ank_5,1,0,0,32,0,rep_select_hold
2976519,109.3.1.200,109.3.1.6,False,TRP_2,1,0,0,16,0,rep_select_hold
2048354,109.4.1.1258,109.4.1.184,False,PPR_1,1,0,0,17,0,rep_select_hold
1123783,109.4.1.1275,109.4.1.189,False,PPR_2,2,1,1,178,0,NOT_stranding(other rep exists)
1487475,109.4.1.1294,109.4.1.7,False,"TPR_1,ANAPC3",1,0,0,2,0,rep_select_hold
2095496,109.4.1.1304,109.4.1.198,False,TPR_12,2,1,1,172,2,NOT_stranding(other rep exists)
1722652,109.4.1.1315,109.4.1.198,False,TPR_12,2,1,1,172,2,NOT_stranding(other rep exists)
1182357,109.4.1.1347,109.4.1.201,False,"TPR_14,TPR_19",1,0,0,6,0,rep_select_hold
1673889,109.4.1.1398,109.4.1.185,False,ANAPC5,1,0,0,21,0,rep_select_hold
1878863,109.4.1.1440,109.4.1.189,False,PPR_2,2,1,1,178,0,NOT_stranding(other rep exists)
4586,109.4.1.1501,109.4.1.34,False,"HEAT,TIP120,HEAT_EZ",1,0,0,0,0,deprecate_empty
424333,109.4.1.1536,109.4.1.202,False,TPR_16,1,0,0,302,0,rep_select_hold
2171546,109.4.1.1537,109.4.1.97,False,"TPR_2,TPR_12",1,0,0,4,0,rep_select_hold
1610272,109.4.1.1562,109.4.1.196,False,,1,0,0,1,0,rep_select_hold
2125177,109.4.1.1630,109.4.1.123,False,U3_assoc_6,1,0,0,20,0,rep_select_hold
2462397,109.4.1.1773,109.4.1.54,False,"IBN_N,Cse1",1,0,0,16,0,rep_select_hold
2841850,109.4.1.1965,109.4.1.265,False,CEP104-like_TOG,1,0,0,16,0,rep_select_hold
1122217,109.4.1.2093,109.4.1.50,False,"IBN_N,Xpo1,Importin_rep,Importin_rep_3",1,0,0,0,0,deprecate_empty
180062,109.4.1.2437,109.4.1.253,False,RapH_N,1,0,0,3,0,rep_select_hold
3098939,109.4.1.2447,109.4.1.122,False,,1,0,0,2,0,rep_select_hold
184739,130.1.1.33,130.1.1.9,False,Lsr2,1,0,0,0,0,deprecate_empty
1390914,187.1.1.14,187.1.1.2,False,Fer4_9,1,0,0,51,0,rep_select_hold
375982,2004.1.1.437,2004.1.1.175,False,ParA,1,0,0,252,0,rep_select_hold
143810,2004.1.1.465,2004.1.1.167,False,MipZ,1,0,0,1,0,rep_select_hold
2116453,2004.1.1.602,2004.1.1.25,False,"SNF2-rel_dom,Helicase_C,SnAC",1,0,0,1,0,rep_select_hold
7193,207.1.1.164,207.1.1.11,False,"LRRNT,LRR_8",1,0,0,20,0,rep_select_hold
2579494,247.1.1.40,247.1.1.9,False,DRMBL,1,0,0,34,0,rep_select_hold
149006,2486.1.1.14,2486.1.1.5,False,Peptidase_S49,1,0,0,58,0,rep_select_hold
3943050,274.1.1.51,274.1.1.28,False,N_methyl,1,0,0,78,0,rep_select_hold
3582569,3755.3.1.348,3755.3.1.134,False,,1,0,0,0,0,deprecate_empty
2163927,386.1.1.233,386.1.1.21,False,,1,0,0,8,0,rep_select_hold
1758652,4.1.1.300,4.1.1.104,False,KN17_SH3,1,0,0,5,0,rep_select_hold
1545159,5.1.4.281,5.1.4.60,False,Tectonin,1,0,0,7,0,rep_select_hold
1918766,883.1.1.19,883.1.1.7,False,MMM1,1,0,0,77,0,rep_select_hold
