fid,pfam_acc,ecod_uid,domain_id,source,seqlen,member_pfams,dominant,verdict
3860.1.1.267,PF03920,3573145,Q04725_F1_nD1,afdb,120,PF03920,PF03920,concordant_exact
3826.1.1.92,PF25243,3809170,Q9ZQ46_F1_nD4,afdb,75,PF25243,PF25243,concordant_exact
109.3.1.400,PF25326,4221873,Q0V6H6_nD3,afdb,185,PF25326,PF25326,concordant_exact
304.20.1.7,PF14214,3362977,A0A0R0F962_F1_nD3,afdb,165,PF14214,,concordant_exact
192.15.1.81,PF02990,3687402,A0A1C1CMM7_F1_nD3,afdb,170,PF02990,PF02990,concordant_exact
3796.1.1.2,PF01465,3493041,A0A3Q0KDD5_F1_nD14,afdb,58,PF01465,PF01465,concordant_exact
109.4.1.2680,"PF01535,PF14432,PF23276",3643646,A0A1D6ND84_F1_nD1,afdb,405,"PF01535,PF14432,PF23276",,concordant_exact
219.1.1.143,"PF00443,PF02338",3580013,A0A3P7EGW1_F1_nD2,afdb,500,"PF00443,PF02338",,concordant_exact
5.1.4.546,"PF00400,PF23185",3888662,E7FF14_F1_nD1,afdb,355,PF23185,PF23185,concordant_dominant
109.4.1.3350,"PF02259,PF08064,PF25030,PF25385",4486895,Q6CT34_nD2,afdb,1325,"PF02259,PF08064,PF25030,PF25385",,concordant_exact
1.1.5.92,PF21760,5066862,UPI0031666C95_nD2,uniparc,,PF21760,,concordant_exact
633.23.1.49,PF31049,3287140,K0F8V6_F1_nD1,afdb,130,PF31049,PF31049,concordant_exact
6110.1.1.4,"PF08393,PF12774",4890917,e9y6s5W1,pdb,533,"PF08393,PF12774",,concordant_exact
7577.1.1.67,PF21478,4945410,A0A9Y1BN69_F1_nD1,afdb,,"PF02347,PF21478",PF02347,concordant_contains
603.1.1.164,PF06031,3905660,A0A2R8QNX2_F1_nD1,afdb,65,PF06031,,concordant_exact
192.5.1.39,PF14358,4950238,A3CUK5_F1_nD1,afdb,,PF14358,PF14358,concordant_exact
10.12.1.154,"PF01050,PF22640",4357938,P0C7J3_nD2,afdb,175,"PF01050,PF22640",PF01050,concordant_exact
912.1.1.12,PF29730,3277430,Q54KU0_F1_nD6,afdb,165,PF29730,PF29730,concordant_exact
4207.1.2.92,PF07529,4089746,Q4IB96_nD2,afdb,85,PF07529,PF07529,concordant_exact
101.1.1.483,PF00102,3457570,Q0IU77_F1_nD1,afdb,65,PF00102,PF00102,concordant_exact
906.1.1.46,"PF18044,PF22628",3764556,A0A0G2JX72_F1_nD3,afdb,85,"PF18044,PF22628",,concordant_exact
4146.1.1.11,PF01062,3996388,A0A0N4U1F7_F1_nD1,afdb,60,PF01062,PF01062,concordant_exact
604.9.1.20,PF24097,4499545,G0SB44_nD1,afdb,100,PF24097,PF24097,concordant_exact
601.1.1.112,PF04114,3501195,A0A077ZGK4_F1_nD4,afdb,250,PF04114,PF04114,concordant_exact
603.1.1.241,PF18822,5027389,EPP00023805_nD2,epp,,PF18822,PF18822,concordant_exact
632.22.1.125,PF06470,3585626,A0A3P7F9M2_F1_nD2,afdb,435,PF06470,,concordant_exact
6027.1.1.2,PF28165,3945035,A0A0H3GT18_F1_nD1,afdb,90,PF28165,PF28165,concordant_exact
7516.1.1.187,PF01050,5002053,L0KUG0_F1_nD1,afdb,,"PF00483,PF01050,PF22640",,concordant_contains
3755.3.1.552,PF29075,3580341,A0A3P7FTB6_F1_nD1,afdb,155,PF29075,PF29075,concordant_exact
2004.1.1.1211,PF19131,5013213,Q5JF65_F1_nD5,afdb,,"PF00271,PF19131",,concordant_contains
6082.1.1.5,PF13888,3843223,Q3UN70_F1_nD4,afdb,144,PF13888,PF13888,concordant_exact
4.1.1.493,PF29241,4941936,A0A832UZ68_F1_nD7,afdb,,PF29241,PF29241,concordant_exact
109.4.1.3368,"PF08623,PF13513,PF23271",3840795,Q6ZQ73_F1_nD1,afdb,765,"PF08623,PF13513,PF23271",,concordant_exact
5084.1.1.33,PF19467,3287105,K0EZT1_F1_nD2,afdb,175,PF19467,PF19467,concordant_exact
389.1.3.35,PF19028,3544627,Q9C0I4_F1_nD18,afdb,60,PF19028,PF19028,concordant_exact
3711.1.1.59,PF03040,4530108,Q3V523_nD2,afdb,99,PF03040,PF03040,concordant_exact
2498.1.1.146,PF10460,4207066,Q08002_nD1,afdb,305,PF10460,PF10460,concordant_exact
327.6.1.8,PF29609,4064699,P35166_nD1,afdb,130,PF29609,PF29609,concordant_exact
3864.1.1.5,PF15249,3580548,A0A3P7E8S4_F1_nD1,afdb,140,PF15249,PF15249,concordant_exact
109.46.1.18,"PF00400,PF23098,PF23381",3877350,Q3UKJ7_F1_nD2,afdb,473,"PF00400,PF23381",,partial_overlap
2007.1.6.16,PF25493,3700364,Q4CPV1_F1_nD3,afdb,80,PF25493,PF25493,concordant_exact
5058.1.1.82,PF11040,3708559,Q4CNY3_F1_nD5,afdb,95,PF11040,PF11040,concordant_exact
3246.1.1.15,PF00090,4573185,Q9TT93_nD4,afdb,140,PF00090,,concordant_exact
3860.1.1.225,PF08159,3918140,B8JKQ1_F1_nD2,afdb,80,PF08159,,concordant_exact
109.4.1.2652,PF25055,3666934,A0A1D6I621_F1_nD1,afdb,269,PF25055,,concordant_exact
7025.1.1.9,PF29864,3174547,P46676_F1_nD3,afdb,219,PF29864,PF29864,concordant_exact
4044.1.1.24,PF21539,3863975,Q924H2_F1_nD4,afdb,110,PF21539,PF21539,concordant_exact
148.1.3.397,PF18199,4890930,e9y6s5W14,pdb,189,PF18199,PF18199,concordant_exact
129.1.1.107,PF13460,3824568,Q8H0U5_F1_nD1,afdb,270,PF13460,PF13460,concordant_exact
192.31.1.5,PF14063,3279558,K0F4J1_F1_nD1,afdb,110,PF14063,PF14063,concordant_exact
109.4.1.2529,"PF02985,PF12755,PF22646,PF22956,PF25757",3791133,A0A0J9XLP4_F1_nD2,afdb,365,"PF12755,PF22646,PF22956",,partial_overlap
632.7.1.51,PF20162,3205548,C0NIG3_F1_nD1,afdb,70,PF20162,PF20162,concordant_exact
6074.1.1.9,PF07096,3526035,Q9NWH2_F1_nD2,afdb,30,PF07096,PF07096,concordant_exact
4.10.1.3,PF10370,4961437,D4GPB6_F1_nD1,afdb,,PF10370,PF10370,concordant_exact
389.1.2.12,PF14670,3932158,A0A0K0EG95_F1_nD11,afdb,65,PF14670,,concordant_exact
207.1.1.354,"PF00560,PF23247",3357965,A0A0R0JM06_F1_nD5,afdb,755,"PF00560,PF23247",,concordant_exact
604.12.1.96,PF09531,3197198,C0NIT1_F1_nD1,afdb,265,PF09531,PF09531,concordant_exact
11.1.4.136,PF00656,4944610,A0A9Y1BLK0_F1_nD1,afdb,,PF00656,PF00656,concordant_exact
304.49.1.5,PF27810,3196491,C0NVK4_F1_nD1,afdb,115,PF27810,PF27810,concordant_exact
2.1.1.344,PF08432,3739867,Q9C0V9_F1_nD1,afdb,73,PF08432,PF08432,concordant_exact
6026.1.1.43,PF06260,4031352,Q2FWS3_F1_nD1,afdb,84,PF06260,PF06260,concordant_exact
2004.1.1.1017,"PF13087,PF13361",4677652,P23478_nD4,afdb,290,"PF13087,PF13361",PF13087,concordant_exact
11.1.5.136,PF24966,3168129,Q03660_F1_nD5,afdb,115,PF24966,PF24966,concordant_exact
3922.1.1.127,PF05911,3678196,K7TQM2_F1_nD1,afdb,195,PF05911,PF05911,concordant_exact
5057.1.1.32,"PF27671,PF27673",3174451,Q08912_F1_nD2,afdb,169,PF27673,PF27673,concordant_dominant
2003.1.2.296,PF01370,5051917,A0A532TBJ4_F1_nD1,afdb,,PF01370,PF01370,concordant_exact
11.21.1.6,PF25096,3239995,Q7YWP9_F1_nD1,afdb,100,PF25096,PF25096,concordant_exact
633.1.1.7,PF01594,3514655,A0A077YWT4_F1_nD7,afdb,280,PF01594,PF01594,concordant_exact
1.1.7.120,PF23935,3358972,K7K9J3_F1_nD1,afdb,75,PF23935,PF23935,concordant_exact
5039.1.1.13,PF00115,2834659,e7thuCCC1,pdb,259,PF00115,PF00115,concordant_exact
2006.1.1.78,PF06508,4995746,EPP00005613_nD1,epp,,PF06508,PF06508,concordant_exact
5057.1.1.28,PF27754,3675725,A0A1D6KD07_F1_nD1,afdb,140,PF27754,PF27754,concordant_exact
150.1.1.209,PF23435,4982026,EPP00028932_nD1,epp,,PF23435,PF23435,concordant_exact
6061.1.1.4,PF06432,3922959,A0A0K0E0C8_F1_nD1,afdb,115,PF06432,PF06432,concordant_exact
387.1.1.71,PF00526,3268127,Q55BT6_F1_nD6,afdb,55,PF00526,,concordant_exact
5.1.3.271,PF05448,4946333,A0A9Y1FLA4_F1_nD1,afdb,,PF05448,,concordant_exact
3600.1.1.6,PF10267,3928920,A0A0K0EHR7_F1_nD1,afdb,175,PF10267,PF10267,concordant_exact
601.1.2.145,PF26672,3972079,Q9HVQ1_F1_nD3,afdb,115,PF26672,PF26672,concordant_exact
207.2.1.110,"PF27415,PF27417",3979963,P25927_F1_nD3,afdb,765,"PF27415,PF27417",,concordant_exact
4268.2.1.10,PF25434,3577550,A0A3P7ETM0_F1_nD1,afdb,140,PF25434,PF25434,concordant_exact
3444.2.1.5,PF25179,3528856,Q96S06_F1_nD4,afdb,125,PF25179,PF25179,concordant_exact
101.1.6.44,PF24271,4964824,D4GX97_F1_nD2,afdb,,PF24271,PF24271,concordant_exact
5058.1.1.91,PF27590,4639309,Q9NIW4_nD4,afdb,145,PF27590,,concordant_exact
331.4.1.35,PF27341,4950203,A3CUH3_F1_nD1,afdb,,PF27341,,concordant_exact
5044.1.1.9,PF30904,3806009,Q8H112_F1_nD3,afdb,70,PF30904,PF30904,concordant_exact
109.3.1.490,PF26790,4962491,D4GRS7_F1_nD1,afdb,,PF26790,PF26790,concordant_exact
603.1.1.218,PF05149,3608075,Q382I7_F1_nD4,afdb,170,PF05149,PF05149,concordant_exact
101.1.11.172,PF15709,3528015,Q0VF49_F1_nD2,afdb,30,PF15709,PF15709,concordant_exact
109.3.1.424,PF23276,3752566,Q5SGE0_F1_nD1,afdb,265,PF23276,,concordant_exact
12.1.1.119,PF17137,4943677,A0A9Y1BJS7_F1_nD3,afdb,,PF17137,PF17137,concordant_exact
244.1.1.39,PF05577,3641604,A0A1D6P503_F1_nD1,afdb,114,PF05577,PF05577,concordant_exact
101.1.2.810,PF04678,3715295,Q4CKY9_F1_nD1,afdb,199,PF04678,,concordant_exact
632.22.1.165,PF27508,3226725,Q22758_F1_nD4,afdb,85,PF27508,PF27508,concordant_exact
109.4.1.3524,PF29546,3390103,Q9W1R4_F1_nD6,afdb,165,PF29546,PF29546,concordant_exact
3478.1.1.7,PF09972,4004645,P45848_F1_nD1,afdb,215,PF09972,PF09972,concordant_exact
103.12.1.8,PF22889,3412225,E1JH25_F1_nD7,afdb,100,PF22889,PF22889,concordant_exact
375.1.1.327,PF12773,4957592,D1YVC6_F1_nD9,afdb,,PF12773,PF12773,concordant_exact
633.7.1.9,PF23188,3510241,A0A077Z8J1_F1_nD5,afdb,120,PF23188,PF23188,concordant_exact
101.1.2.838,PF26117,3539709,Q96AY4_F1_nD8,afdb,75,PF26117,PF26117,concordant_exact
187.1.1.31,PF12800,4997432,EPP00007119_nD3,epp,,PF12800,,concordant_exact
5.1.5.200,PF30137,3169522,Q12027_F1_nD1,afdb,486,PF30137,,concordant_exact
531.2.1.4,"PF01706,PF14841,PF14842",4390259,O54244_nD1,afdb,320,"PF01706,PF14841,PF14842",,concordant_exact
2008.1.1.191,PF09561,4589583,P36433_nD1,afdb,173,PF09561,PF09561,concordant_exact
1008.1.1.92,PF03552,3353206,K7LF46_F1_nD2,afdb,100,PF03552,PF03552,concordant_exact
221.1.4.5,PF10589,4944141,A0A9Y1BKQ0_F1_nD3,afdb,,PF10589,PF10589,concordant_exact
5040.1.1.28,PF03839,4029711,Q8IL86_F1_nD2,afdb,140,PF03839,PF03839,concordant_exact
192.8.1.481,PF06146,5004982,L0L1Q1_F1_nD1,afdb,,PF06146,PF06146,concordant_exact
632.22.1.163,PF10279,4397450,Q1ELU7_nD1,afdb,115,PF10279,PF10279,concordant_exact
366.1.1.8,PF19236,3580264,A0A3P7DGG8_F1_nD2,afdb,100,PF19236,PF19236,concordant_exact
4018.1.1.5,PF18913,4945543,A0A9Y1BNK3_F1_nD1,afdb,,PF18913,,concordant_exact
220.1.1.303,PF26278,3714509,Q4DXX5_F1_nD4,afdb,155,PF26278,PF26278,concordant_exact
