ecod_uid	domain_id	cat	old_f	commons_f
3161	e1oqpA1	subset_ambiguous	108.1.1.29	108.1.1.96
4922	e1orqC1	subset_ambiguous	5054.1.1.2	5054.1.1.59
9044	e1orrA1	subset_ambiguous	2003.1.1.72	2003.1.1.141
4606	e1oyzA1	subset_ambiguous	109.4.1.207	109.4.1.1283
3152	e1ozsA1	subset_ambiguous	108.1.1.29	108.1.1.96
7191	e1p9aG1	subset_ambiguous	207.1.1.11	207.1.1.165
4234	e1ppjC2	subset_ambiguous	5069.1.1.1	5069.1.1.54
7437	e1prtA1	subset_ambiguous	237.1.1.7	237.1.1.33
2827	e1q08A1	subset_ambiguous	101.1.9.14	101.1.9.82
1514546	e1qamA3	subset_ambiguous	2003.1.5.2	2003.1.5.182
9690	e1qhlA1	subset_ambiguous	2004.1.1.113	2004.1.1.1172
10163	e1r3nA2	subset_ambiguous	2011.1.1.6	2011.1.1.20
119021	e1r7rA6	subset_ambiguous	2004.1.1.1	2004.1.1.415
9227	e1ryiA2	subset_ambiguous	2003.1.2.12	2003.1.2.60
119032	e1s6cA1	subset_ambiguous	108.1.1.29	108.1.1.98
7096	e1s9jA1	subset_ambiguous	206.1.1.1	206.1.1.70
1088769	e1smrA2	subset_ambiguous	1.1.1.1	1.1.1.27
1141779	e1tedA2	subset_ambiguous	7581.1.1.4	7581.1.1.24
11071	e1u6mA1	subset_ambiguous	213.1.1.1	213.1.1.72
9698	e1uaaA2	subset_ambiguous	2004.1.1.195	2004.1.1.508
10839	e1ukcA1	subset_ambiguous	7579.1.1.1	7579.1.1.89
586	e1vqoT1	subset_ambiguous	4.1.1.95	4.1.1.295
2200	e1w0pA3	subset_ambiguous	5.1.3.26	5.1.3.134
9688	e1w1wA1	subset_ambiguous	2004.1.1.87	2004.1.1.481
2198	e1w8oA3	subset_ambiguous	5.1.3.26	5.1.3.134
3762	e1wb9A1	subset_ambiguous	601.23.1.1	601.23.1.4
10875	e1wdkC2	subset_ambiguous	7581.1.1.1	7581.1.1.22
9605	e1wf3A2	subset_ambiguous	2004.1.1.73	2004.1.1.474
9623	e1wxqA2	subset_ambiguous	2004.1.1.74	2004.1.1.597
2075048	e1x42A3	subset_ambiguous	2006.1.1.1	2006.1.1.44
119099	e1xo5A1	subset_ambiguous	108.1.1.29	108.1.1.103
7095	e1xwsA1	subset_ambiguous	206.1.1.1	206.1.1.71
7078	e1yhwA1	subset_ambiguous	206.1.1.1	206.1.1.72
9109	e1yo6A1	subset_ambiguous	2003.1.1.3	2003.1.1.148
9877	e1zd3A1	subset_ambiguous	2006.1.1.1	2006.1.1.46
8696	e1zfjA2	subset_ambiguous	2002.1.1.23	2002.1.1.263
1514550	e1zq9A3	subset_ambiguous	2003.1.5.2	2003.1.5.155
9626	e1zunB3	subset_ambiguous	2004.1.1.14	2004.1.1.414
9644	e2afhE1	subset_ambiguous	2004.1.1.20	2004.1.1.419
1568669	e2aprA2	subset_ambiguous	1.1.1.1	1.1.1.27
9878	e2b0cA1	subset_ambiguous	2006.1.1.1	2006.1.1.44
9093	e2b69A1	subset_ambiguous	2003.1.1.72	2003.1.1.141
10782	e2bceA1	subset_ambiguous	7579.1.1.1	7579.1.1.89
4616	e2bnxA1	subset_ambiguous	109.4.1.89	109.4.1.1299
9600	e2bv3A5	subset_ambiguous	2004.1.1.14	2004.1.1.414
9624	e2cxxA1	subset_ambiguous	2004.1.1.73	2004.1.1.414
9601	e2dy1A5	subset_ambiguous	2004.1.1.14	2004.1.1.414
9184	e2f1kA2	subset_ambiguous	2003.1.1.27	2003.1.1.147
9382	e2fk8A1	subset_ambiguous	2003.1.5.21	2003.1.5.152
9183	e2g5cA2	subset_ambiguous	2003.1.1.27	2003.1.1.147
9871	e2gfhA1	subset_ambiguous	2006.1.1.1	2006.1.1.44
7063	e2gfsA1	subset_ambiguous	206.1.1.1	206.1.1.70
9406	e2gh1A1	subset_ambiguous	2003.1.5.82	2003.1.5.201
2192	e2hqsA1	subset_ambiguous	5.1.3.20	5.1.3.136
10852	e2hu7A2	subset_ambiguous	7579.1.1.3	7579.1.1.94
9230	e2iidA2	subset_ambiguous	2003.1.2.17	2003.1.2.73
7099	e2jflA1	subset_ambiguous	206.1.1.1	206.1.1.70
1145809	e2lhiA1	subset_ambiguous	108.1.1.29	108.1.1.97
1148095	e2o5vA1	subset_ambiguous	2004.1.1.87	2004.1.1.433
3163	e2obhA2	subset_ambiguous	108.1.1.29	108.1.1.96
4575	e2ooeA1	subset_ambiguous	109.4.1.83	109.4.1.1316
2218	e2ovrB1	subset_ambiguous	5.1.4.1	5.1.4.310
8457	e2p3uA1	subset_ambiguous	389.1.1.17	389.1.1.97
3148	e2pvbA1	subset_ambiguous	108.1.1.29	108.1.1.99
10114	e2shpA3	subset_ambiguous	2007.2.3.1	2007.2.3.21
1870438	e2vglA1	subset_ambiguous	109.4.1.22	109.4.1.1255
9237	e2vouA2	subset_ambiguous	2003.1.2.15	2003.1.2.99
2033698	e2vpzB2	subset_ambiguous	205.1.1.17	205.1.1.44
184980	e2x58A2	subset_ambiguous	2003.1.1.36	2003.1.1.155
7065	e3bqcA1	subset_ambiguous	206.1.1.1	206.1.1.73
5478	e3c8yA3	subset_ambiguous	205.1.1.16	205.1.1.42
1870442	e3cmmA1	subset_ambiguous	2003.1.9.1	2003.1.9.8
9695	e3dhwC2	subset_ambiguous	2004.1.1.5	2004.1.1.417
185234	e3f6kA1	subset_ambiguous	5.1.7.2	5.1.7.4
223848	e3iddA1	subset_ambiguous	7515.1.1.8	7515.1.1.14
1389177	e3izq11	subset_ambiguous	2004.1.1.14	2004.1.1.414
1551400	e3j6bQ1	subset_ambiguous	4.1.1.146	4.1.1.314
1411386	e3kv4A2	subset_ambiguous	10.12.1.9	10.12.1.101
119500	e3nnqA1	subset_ambiguous	101.1.1.73	101.1.1.301
1843702	e3q3qA1	subset_ambiguous	7515.1.1.6	7515.1.1.15
1117696	e3vkhA3	subset_ambiguous	2004.1.1.156	2004.1.1.500
1031105	e3zztA4	subset_ambiguous	2004.1.1.14	2004.1.1.414
1556802	e4ad8A1	subset_ambiguous	2004.1.1.87	2004.1.1.433
1841007	e4bepB3	subset_ambiguous	109.3.1.8	109.3.1.176
1088849	e4bkyA1	subset_ambiguous	206.1.1.1	206.1.1.70
1145884	e4cfeA1	subset_ambiguous	206.1.1.1	206.1.1.70
1145908	e4cfhA1	subset_ambiguous	206.1.1.1	206.1.1.70
1031124	e4e3cB1	subset_ambiguous	206.1.1.1	206.1.1.72
1147811	e4g23A1	subset_ambiguous	109.4.1.240	109.4.1.1384
1291870	e4hnwA1	subset_ambiguous	109.4.1.173	109.4.1.1389
1291871	e4hnxA1	subset_ambiguous	109.4.1.173	109.4.1.1389
1125473	e4ij2F1	subset_ambiguous	11.1.1.72	11.1.1.861
1108126	e4kc5A1	subset_ambiguous	7581.1.1.2	7581.1.1.22
1549037	e4lgdB1	subset_ambiguous	206.1.1.1	206.1.1.70
1121969	e4m8oA3	subset_ambiguous	2484.1.1.34	2484.1.1.197
1144179	e4o1pC2	subset_ambiguous	206.1.1.1	206.1.1.71
1495179	e4pj3A3	subset_ambiguous	2004.1.1.184	2004.1.1.473
1322288	e4qfgA1	subset_ambiguous	206.1.1.1	206.1.1.70
1487349	e4rfsA1	subset_ambiguous	2004.1.1.5	2004.1.1.417
1447873	e4rh7A4	subset_ambiguous	2004.1.1.156	2004.1.1.500
1310610	e4upcA1	subset_ambiguous	2011.1.1.12	2011.1.1.35
1447958	e4ux3A1	subset_ambiguous	2004.1.1.87	2004.1.1.429
1731077	e4ww4B1	subset_ambiguous	2004.1.1.137	2004.1.1.436
1723258	e4xhhA1	subset_ambiguous	206.1.1.1	206.1.1.72
1555748	e4yc7B1	subset_ambiguous	109.4.1.89	109.4.1.1299
1555749	e4ydhA1	subset_ambiguous	109.4.1.89	109.4.1.1299
1716688	e4z87A1	subset_ambiguous	2002.1.1.23	2002.1.1.263
1889998	e5d08A3	subset_ambiguous	109.4.1.207	109.4.1.1259
1820986	e5dfzB2	subset_ambiguous	109.4.1.298	109.4.1.1594
1933284	e5f0pA1	subset_ambiguous	109.4.1.44	109.4.1.1333
1866768	e5fifD2	subset_ambiguous	2486.1.1.3	2486.1.1.15
1779592	e5frpA1	subset_ambiguous	109.4.1.257	109.4.1.1620
1870486	e5g53C1	subset_ambiguous	2004.1.1.47	2004.1.1.431
2044878	e5h68A1	subset_ambiguous	2004.1.1.87	2004.1.1.480
1954217	e5hl3A2	subset_ambiguous	207.1.1.20	207.1.1.144
1885547	e5kokA1	subset_ambiguous	2003.1.5.21	2003.1.5.152
2072472	e5t77A1	subset_ambiguous	1075.5.1.2	1075.5.1.12
1891442	e5t8vA1	subset_ambiguous	109.4.1.183	109.4.1.1739
1933321	e5tj6A1	subset_ambiguous	5054.1.1.2	5054.1.1.59
2084847	e5ve9B1	subset_ambiguous	108.1.1.29	108.1.1.97
2057238	e5x3xA1	subset_ambiguous	2004.1.1.5	2004.1.1.417
