domain_id,source_id,length,range,source_type,f_group_id,f_name,estimated_fingers,is_discontinuous
nD3,A2A8V7_F1,164,182-345,computed structural model,386.1.1.50,Nairovirus_Gn,5.9,False
nD2,C0NG41_F1,163,441-603,computed structural model,386.1.1.1,zf-C2H2,5.8,False
nD2,C1H5X7_F1,160,226-385,computed structural model,386.1.1.50,Nairovirus_Gn,5.7,False
nD1,Q5BKZ1_F1,160,306-465,computed structural model,386.1.1.69,AKAP95,5.7,False
nD2,A0A175W0W1_F1,160,271-430,computed structural model,386.1.1.50,Nairovirus_Gn,5.7,False
nD3,A0A175W1P1_F1,160,66-225,computed structural model,,,5.7,False
nD2,A0A0N4UBZ9_F1,160,"86-185,316-375",computed structural model,386.1.1.29,zf-TRAF_2,5.7,True
nD2,C0NWE2_F1,160,"41-135,336-400",computed structural model,,,5.7,True
nD11,Q9VK42_F1,160,"116-145,1641-1665,1746-1850",computed structural model,,,5.7,True
nD1,A0A0N4U9L7_F1,155,11-165,computed structural model,386.1.1.1,zf-C2H2,5.5,False
nD1,Q57UR3_F1,155,16-170,computed structural model,,,5.5,False
nD1,A0A0K0ESI1_F1,155,"11-125,161-200",computed structural model,386.1.1.1,zf-C2H2,5.5,True
nD1,A0A5S6PS37_F1,152,"117-195,268-340",computed structural model,386.1.1.25,zf-H2C2_5,5.4,True
nD1,A0A077Z830_F1,150,"16-125,211-250",computed structural model,386.1.1.1,zf-C2H2,5.4,True
nD2,Q86V71_F1,150,161-310,computed structural model,386.1.1.1,zf-C2H2,5.4,False
nD1,A0A3Q0KMX0_F1,148,"378-500,521-545",computed structural model,386.1.1.18,zf-C2H2_jaz,5.3,True
nD2,A0A5S6PYC3_F1,145,236-380,computed structural model,386.1.1.1,zf-C2H2,5.2,False
nD1,Q384I6_F1,145,"31-165,196-205",computed structural model,386.1.1.1,zf-C2H2,5.2,True
nD1,Q9VC70_F1,145,26-170,computed structural model,386.1.1.50,Nairovirus_Gn,5.2,False
nD2,Q9M1Q0_F1,145,96-240,computed structural model,386.1.1.50,Nairovirus_Gn,5.2,False
nD3,G3V7N7_F1,145,"196-310,346-360,391-405",computed structural model,386.1.1.1,zf-C2H2,5.2,True
nD1,Q15929_F1,145,16-160,computed structural model,386.1.1.104,,5.2,False
nD4,Q9VE54_F1,145,1516-1660,computed structural model,386.1.1.50,Nairovirus_Gn,5.2,False
nD2,Q86DA8_F1,145,"86-205,271-295",computed structural model,386.1.1.1,zf-C2H2,5.2,True
nD8,A8JNL9_F1,145,"476-595,636-660",computed structural model,386.1.1.50,Nairovirus_Gn,5.2,True
nD1,A8MVS1_F1,145,106-250,computed structural model,386.1.1.1,zf-C2H2,5.2,False
nD2,A0A1D6PII0_F1,145,111-255,computed structural model,386.1.1.1,zf-C2H2,5.2,False
nD2,D3ZT56_F1,143,"556-585,673-785",computed structural model,386.1.1.25,zf-H2C2_5,5.1,True
nD2,P52737_F1,140,136-275,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD2,F1M829_F1,140,106-245,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD3,A0A1B0GRI9_F1,140,101-240,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD3,Q0IPN1_F1,140,191-330,computed structural model,386.1.1.3,zf-TRAF,5.0,False
nD2,Q9BWM5_F1,140,241-380,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD1,A0A087WUV0_F1,140,191-330,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD1,A0A158Q3W9_F1,140,"51-85,251-355",computed structural model,386.1.1.20,zf-met,5.0,True
nD1,Q21406_F1,140,"296-415,456-475",computed structural model,386.1.1.50,Nairovirus_Gn,5.0,True
nD2,Q8BGS3_F1,140,346-485,computed structural model,386.1.1.50,Nairovirus_Gn,5.0,False
nD1,Q9VAU9_F1,140,26-165,computed structural model,386.1.1.1,zf-C2H2,5.0,False
nD1,A0A3P7EDQ4_F1,139,82-220,computed structural model,386.1.1.50,Nairovirus_Gn,5.0,False
nD1,G4VF33_F1,135,31-165,computed structural model,386.1.1.1,zf-C2H2,4.8,False
nD2,A0A0K0JAQ5_F1,135,86-220,computed structural model,386.1.1.18,zf-C2H2_jaz,4.8,False
nD4,A0A3Q0KMJ8_F1,135,"656-765,911-935",computed structural model,386.1.1.50,Nairovirus_Gn,4.8,True
nD1,D3ZIG3_F1,135,116-250,computed structural model,386.1.1.1,zf-C2H2,4.8,False
nD1,B8A6H7_F1,135,31-165,computed structural model,386.1.1.1,zf-C2H2,4.8,False
nD3,Q3URU2_F1,135,421-555,computed structural model,386.1.1.43,zf_C2H2_10,4.8,False
nD2,A0A0J9YUW3_F1,135,106-240,computed structural model,386.1.1.1,zf-C2H2,4.8,False
nD1,A0A2R8Q187_F1,135,76-210,computed structural model,386.1.1.50,Nairovirus_Gn,4.8,False
nD3,Q80YR4_F1,135,181-315,computed structural model,386.1.1.1,zf-C2H2,4.8,False
nD4,Q8NB42_F1,135,246-380,computed structural model,386.1.1.50,Nairovirus_Gn,4.8,False
e6m99L1,6m99,134,L:15-148,experimental structure,386.1.1.26,zf-C2H2_6,4.8,False
e6m99J2,6m99,134,J:15-148,experimental structure,386.1.1.26,zf-C2H2_6,4.8,False
e6m99D2,6m99,134,D:15-148,experimental structure,386.1.1.26,zf-C2H2_6,4.8,False
e6m99F2,6m99,134,F:15-148,experimental structure,386.1.1.26,zf-C2H2_6,4.8,False
nD1,I3ISP6_F1,134,11-144,computed structural model,386.1.1.20,zf-met,4.8,False
e6m99H2,6m99,134,H:15-148,experimental structure,386.1.1.26,zf-C2H2_6,4.8,False
e6m62I1,6m62,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
e6ft6I1,6ft6,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
e3jctI1,3jct,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
e6n8lI1,6n8l,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
e6n8kI1,6n8k,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
e6n8jI1,6n8j,131,I:1-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.7,False
nD3,A0A158Q571_F1,130,141-270,computed structural model,386.1.1.20,zf-met,4.6,False
e3k1qC2,3k1q,130,C:1-130,experimental structure,386.1.1.26,zf-C2H2_6,4.6,False
e6ylhI1,6ylh,130,I:2-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.6,False
nD2,A0A2R8QDK2_F1,130,431-560,computed structural model,386.1.1.24,zf-C2H2_4,4.6,False
nD10,A0A077YX84_F1,130,"1556-1600,1676-1700,1731-1760,1846-1875",computed structural model,386.1.1.50,Nairovirus_Gn,4.6,True
nD1,A0A0D2DY39_F1,130,"67-100,128-140,166-248",computed structural model,386.1.1.50,Nairovirus_Gn,4.6,True
nD3,B8A455_F1,130,"181-285,321-330,366-380",computed structural model,386.1.1.50,Nairovirus_Gn,4.6,True
nD2,Q9VT61_F1,130,471-600,computed structural model,386.1.1.20,zf-met,4.6,False
e6ylgI1,6ylg,130,I:2-131,experimental structure,386.1.1.18,zf-C2H2_jaz,4.6,False
nD2,A0A0N4UMX6_F1,129,"526-609,631-675",computed structural model,386.1.1.1,zf-C2H2,4.6,True
e5zvsJ2,5zvs,127,J:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e3iylY2,3iyl,127,Y:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e5zvsF1,5zvs,127,F:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e5zvsH1,5zvs,127,H:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e5zvsD1,5zvs,127,D:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e5zvsB1,5zvs,127,B:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
e5zvtY2,5zvt,127,Y:15-141,experimental structure,386.1.1.26,zf-C2H2_6,4.5,False
nD4,A0A5K4F9I4_F1,125,"231-270,391-475",computed structural model,386.1.1.1,zf-C2H2,4.5,True
nD1,Q08004_F1,125,6-130,computed structural model,386.1.1.18,zf-C2H2_jaz,4.5,False
nD1,P41696_F1,125,591-715,computed structural model,386.1.1.24,zf-C2H2_4,4.5,False
nD2,A0A5S6PDV5_F1,125,171-295,computed structural model,386.1.1.50,Nairovirus_Gn,4.5,False
nD3,F1R7Q9_F1,125,1301-1425,computed structural model,386.1.1.1,zf-C2H2,4.5,False
nD1,B9A0M7_F1,125,16-140,computed structural model,386.1.1.1,zf-C2H2,4.5,False
nD2,A0A077YYI9_F1,125,66-190,computed structural model,386.1.1.10,MAT1,4.5,False
nD4,Q8IKX2_F1,125,611-735,computed structural model,386.1.1.1,zf-C2H2,4.5,False
nD1,A0A1D8PCR9_F1,125,6-130,computed structural model,386.1.1.18,zf-C2H2_jaz,4.5,False
nD1,A0A1D6ML06_F1,125,71-195,computed structural model,386.1.1.20,zf-met,4.5,False
nD6,A0A3P7DQB1_F1,125,421-545,computed structural model,386.1.1.50,Nairovirus_Gn,4.5,False
nD3,E7EYC3_F1,125,926-1050,computed structural model,386.1.1.20,zf-met,4.5,False
nD2,D3ZMK5_F1,125,196-320,computed structural model,386.1.1.50,Nairovirus_Gn,4.5,False
nD5,A0A3Q0KTN6_F1,120,901-1020,computed structural model,386.1.1.51,CEP104_ZnF,4.3,False
nD2,A0A1D6IYB7_F1,120,226-345,computed structural model,386.1.1.20,zf-met,4.3,False
nD2,C1GQN5_F1,120,171-290,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD2,A0A0D2GR82_F1,120,441-560,computed structural model,386.1.1.20,zf-met,4.3,False
nD2,K7K2R1_F1,120,196-315,computed structural model,386.1.1.50,Nairovirus_Gn,4.3,False
nD4,Q86L54_F1,120,"171-240,271-320",computed structural model,386.1.1.48,zf_C2HC_14,4.3,True
nD6,G3V7N7_F1,120,"406-430,466-560",computed structural model,386.1.1.1,zf-C2H2,4.3,True
nD1,O60481_F1,120,231-350,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD1,Q54RC8_F1,120,31-150,computed structural model,386.1.1.26,zf-C2H2_6,4.3,False
nD1,U7Q7Q5_F1,120,236-355,computed structural model,386.1.1.50,Nairovirus_Gn,4.3,False
nD3,I1NAY7_F1,120,226-345,computed structural model,,,4.3,False
nD1,A0A5S6PP20_F1,120,6-125,computed structural model,386.1.1.16,Hat1_N,4.3,False
nD3,E9Q444_F1,120,606-725,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD2,A0A5S6PDC8_F1,120,166-285,computed structural model,386.1.1.50,Nairovirus_Gn,4.3,False
nD1,A0A0N4U7N6_F1,120,6-125,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD2,Q9NRM2_F1,120,171-290,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD7,C1GQL3_F1,120,"316-395,446-485",computed structural model,386.1.1.1,zf-C2H2,4.3,True
nD3,Q19157_F1,120,81-200,computed structural model,386.1.1.1,zf-C2H2,4.3,False
nD1,A4F336_F1,119,16-134,computed structural model,386.1.1.50,Nairovirus_Gn,4.2,False
nD1,A0A0N4U4F6_F1,119,"111-165,191-254",computed structural model,386.1.1.54,ANM3_zf-C2H2,4.2,True
nD1,A0A5K4F1Q4_F1,119,1052-1170,computed structural model,386.1.1.50,Nairovirus_Gn,4.2,False
nD3,A0A1U7F3N4_F1,118,796-913,computed structural model,386.1.1.1,zf-C2H2,4.2,False
e6tbmO1,6tbm,117,O:3-119,experimental structure,386.1.1.12,Sgf11,4.2,False
nD1,Q0KIB3_F1,115,6-120,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A0A175WFS4_F1,115,1-115,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD3,C0NJK4_F1,115,511-625,computed structural model,386.1.1.50,Nairovirus_Gn,4.1,False
nD3,A0A0K0EMB5_F1,115,"181-270,296-320",computed structural model,386.1.1.50,Nairovirus_Gn,4.1,True
nD3,A0A0R0KY23_F1,115,246-360,computed structural model,386.1.1.50,Nairovirus_Gn,4.1,False
nD1,A0A1D6LLF1_F1,115,121-235,computed structural model,386.1.1.20,zf-met,4.1,False
nD3,A0A0G2JVM3_F1,115,856-970,computed structural model,386.1.1.103,zf-CCCH,4.1,False
nD5,A0A0G2K214_F1,115,841-955,computed structural model,386.1.1.18,zf-C2H2_jaz,4.1,False
nD1,A0A1D6MAK2_F1,115,111-225,computed structural model,386.1.1.20,zf-met,4.1,False
nD2,A0A0K0E8A1_F1,115,46-160,computed structural model,386.1.1.16,Hat1_N,4.1,False
e2p0wB2,2p0w,115,B:1-115,experimental structure,386.1.1.16,Hat1_N,4.1,False
nD1,A0A3Q0KRH7_F1,115,41-155,computed structural model,386.1.1.1,zf-C2H2,4.1,False
e2dmiA1,2dmi,115,A:1-115,experimental structure,386.1.1.1,zf-C2H2,4.1,False
nD1,Q21484_F1,115,11-125,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A3BMN9_F1,115,51-165,computed structural model,386.1.1.1,zf-C2H2,4.1,False
nD1,O14929_F1,115,21-135,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A0A175VT69_F1,115,16-130,computed structural model,386.1.1.26,zf-C2H2_6,4.1,False
nD2,Q23458_F1,115,146-260,computed structural model,386.1.1.50,Nairovirus_Gn,4.1,False
nD2,Q9GZC9_F1,115,"111-200,261-285",computed structural model,386.1.1.1,zf-C2H2,4.1,True
nD2,A0A5S6PDY5_F1,115,181-295,computed structural model,386.1.1.1,zf-C2H2,4.1,False
nD1,A0A3Q0KTR2_F1,115,6-120,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD3,A0A0P0WKH9_F1,115,221-335,computed structural model,386.1.1.50,Nairovirus_Gn,4.1,False
e6vo5B1,6vo5,115,B:1-115,experimental structure,386.1.1.16,Hat1_N,4.1,False
nD1,C1GNL1_F1,115,11-125,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A0A0D2H1D3_F1,115,1-115,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A0A1D6FFK9_F1,115,56-170,computed structural model,386.1.1.20,zf-met,4.1,False
nD1,U7PPI9_F1,115,1-115,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD2,A0A5S6PVK7_F1,115,"31-60,186-270",computed structural model,386.1.1.1,zf-C2H2,4.1,True
nD4,Q925H1_F1,115,521-635,computed structural model,386.1.1.24,zf-C2H2_4,4.1,False
e6uhdB2,6uhd,115,B:1-115,experimental structure,386.1.1.16,Hat1_N,4.1,False
nD1,A0A044V3Z2_F1,115,81-195,computed structural model,386.1.1.16,Hat1_N,4.1,False
nD1,A0A175WEY7_F1,114,266-379,computed structural model,386.1.1.50,Nairovirus_Gn,4.1,False
e6uhdA3,6uhd,113,A:3-115,experimental structure,386.1.1.16,Hat1_N,4.0,False
e6vo5A1,6vo5,113,A:3-115,experimental structure,386.1.1.16,Hat1_N,4.0,False
nD3,Q05937_F1,113,231-343,computed structural model,386.1.1.50,Nairovirus_Gn,4.0,False
e4pswA1,4psw,111,A:2-112,experimental structure,386.1.1.16,Hat1_N,4.0,False
nD20,E9QCQ3_F1,110,"321-345,1376-1460",computed structural model,386.1.1.1,zf-C2H2,3.9,True
nD3,Q8NC26_F1,110,246-355,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,O77260_F1,110,21-130,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD1,Q19994_F1,110,16-125,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD2,Q9VR03_F1,110,"261-345,456-480",computed structural model,386.1.1.50,Nairovirus_Gn,3.9,True
nD8,A1L1R6_F1,110,"346-370,436-495,791-815",computed structural model,386.1.1.1,zf-C2H2,3.9,True
nD1,Q5M939_F1,110,21-130,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD4,F1LUK0_F1,110,326-435,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD1,A0A077Z847_F1,110,36-145,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD1,E9QIZ1_F1,110,46-155,computed structural model,386.1.1.20,zf-met,3.9,False
nD1,Q66HU5_F1,110,11-120,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD1,K7KAN2_F1,110,26-135,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD2,A0A0K0EQP7_F1,110,376-485,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD8,I1M7E7_F1,110,461-570,computed structural model,386.1.1.24,zf-C2H2_4,3.9,False
nD2,A0A044QZ18_F1,110,356-465,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD1,C0H4A7_F1,110,56-165,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD7,Q8N720_F1,110,381-490,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD1,A0A0K0EN16_F1,110,6-115,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD2,Q9BS31_F1,110,146-255,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD3,A0A2R8QGD3_F1,110,261-370,computed structural model,386.1.1.29,zf-TRAF_2,3.9,False
nD1,P08047_F1,110,601-710,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,O14220_F1,110,226-335,computed structural model,386.1.1.75,Rua1_C,3.9,False
nD1,A0A1C1CYK0_F1,110,6-115,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD2,P20193_F1,110,251-360,computed structural model,386.1.1.20,zf-met,3.9,False
nD1,Q8BY71_F1,110,21-130,computed structural model,386.1.1.16,Hat1_N,3.9,False
nD2,A0A5S6PDS4_F1,110,161-270,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
e1bobA2,1bob,110,A:6-115,experimental structure,386.1.1.16,Hat1_N,3.9,False
nD4,Q4DDL9_F1,110,251-360,computed structural model,386.1.1.114,zf-C3HC4_2,3.9,False
nD1,A0A044UNY2_F1,110,126-235,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,K7MQ78_F1,110,21-130,computed structural model,386.1.1.13,"Sgf11,Sgf11_N",3.9,False
nD1,A0A5K4EHS5_F1,110,"11-50,86-155",computed structural model,386.1.1.113,,3.9,True
nD1,A0A1D8PPG3_F1,110,601-710,computed structural model,386.1.1.1,zf-C2H2,3.9,False
e2p0wA2,2p0w,110,A:6-115,experimental structure,386.1.1.16,Hat1_N,3.9,False
nD3,C1HAC3_F1,110,591-700,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,Q5AI92_F1,110,21-130,computed structural model,386.1.1.50,Nairovirus_Gn,3.9,False
nD1,Q9FJT8_F1,109,27-135,computed structural model,386.1.1.16,Hat1_N,3.9,False
e4psxD1,4psx,109,D:7-115,experimental structure,386.1.1.16,Hat1_N,3.9,False
nD1,I1M828_F1,109,27-135,computed structural model,386.1.1.16,Hat1_N,3.9,False
e4psxA1,4psx,109,A:7-115,experimental structure,386.1.1.16,Hat1_N,3.9,False
nD5,A0A3Q0KP90_F1,108,1148-1255,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,K7U4J6_F1,108,218-325,computed structural model,386.1.1.1,zf-C2H2,3.9,False
nD1,A2RSY6_F1,108,"76-93,116-205",computed structural model,386.1.1.50,Nairovirus_Gn,3.9,True
nD2,A0A0K0EHR4_F1,107,"158-240,262-285",computed structural model,386.1.1.50,Nairovirus_Gn,3.8,True
nD9,A9QY27_F1,105,1096-1200,computed structural model,386.1.1.20,zf-met,3.8,False
nD1,A0A1D6I2M2_F1,105,41-145,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD8,A0A0K0E0G9_F1,105,"711-790,826-850",computed structural model,386.1.1.1,zf-C2H2,3.8,True
nD4,P28166_F1,105,321-425,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD2,Q8T092_F1,105,301-405,computed structural model,386.1.1.1,zf-C2H2,3.8,False
nD9,A0A077Z8N2_F1,105,"1106-1130,1201-1280",computed structural model,386.1.1.1,zf-C2H2,3.8,True
nD6,Q6NXM6_F1,105,446-550,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
nD1,Q8LPU4_F1,105,31-135,computed structural model,386.1.1.16,Hat1_N,3.8,False
nD3,A8DU70_F1,105,456-560,computed structural model,386.1.1.50,Nairovirus_Gn,3.8,False
