f_group_id,f_group_name,fgroup_introduced_release,rep_ecod_uid,rep_domain_id,rep_range,rep_domain_version,is_representative,is_manual_representative,is_provisional_representative,classification_status,classification_method
109.2.1.64,"Glyco_hydro_63, MGH1-like_GH",v293.1,3174066,Q04336_F1_nD4,"401-430,456-885,906-950,986-1000",v292,t,f,t,classified,
109.2.1.75,PF31219,v293.1,2560572,e6hq6B1,"B:322-869,B:958-1064",v292,t,f,t,classified,
109.24.1.7,"DHR-2_Lobe_A, PF28208",v293.1,3237760,Q20487_F1_nD3,"61-140,211-235,756-875,916-1070,1101-1185,1226-1285,1321-1705",v292,t,f,t,classified,
109.3.1.162,"Ank, Ank_2, Ank_5",v293.1,4520,e1iknD1,D:7-227,v292,t,t,f,classified,
109.3.1.162,"Ank, Ank_2, Ank_5",v293.1,1842586,e5ja4D1,D:10-158,v292,t,t,f,classified,
109.3.1.162,"Ank, Ank_2, Ank_5",v293.1,3473246,A0A5K4ELK7_F1_nD4,731-920,v292,t,f,t,classified,
109.3.1.163,"Ank, Ank_2, Ank_4, Ank_5",v293.1,161019,e2bkgA1,A:12-166,v292,t,f,t,classified,
109.3.1.164,"Ank, Ank_2, Ank_3, Ank_4",v293.1,1482703,e4rlvA1,A:14-853,v292,t,t,f,classified,
109.3.1.164,"Ank, Ank_2, Ank_3, Ank_4",v293.1,3684393,B4FRA5_F1_nD1,21-165,v292,t,f,t,classified,
109.3.1.165,"Ank, Ank_2, Ank_3, Ank_4, Ank_5",v293.1,4516,e1n11A1,A:15-422,v292,t,t,f,classified,
109.3.1.166,"Ank, Ank_2, Ank_3",v293.1,3798121,A0A5S6PQL6_F1_nD1,6-405,v292,t,f,t,classified,
109.3.1.170,"Ank, Ank_4",v293.1,2075105,e5h28A1,A:1-263,v292,t,t,f,classified,
109.3.1.176,"Ank_2, Ank_3, Ank_4",v293.1,1841007,e4bepB3,B:377-505,v292,t,t,f,classified,
109.3.1.194,DUF594,v293.1,3647575,A0A1D6QL02_F1_nD5,"501-620,651-690",v292,t,f,t,classified,
109.3.1.200,"Ank, TRP_2, Ank_4",v293.1,2976519,e6d7lA1,"A:42-141,A:162-298,A:778-828",v292,t,f,t,classified,
109.3.1.320,DYW_deaminase,v293.1,3677917,A0A1D6MPA3_F1_nD5,711-845,v292,t,f,t,classified,
109.3.1.353,OGFr_N,v293.1,3889637,E7EYZ3_F1_nD1,41-285,v292,t,f,t,classified,
109.3.1.376,DUF6537,v293.1,3287063,K0ETT7_F1_nD6,"941-1015,1076-1155",v292,t,f,t,classified,
109.3.1.382,"Ank, Ank_2, Ank_4, E_motif",v293.1,3322490,K7KH98_F1_nD1,26-325,v292,t,f,t,classified,
109.3.1.397,"NPR1_like_C, Ank_2",v293.1,3834805,P93002_F1_nD2,"261-460,486-565",v292,t,f,t,classified,
109.3.1.411,DGF-1_C,v293.1,3715224,Q4D9X0_F1_nD3,"221-300,331-385,426-550",v292,t,f,t,classified,
109.3.1.444,Tmemb_185A,v293.1,3857708,Q8R3R5_F1_nD1,1-265,v292,t,f,t,classified,
109.35.1.10,"PC_rep, HEAT_2",v293.1,1124192,e4adyA2,A:319-766,v292,t,t,f,classified,
109.35.1.11,"PC_rep, PF27562, PF29300",v293.1,1676515,e4ui9A2,A:1013-1616,v292,t,t,f,classified,
109.35.1.13,"PC_rep, HEAT_2, RPN2_C",v293.1,2391215,e6fvtN1,"N:305-752,N:785-856",v292,t,f,t,classified,
109.4.1.1254,"PPR, PPR_2, E_motif",v293.1,3420834,Q7XTG3_F1_nD1,1-540,v292,t,f,t,classified,
109.4.1.1254,"PPR, PPR_2, E_motif",v293.1,3656641,K7TZ14_F1_nD1,1-505,v292,t,f,t,classified,
109.4.1.1255,"Adaptin_N, Cnd1",v293.1,1870438,e2vglA1,A:9-608,v292,t,t,f,classified,
109.4.1.1257,"PPR_1, PPR_2",v293.1,3664730,A0A1X7YID1_F1_nD1,"1-215,416-505",v292,t,f,t,classified,
109.4.1.1258,"PPR, PPR_1, PPR_2",v293.1,2048354,e5iwbB1,B:10-129,v292,t,f,t,classified,
109.4.1.1258,"PPR, PPR_1, PPR_2",v293.1,3643336,A0A1X7YEP9_F1_nD3,326-510,v292,t,f,t,classified,
109.4.1.1259,"HEAT_PBS, HEAT_2",v293.1,1889998,e5d08A3,A:292-413,v292,t,t,f,classified,
109.4.1.1259,"HEAT_PBS, HEAT_2",v293.1,2140319,e5n3uA2,A:4-159,v292,t,f,t,classified,
109.4.1.1259,"HEAT_PBS, HEAT_2",v293.1,4473496,P47120_nD1,6-325,v293,t,f,t,classified,
109.4.1.1261,"PPR_1, PPR_2, PPR_long",v293.1,3648617,A0A1X7YED0_F1_nD2,181-380,v292,t,f,t,classified,
109.4.1.1263,"TPR_1, TPR_16",v293.1,4554,e1fchA1,A:46-368,v292,t,t,f,classified,
109.4.1.1263,"TPR_1, TPR_16",v293.1,2717398,e6xssA2,A:1-75,v292,t,f,t,classified,
109.4.1.1264,"TPR_8, TPR_16",v293.1,4562,e1xnfA1,A:7-265,v292,t,t,f,classified,
109.4.1.1264,"TPR_8, TPR_16",v293.1,1563569,e5aioA1,A:13-447,v292,t,t,f,classified,
109.4.1.1264,"TPR_8, TPR_16",v293.1,1676526,e4ui9Y1,Y:2-518,v292,t,t,f,classified,
109.4.1.1264,"TPR_8, TPR_16",v293.1,2036593,e5tqbB1,B:1-335,v292,t,t,f,classified,
109.4.1.1265,"PUF, PUF_NOP9",v293.1,4604,e1m8zA1,A:1-339,v292,t,t,f,classified,
109.4.1.1266,"Arm, ARM_PUB",v293.1,3675697,A0A1X7YII5_F1_nD4,336-635,v292,t,f,t,classified,
109.4.1.1267,"PPR, PPR_2, DYW_deaminase, E_motif",v293.1,3831659,Q9S7F4_F1_nD2,156-825,v292,t,f,t,classified,
109.4.1.1271,"PPR, PPR_2, TPR_24",v293.1,3658242,A0A1X7YGI2_F1_nD2,186-350,v292,t,f,t,classified,
109.4.1.1272,"PPR, PPR_2, PPR_3, E_motif",v293.1,3658241,A0A1X7YGI2_F1_nD3,351-540,v292,t,f,t,classified,
109.4.1.1274,"PPR, PPR_1, PPR_2, PPR_3, PPR_long",v293.1,3648615,A0A1X7YED0_F1_nD4,456-980,v292,t,f,t,classified,
109.4.1.1275,"PPR, PPR_1, PPR_2, PPR_3, PPR_long, TPR_24",v293.1,1123783,e4m59A1,A:6-714,v292,t,f,t,classified,
109.4.1.1275,"PPR, PPR_1, PPR_2, PPR_3, PPR_long, TPR_24",v293.1,3679566,A0A1X7YER2_F1_nD2,281-1005,v292,t,f,t,classified,
109.4.1.1276,"FAT, HEAT_ATR",v293.1,1115536,e4jsnA2,"A:10-439,A:492-639",v292,t,f,t,classified,
109.4.1.1276,"FAT, HEAT_ATR",v293.1,1721940,e5flcB1,"B:12-433,B:486-633",v292,t,f,t,classified,
109.4.1.1276,"FAT, HEAT_ATR",v293.1,2044451,e5fvmA5,"A:1341-1459,A:1493-1565,A:1596-1687,A:1719-1956",v292,t,f,t,classified,
109.4.1.1279,"PPR, PPR_1, PPR_2, PPR_long, TPR_24",v293.1,3683185,A0A1X7YFD7_F1_nD1,"41-685,711-760",v292,t,f,t,classified,
109.4.1.1283,"HEAT, HEAT_PBS, HEAT_2",v293.1,4606,e1oyzA1,A:5-280,v292,t,t,f,classified,
109.4.1.1283,"HEAT, HEAT_PBS, HEAT_2",v293.1,4607,e1te4A1,A:21-131,v292,t,t,f,classified,
109.4.1.1284,PF29978,v293.1,2322965,e6f5dL1,L:6-170,v292,t,t,f,classified,
109.4.1.1287,"TPR_6, TPR_8, TPR_16",v293.1,2080125,e5jqyA1,A:1-232,v292,t,t,f,classified,
109.4.1.1287,"TPR_6, TPR_8, TPR_16",v293.1,2082640,e5jzuA1,A:1-233,v292,t,t,f,classified,
109.4.1.1288,"TPR_8, TPR_11",v293.1,4550,e1elwA1,A:2-118,v292,t,t,f,classified,
109.4.1.1291,"PPR, PPR_2, PPR_3, DYW_deaminase, E_motif",v293.1,3676373,A0A1D6KA87_F1_nD4,386-955,v292,t,f,t,classified,
109.4.1.1294,"TPR_1, ANAPC3, TPR_8, TPR_12, TPR_16",v293.1,1487475,e4rg6A1,A:7-504,v292,t,t,f,classified,
109.4.1.1295,"PPR, PPR_2, PPR_3, TPR_24",v293.1,3331226,K7MV40_F1_nD2,491-745,v292,t,f,t,classified,
109.4.1.1297,"TIMELESS, PF27570",v293.1,3276177,Q54KW8_F1_nD2,"6-20,66-280,391-625,681-800",v292,t,f,t,classified,
109.4.1.1297,"TIMELESS, PF27570",v293.1,3801864,A0A1P8B9S9_F1_nD1,"16-25,46-285,336-405,431-555,676-790",v292,t,f,t,classified,
109.4.1.1298,"Fes1, PF28415",v293.1,3425002,Q0J0F7_F1_nD1,"16-65,86-115,141-405",v292,t,f,t,classified,
109.4.1.1299,"Drf_FH3, Drf_GBD, FH3_FHOD1-3",v293.1,4616,e2bnxA1,A:3-345,v292,t,t,f,classified,
109.4.1.1299,"Drf_FH3, Drf_GBD, FH3_FHOD1-3",v293.1,1555748,e4yc7B1,"B:34-151,B:207-379",v292,t,t,f,classified,
109.4.1.1299,"Drf_FH3, Drf_GBD, FH3_FHOD1-3",v293.1,1555749,e4ydhA1,A:33-397,v292,t,t,f,classified,
109.4.1.1301,"RAI16-like, KELAA, DUF5917",v293.1,3566616,Q86V87_F1_nD2,"271-475,536-725",v292,t,f,t,classified,
109.4.1.1301,"RAI16-like, KELAA, DUF5917",v293.1,3762712,B5DEJ2_F1_nD2,"281-480,541-725",v292,t,f,t,classified,
109.4.1.1303,"HAT_PRP39_N, HAT_PRP39_C",v293.1,1828347,e5ctqA1,A:44-561,v292,t,t,f,classified,
109.4.1.1303,"HAT_PRP39_N, HAT_PRP39_C",v293.1,1830979,e5jpzB1,B:25-509,v292,t,t,f,classified,
109.4.1.1303,"HAT_PRP39_N, HAT_PRP39_C",v293.1,2137366,e5uz5D1,D:2-540,v292,t,f,t,classified,
109.4.1.1303,"HAT_PRP39_N, HAT_PRP39_C",v293.1,3241122,Q22961_F1_nD2,"51-75,96-500",v292,t,f,t,classified,
109.4.1.1304,"TPR_8, TPR_10, TPR_12",v293.1,2095496,e5o01A1,A:2-255,v292,t,t,f,classified,
109.4.1.1304,"TPR_8, TPR_10, TPR_12",v293.1,3334664,A0A0R0K9R9_F1_nD1,"11-110,211-515",v292,t,f,t,classified,
109.4.1.1304,"TPR_8, TPR_10, TPR_12",v293.1,4013299,A0A175VRR7_F1_nD5,586-1085,v292,t,f,t,classified,
109.4.1.1307,"Vps52_CC, Vps52_C",v293.1,3717635,Q4DVK6_F1_nD3,"141-565,621-830",v292,t,f,t,classified,
109.4.1.1313,"HEAT, IBN_N, HEAT_EZ, TPR_IMB1, TPR_IPO5",v293.1,4580,e1qbkB1,B:3-890,v292,t,t,f,classified,
109.4.1.1315,"TPR_7, TPR_8, TPR_10, TPR_12",v293.1,1722652,e5a6cB1,B:1-336,v292,t,t,f,classified,
109.4.1.1315,"TPR_7, TPR_8, TPR_10, TPR_12",v293.1,3539711,Q96AY4_F1_nD3,861-1230,v292,t,f,t,classified,
109.4.1.1316,"Suf, HAT_PRP39_N, HAT_PRP39_C",v293.1,4575,e2ooeA1,A:2-530,v292,t,t,f,classified,
109.4.1.1317,"Vps53_N, VPS53_C",v293.1,3513682,A0A077Z2Y9_F1_nD2,61-660,v292,t,f,t,classified,
109.4.1.1318,"N1221, DUF3402",v293.1,3749064,A0A0G2JT26_F1_nD1,"26-310,481-755,791-835",v292,t,f,t,classified,
109.4.1.1318,"N1221, DUF3402",v293.1,3786324,Q59LZ8_F1_nD2,"1-50,101-330,521-530,571-925",v292,t,f,t,classified,
109.4.1.1320,"TPR_7, TPR_10, TPR_12",v293.1,2168367,e6fv0A1,"A:14-236,A:260-295,A:328-338",v292,t,f,t,classified,
109.4.1.1320,"TPR_7, TPR_10, TPR_12",v293.1,4022062,A0A175VTT8_F1_nD4,706-945,v292,t,f,t,classified,
109.4.1.1321,"HEAT, HEAT_2, PPP2R1A-like_HEAT, VPS15-like_hel",v293.1,4585,e1b3uA1,A:1-588,v292,t,t,f,classified,
109.4.1.1324,"P4Ha_N, TPR_P4H",v293.1,3629784,A0A044RSV2_F1_nD2,"21-30,131-300",v292,t,f,t,classified,
109.4.1.1326,"ANAPC8, TPR_8, TPR_11",v293.1,1879627,e5g04C1,C:26-557,v292,t,f,t,classified,
109.4.1.1326,"ANAPC8, TPR_8, TPR_11",v293.1,1927243,e5khrP1,P:36-476,v292,t,f,t,classified,
109.4.1.1326,"ANAPC8, TPR_8, TPR_11",v293.1,1927271,e5l9uP1,P:36-462,v292,t,f,t,classified,
109.4.1.1329,"NatB_MDM20, PF31234",v293.1,2067064,e5k04A1,A:13-750,v292,t,f,t,classified,
109.4.1.1329,"NatB_MDM20, PF31234",v293.1,2069461,e5k18A1,A:39-766,v292,t,f,t,classified,
109.4.1.1332,"Arm, HEAT_2, Arm_3",v293.1,1316581,e2ru4B1,B:1-84,v292,t,t,f,classified,
109.4.1.1333,"Vps35, PF27614",v293.1,1933284,e5f0pA1,A:4-461,v292,t,t,f,classified,
109.4.1.1340,"COG4_m, COG4_C, COG4_N",v293.1,3187681,U7PW27_F1_nD2,"131-390,431-480,516-950",v292,t,f,t,classified,
109.4.1.1345,"HEAT, IBN_N, HEAT_EZ, TPR_IMB1",v293.1,4578,e1qgrA1,A:1-876,v292,t,t,f,classified,
109.4.1.1345,"HEAT, IBN_N, HEAT_EZ, TPR_IMB1",v293.1,4579,e2bptA1,A:1-861,v292,t,t,f,classified,
109.4.1.1347,"TPR_16, TPR_19",v293.1,1182357,e2jlbB6,B:21-170,v292,t,f,t,classified,
109.4.1.1348,"TPR_1, TPR_7, TPR_10, TPR_12",v293.1,3199705,C0NXB2_F1_nD5,701-945,v292,t,f,t,classified,
109.4.1.1350,"STAG, SCD, HEAT_SCC3-SA, PF31007",v293.1,1348265,e4pjuA1,A:5-970,v292,t,t,f,classified,
109.4.1.1350,"STAG, SCD, HEAT_SCC3-SA, PF31007",v293.1,4533976,Q99M76_nD1,"1-75,86-110,116-1100",v293,t,f,t,classified,
109.4.1.1359,"TPR_1, ANAPC3, TPR_7, TPR_12",v293.1,3101308,e8pkpQ1,"Q:2-95,Q:124-533",v292,t,f,t,classified,
109.4.1.1360,"CBF, NOC3p",v293.1,3192734,U7Q3D4_F1_nD3,"56-80,116-355,411-729",v292,t,f,t,classified,
109.4.1.1360,"CBF, NOC3p",v293.1,4525886,P91136_nD3,"126-160,181-415,426-775",v293,t,f,t,classified,
109.4.1.1362,COG5_C,v293.1,3773276,A0A0G2K9P5_F1_nD2,"66-195,221-380",v292,t,f,t,classified,
109.4.1.1366,"DOCK_C-D_N, PF28208",v293.1,3411060,M9PCG3_F1_nD5,"41-80,221-265,461-470,781-790,976-1340,1481-1550,1581-1645",v292,t,f,t,classified,
