ecod_uid,domain_id,t_id,old_f,old_f_pfam,commons_f,new_f_pfam,dom_len,dominant_pfam,dominant_name,dominant_cov_pct,dominant_bitscore,n_significant_pfams,verdict,pfam_implied_fgroups
1141779,e1tedA2,7581.1.1,7581.1.1.4,PF00195,7581.1.1.24,"PF00195,PF08545",223,PF00195,Chal_sti_synt_N,94.2,83.8,2,ambiguous_both,7581.1.1.37;7581.1.1.24;7581.1.1.26;7581.1.1.34;7581.1.1.41;7581.1.1.45;7581.1.1.20;7581.1.1.4
10878,e1hnjA1,7581.1.1,7581.1.1.13,PF08545,7581.1.1.23,"PF00108,PF08545",174,,,,,0,no_dominant_pfam,
1088877,e4kxfK5,207.1.1,,,207.1.1.157,PF29252,443,PF29252,LRR_NLRC4,86.2,709.6,1,supports_commons,207.1.1.157
1843715,e5dlqB1,109.4.1,109.4.1.125,PF08767,109.4.1.1463,PF28490,1107,PF28490,XPO4,80.1,288.2,1,supports_commons,109.4.1.1534;109.4.1.1463;109.4.1.2761
4537,e1ouvA1,109.4.1,109.4.1.109,PF08238,109.4.1.1793,"PF08238,PF13181",265,,,,,0,no_dominant_pfam,
1121969,e4m8oA3,2484.1.1,2484.1.1.34,PF03104,2484.1.1.197,"PF03104,PF10108",230,PF03104,DNA_pol_B_exo1,70.0,192.3,3,ambiguous_both,2484.1.1.226;2484.1.1.35;2484.1.1.197;2484.1.1.210;2484.1.1.249;2484.1.1.257;2484.1.1.161;2484.1.1.34;2484.1.1.295
1891399,e3k6rA1,513.2.1,513.2.1.1,PF02475,513.2.1.2,PF25133,81,PF25133,TYW2_N_2,95.1,112.3,1,supports_commons,513.2.1.2
2373,e1lshA1,5087.2.1,5087.2.1.1,PF01347,5087.2.1.2,PF29934,268,PF29934,Vitellogenin_N,92.9,252.6,1,supports_commons,5087.2.1.2
11490,e2i47A1,2498.1.1,2498.1.1.45,PF13688,2498.1.1.90,"PF01421,PF13574",254,PF13688,Reprolysin_5,90.9,113.3,3,supports_old_ecod_rep,2498.1.1.89;2498.1.1.107;2498.1.1.45;2498.1.1.127;2498.1.1.131
9877,e1zd3A1,2006.1.1,2006.1.1.1,PF00702,2006.1.1.46,"PF00702,PF13419",225,PF00702,Hydrolase,86.7,66.1,1,ambiguous_both,2006.1.1.61;2006.1.1.44;2006.1.1.46;2006.1.1.54;2006.1.1.56;2006.1.1.57;2006.1.1.2;2006.1.1.1;2006.1.1.62;2006.1.1.63;2006.1.1.65;2006.1.1.67;2006.1.1.68
5472,e1h98A1,205.1.1,205.1.1.1,PF00037,205.1.1.80,"PF00037,PF12838,PF13187",77,PF13187,Fer4_9,66.2,27.0,1,supports_commons,205.1.1.64;205.1.1.40;205.1.1.131;205.1.1.79;205.1.1.80;205.1.1.85;205.1.1.89;205.1.1.94;205.1.1.97;205.1.1.105;205.1.1.106;205.1.1.107;205.1.1.110;205.1.1.113;205.1.1.114;205.1.1.116
1310610,e4upcA1,2011.1.1,2011.1.1.12,PF05450,2011.1.1.35,"PF04389,PF05450",335,,,,,0,no_dominant_pfam,
1107957,e1kqfB3,205.1.1,205.1.1.17,PF13247,205.1.1.48,"PF12837,PF13247",60,PF13247,Fer4_11,100.0,90.8,2,ambiguous_both,205.1.1.34;205.1.1.55;205.1.1.56;205.1.1.57;205.1.1.58;205.1.1.62;205.1.1.44;205.1.1.48;205.1.1.50;205.1.1.53;205.1.1.71;205.1.1.78;205.1.1.84;205.1.1.37;205.1.1.18;205.1.1.17;205.1.1.95;205.1.1.97;205.1.1.100;205.1.1.113;205.1.1.114;205.1.1.115
2526330,e6jdeB3,375.15.1,,,375.15.1.1,PF29404,56,PF29404,RadD_Zn_ribbon,85.7,85.2,1,supports_commons,375.15.1.1
1411386,e3kv4A2,10.12.1,10.12.1.9,PF02373,10.12.1.101,"PF02373,PF13621",260,PF13621,Cupin_8,74.2,32.4,1,supports_commons,10.12.1.101;10.12.1.103;10.12.1.52;10.12.1.159;10.12.1.163
1546393,e3k2oB1,10.12.1,10.12.1.9,PF02373,10.12.1.101,"PF02373,PF13621",335,PF13621,Cupin_8,71.3,70.8,1,supports_commons,10.12.1.101;10.12.1.103;10.12.1.52;10.12.1.159;10.12.1.163
9911,e2gmwA1,2006.1.1,2006.1.1.15,PF13242,2006.1.1.44,"PF00702,PF13242",182,PF08645,PNK3P,80.2,30.8,2,points_to_other_fgroup,2006.1.1.47;2006.1.1.12;2006.1.1.74
2323923,e5oqdC1,376.1.3,,,376.1.3.56,PF30811,73,,,,,0,no_dominant_pfam,
2082640,e5jzuA1,109.4.1,109.4.1.118,"PF08514,PF21581,PF21767",109.4.1.1287,"PF13174,PF13181,PF13432",233,,,,,0,no_dominant_pfam,
2076897,e5kzfJ4,148.1.3,,,148.1.3.203,PF28760,164,PF28760,ARC_lid,99.4,264.2,1,supports_commons,148.1.3.203;148.1.3.303
2218,e2ovrB1,5.1.4,5.1.4.1,PF00400,5.1.4.310,"PF00400,PF13360",342,,,,,0,no_dominant_pfam,
2323862,e5n0sA3,1201.1.1,,,1201.1.1.1,PF31221,114,PF31221,Borosin_clasp,100.0,133.5,1,supports_commons,1201.1.1.1
2526314,e6d7yA1,1205.2.1,,,1205.2.1.1,PF31217,92,PF31217,CdiA_CT_tRNase,100.0,135.2,1,supports_commons,1205.2.1.1
2526315,e6d7yB1,7075.1.1,,,7075.1.1.1,PF31209,155,PF31209,PABL017_Cdi1I,96.1,88.4,1,supports_commons,7075.1.1.1
2502901,e6gjeC1,207.16.1,,,207.16.1.1,PF31269,83,PF31269,Cubilin_N,96.4,123.3,1,supports_commons,207.16.1.1
1498230,e3lm3A2,12.1.1,12.1.1.20,"PF12979,PF12980",12.1.1.117,PF12980,110,PF12980,DUF3864,72.7,113.7,1,ambiguous_both,12.1.1.20;12.1.1.117
2324093,e6f1sA1,2008.8.1,,,2008.8.1.1,PF31274,146,PF31274,CglI_C,100.0,142.0,1,supports_commons,2008.8.1.1
119500,e3nnqA1,101.1.1,101.1.1.73,PF16721,101.1.1.301,"PF09337,PF16721",95,PF16721,zf-H3C2,100.0,226.8,1,ambiguous_both,101.1.1.73;101.1.1.301
8461,e1moxC1,389.1.1,,,389.1.1.99,PF30999,49,PF30999,EGF_TGFA-like,91.8,109.3,1,supports_commons,389.1.1.99
1539,e2cspA1,11.1.1,11.1.1.2,PF00041,11.1.1.862,PF25523,117,PF25523,Ig_RIMBP2,88.9,134.3,2,supports_commons,11.1.1.862
8800,e1a0cA1,2002.1.1,2002.1.1.60,PF01261,2002.1.1.266,PF27526,437,,,,,0,no_dominant_pfam,
1031105,e3zztA4,2004.1.1,2004.1.1.14,PF00009,2004.1.1.414,"PF00009,PF01926",282,PF00009,GTP_EFTU,96.8,219.6,1,ambiguous_both,2004.1.1.557;2004.1.1.625;2004.1.1.414;2004.1.1.682;2004.1.1.772;2004.1.1.779;2004.1.1.14;2004.1.1.15;2004.1.1.823;2004.1.1.994;2004.1.1.1176
9605,e1wf3A2,2004.1.1,2004.1.1.73,PF01926,2004.1.1.474,"PF00350,PF01926",178,PF04548,AIG1,86.0,29.8,3,points_to_other_fgroup,2004.1.1.541;2004.1.1.760;2004.1.1.118;2004.1.1.844
1731077,e4ww4B1,2004.1.1,2004.1.1.137,PF06068,2004.1.1.436,"PF03796,PF06068",247,PF06068,TIP49,94.7,538.7,1,ambiguous_both,2004.1.1.420;2004.1.1.434;2004.1.1.436;2004.1.1.487;2004.1.1.575;2004.1.1.742;2004.1.1.137;2004.1.1.819;2004.1.1.931;2004.1.1.1011;2004.1.1.1097;2004.1.1.1189
9693,e1vplA1,2004.1.1,2004.1.1.5,PF00005,2004.1.1.417,"PF00005,PF13304",238,PF00005,ABC_tran,60.9,106.0,1,ambiguous_both,2004.1.1.553;2004.1.1.558;2004.1.1.576;2004.1.1.616;2004.1.1.417;2004.1.1.430;2004.1.1.435;2004.1.1.445;2004.1.1.467;2004.1.1.486;2004.1.1.491;2004.1.1.509;2004.1.1.515;2004.1.1.526;2004.1.1.540;2004.1.1.559;2004.1.1.583;2004.1.1.590;2004.1.1.600;2004.1.1.664;2004.1.1.722;2004.1.1.723;2004.1.1.752;2004.1.1.754;2004.1.1.780;2004.1.1.5;2004.1.1.7;2004.1.1.6;2004.1.1.8;2004.1.1.261;2004.1.1.309;2004.1.1.9;2004.1.1.247;2004.1.1.812;2004.1.1.814;2004.1.1.821;2004.1.1.846;2004.1.1.856;2004.1.1.860;2004.1.1.882;2004.1.1.887;2004.1.1.916;2004.1.1.971;2004.1.1.976;2004.1.1.1003;2004.1.1.1013;2004.1.1.1036;2004.1.1.1057;2004.1.1.1112;2004.1.1.1113;2004.1.1.1138;2004.1.1.1140
223974,e4ak1A4,11.1.1,11.1.1.200,PF16319,11.1.1.1158,PF28861,162,PF28861,Ig_BT4661_6th,95.1,224.0,1,supports_commons,11.1.1.1158;11.1.1.1386
223972,e4ak1A2,11.1.1,11.1.1.200,PF16319,11.1.1.1383,PF28857,93,PF28857,Ig_BT4661_4th,95.7,130.2,1,supports_commons,11.1.1.1383
1594,e1f00I2,11.1.1,11.1.1.38,PF02368,11.1.1.870,PF26918,89,PF26182,Ig_NUP210_5th,70.8,39.0,2,points_to_other_fgroup,11.1.1.827;11.1.1.1191
2206,e1tbgA1,5.1.4,5.1.4.1,PF00400,5.1.4.253,"PF00400,PF25391",340,PF25391,WD40_Gbeta,100.0,782.8,1,supports_commons,5.1.4.253;5.1.4.494
2235,e1k32A3,5.1.4,5.1.4.29,PF07676,5.1.4.279,PF26550,360,PF26550,Tricorn_2nd,93.6,327.1,1,supports_commons,5.1.4.279
9280,e1w4xA1,2003.1.2,2003.1.2.29,PF13450,2003.1.2.69,"PF13450,PF13738",298,,,,,0,no_dominant_pfam,
7608,e1x0hA1,4075.1.1,,,4075.1.1.2,PF29130,100,PF29130,IQGAP_C,96.0,44.1,1,supports_commons,4075.1.1.2
1088763,e1mppA1,1.1.1,1.1.1.1,PF00026,1.1.1.27,"PF00026,PF14543",187,PF00026,Asp,92.5,293.7,1,ambiguous_both,1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.31;1.1.1.34;1.1.1.35;1.1.1.1;1.1.1.2;1.1.1.38
2526352,e6qixA1,922.1.1,,,922.1.1.21,PF29706,84,PF29706,PCHTP_C,100.0,104.3,1,supports_commons,922.1.1.21
9227,e1ryiA2,2003.1.2,2003.1.2.12,PF01266,2003.1.2.60,"PF01266,PF13450",276,PF01266,DAO,91.3,240.4,1,ambiguous_both,2003.1.2.44;2003.1.2.105;2003.1.2.122;2003.1.2.60;2003.1.2.66;2003.1.2.68;2003.1.2.71;2003.1.2.74;2003.1.2.77;2003.1.2.81;2003.1.2.88;2003.1.2.94;2003.1.2.112;2003.1.2.117;2003.1.2.126;2003.1.2.139;2003.1.2.154;2003.1.2.158;2003.1.2.163;2003.1.2.170;2003.1.2.171;2003.1.2.13;2003.1.2.14;2003.1.2.12;2003.1.2.177;2003.1.2.178;2003.1.2.181;2003.1.2.185;2003.1.2.188;2003.1.2.192;2003.1.2.194;2003.1.2.195;2003.1.2.199;2003.1.2.217;2003.1.2.218;2003.1.2.220;2003.1.2.222;2003.1.2.231;2003.1.2.236;2003.1.2.240;2003.1.2.244;2003.1.2.245;2003.1.2.254;2003.1.2.257;2003.1.2.273;2003.1.2.276;2003.1.2.281;2003.1.2.283;2003.1.2.286;2003.1.2.288;2003.1.2.290;2003.1.2.293;2003.1.2.294;2003.1.2.295
2526309,e6a9sA2,7083.1.1,,,7083.1.1.1,PF31251,157,PF31251,Pox_A26L_M,100.0,225.7,1,supports_commons,7083.1.1.1
9230,e2iidA2,2003.1.2,2003.1.2.17,PF01593,2003.1.2.73,"PF01593,PF07992,PF13450",370,PF01593,Amino_oxidase,88.1,265.8,2,ambiguous_both,2003.1.2.118;2003.1.2.196;2003.1.2.197;2003.1.2.68;2003.1.2.70;2003.1.2.73;2003.1.2.74;2003.1.2.81;2003.1.2.92;2003.1.2.108;2003.1.2.117;2003.1.2.140;2003.1.2.144;2003.1.2.145;2003.1.2.159;2003.1.2.160;2003.1.2.171;2003.1.2.18;2003.1.2.17;2003.1.2.204;2003.1.2.213;2003.1.2.215;2003.1.2.218;2003.1.2.244;2003.1.2.246;2003.1.2.277
1291890,e1vw4J1,2490.3.1,2490.3.1.1,PF00828,2490.3.1.3,"PF00828,PF29471",220,,,,,0,no_dominant_pfam,
147022,e3p8cD1,3235.1.1,3235.1.1.1,PF02205,3235.1.1.26,"PF02205,PF27569",244,PF27569,SCAR_helical,65.6,206.7,1,supports_commons,3235.1.1.25;3235.1.1.26
1693513,e1ihmA2,1.2.1,1.2.1.2,PF08435,1.2.1.4,"PF00915,PF08435",163,PF08435,Calici_coat_C,69.9,303.7,1,ambiguous_both,1.2.1.4;1.2.1.2
2485680,e6ebnA3,7035.1.1,,,7035.1.1.1,PF31265,103,PF31265,Cuben,100.0,125.5,1,supports_commons,7035.1.1.1
9878,e2b0cA1,2006.1.1,2006.1.1.1,PF00702,2006.1.1.44,"PF00702,PF13242",197,PF13419,HAD_2,92.4,46.8,2,points_to_other_fgroup,2006.1.1.45;2006.1.1.46;2006.1.1.53;2006.1.1.57;2006.1.1.18;2006.1.1.74
185748,e4fmwA1,2488.1.1,2488.1.1.3,PF01746,2488.1.1.19,PF27710,182,PF27710,TRM10_TRM10A,100.0,296.1,1,supports_commons,2488.1.1.19;2488.1.1.27;2488.1.1.30
10975,e2o3iA2,4176.1.1,4176.1.1.1,"PF06032,PF20906",4176.1.1.2,PF06032,240,PF06032,S-Me-THD_N,67.5,115.8,1,ambiguous_both,4176.1.1.2;4176.1.1.1
3139,e1k8uA1,108.1.1,108.1.1.8,PF01023,108.1.1.102,"PF01023,PF13499",89,PF13499,EF-hand_7,62.9,32.5,1,supports_commons,108.1.1.5;108.1.1.64;108.1.1.75;108.1.1.96;108.1.1.97;108.1.1.98;108.1.1.99;108.1.1.100;108.1.1.101;108.1.1.102;108.1.1.103;108.1.1.107;108.1.1.108;108.1.1.109;108.1.1.114;108.1.1.125;108.1.1.127;108.1.1.132;108.1.1.133;108.1.1.136;108.1.1.139;108.1.1.143;108.1.1.151;108.1.1.154;108.1.1.162;108.1.1.165;108.1.1.166;108.1.1.170;108.1.1.28;108.1.1.29;108.1.1.73;108.1.1.74;108.1.1.15;108.1.1.177;108.1.1.182;108.1.1.193;108.1.1.194;108.1.1.195;108.1.1.197;108.1.1.199;108.1.1.202;108.1.1.213;108.1.1.215;108.1.1.217;108.1.1.219;108.1.1.220;108.1.1.223
119222,e2knjA1,3090.1.1,,,3090.1.1.2,PF30034,90,PF30034,Microplusin,83.3,74.3,1,supports_commons,3090.1.1.2
607,e2f5tX1,4.15.1,4.15.1.1,PF11495,4.15.1.2,PF31112,92,PF31112,TrmB-TrmBL1_EBD_C,98.9,85.9,1,supports_commons,4.15.1.2
7939,e1xu6A1,4986.1.1,,,4986.1.1.4,PF29633,80,,,,,0,no_dominant_pfam,
2323974,e5vhvA2,11.1.1,,,11.1.1.987,PF30412,113,PF30412,YhaZ_C,95.6,123.7,1,supports_commons,11.1.1.987
10839,e1ukcA1,7579.1.1,7579.1.1.1,PF00135,7579.1.1.89,"PF00135,PF20434",517,PF00135,COesterase,97.7,290.7,1,ambiguous_both,7579.1.1.135;7579.1.1.147;7579.1.1.89;7579.1.1.91;7579.1.1.101;7579.1.1.1
10811,e1c4xA1,7579.1.1,7579.1.1.6,PF00561,7579.1.1.92,"PF00561,PF12697",281,PF12146,Hydrolase_4,87.2,50.1,2,points_to_other_fgroup,7579.1.1.123;7579.1.1.144;7579.1.1.116;7579.1.1.95;7579.1.1.99;7579.1.1.102;7579.1.1.104;7579.1.1.110;7579.1.1.124;7579.1.1.141;7579.1.1.154;7579.1.1.161;7579.1.1.162;7579.1.1.171;7579.1.1.180;7579.1.1.42;7579.1.1.187;7579.1.1.189;7579.1.1.193;7579.1.1.194;7579.1.1.199;7579.1.1.202;7579.1.1.206;7579.1.1.210;7579.1.1.213;7579.1.1.215;7579.1.1.225;7579.1.1.230;7579.1.1.248;7579.1.1.250;7579.1.1.267
1779592,e5frpA1,109.4.1,109.4.1.257,PF20168,109.4.1.1620,"PF12717,PF20168",689,PF20168,PDS5,96.7,662.5,1,ambiguous_both,109.4.1.814;109.4.1.1538;109.4.1.1556;109.4.1.1620;109.4.1.1739;109.4.1.2033;109.4.1.2036;109.4.1.183;109.4.1.257;109.4.1.2842;109.4.1.2934;109.4.1.3121;109.4.1.3342
9356,e1i1nA1,2003.1.5,2003.1.5.4,PF01135,2003.1.5.153,"PF01135,PF13649",224,PF01135,PCMT,95.5,290.5,2,ambiguous_both,2003.1.5.227;2003.1.5.228;2003.1.5.230;2003.1.5.241;2003.1.5.153;2003.1.5.166;2003.1.5.181;2003.1.5.192;2003.1.5.198;2003.1.5.204;2003.1.5.205;2003.1.5.219;2003.1.5.234;2003.1.5.257;2003.1.5.261;2003.1.5.273;2003.1.5.280;2003.1.5.287;2003.1.5.298;2003.1.5.302;2003.1.5.4;2003.1.5.319;2003.1.5.330;2003.1.5.357;2003.1.5.365;2003.1.5.368;2003.1.5.375;2003.1.5.396;2003.1.5.410;2003.1.5.415;2003.1.5.418;2003.1.5.422
1184,e1hx6A2,10.2.1,10.2.1.45,PF09018,10.2.1.87,PF25514,140,PF25514,P3_C,92.9,264.6,1,supports_commons,10.2.1.87
1088769,e1smrA2,1.1.1,1.1.1.1,PF00026,1.1.1.27,"PF00026,PF14543",179,PF00026,Asp,91.6,395.7,2,ambiguous_both,1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.31;1.1.1.34;1.1.1.35;1.1.1.1;1.1.1.2;1.1.1.38
1676515,e4ui9A2,109.35.1,109.35.1.1,PF01851,109.35.1.11,"PF01851,PF27562,PF29300",604,PF29300,APC1_5th,65.2,499.3,1,supports_commons,109.35.1.11;109.35.1.12;109.35.1.15;109.35.1.18
8818,e1gcyA2,2002.1.1,2002.1.1.5,"PF00128,PF09081",2002.1.1.301,PF09081,357,,,,,0,no_dominant_pfam,
9388,e1xxlA1,2003.1.5,2003.1.5.66,PF08241,2003.1.5.154,"PF03141,PF08241",234,PF03141,Methyltransf_29,89.7,24.7,4,supports_commons,2003.1.5.154;2003.1.5.271;2003.1.5.115
1779600,e5hx2D2,11.41.1,,,11.41.1.1,PF31222,104,PF31222,Gp6_3rd,100.0,162.9,1,supports_commons,11.41.1.1
