f_id	old_rep	new_rep	status	request_id	error
3755.3.1.28	O15083_F1_nD5	A0A0R4IL25_F1_nD5	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...     3913284, 'A0A0R4IL25_F1_nD5', '3755.3.1.28'::ecod_rep.d...
                                                             ^
"
3755.3.1.296	Q9Y608_F1_nD3	A0A0K0DVX9_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...    3929977, 'A0A0K0DVX9_F1_nD1', '3755.3.1.296'::ecod_rep.d...
                                                             ^
"
101.1.2.459	A0A0P0WU77_F1_nD1	Q9LVU8_F1_nD1	SUCCESS		
192.8.1.223	I1LYR2_F1_nD3	A0A1D6FXQ9_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...     3663441, 'A0A1D6FXQ9_F1_nD1', '192.8.1.223'::ecod_rep.d...
                                                             ^
"
192.8.1.229	I1NEV1_F1_nD1	Q75L44_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3429304, 'Q75L44_F1_nD1', '192.8.1.229'::ecod_rep.d...
                                                             ^
"
192.8.1.232	Q91Z80_F1_nD2	Q91Z80_F1_nD2	SUCCESS		
192.8.1.248	B7ZNG0_F1_nD3	Q9VKW4_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3388565, 'Q9VKW4_F1_nD2', '192.8.1.248'::ecod_rep.d...
                                                             ^
"
192.8.1.258	A0A077Z3T9_F1_nD1	A0A5S6PPD1_F1_nD4	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...     3797382, 'A0A5S6PPD1_F1_nD4', '192.8.1.258'::ecod_rep.d...
                                                             ^
"
3755.3.1.315	Q5BJF6_F1_nD3	B0S753_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3914473, 'B0S753_F1_nD1', '3755.3.1.315'::ecod_rep.d...
                                                             ^
"
3755.4.1.28	Q04431_F1_nD3	Q04431_F1_nD6	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3173480, 'Q04431_F1_nD6', '3755.4.1.28'::ecod_rep.d...
                                                             ^
"
386.1.1.220	Q8WW38_F1_nD9	F1R4T3_F1_nD7	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3881932, 'F1R4T3_F1_nD7', '386.1.1.220'::ecod_rep.d...
                                                             ^
"
1134.1.1.8	Q9NZ43_F1_nD3	Q9NZ43_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...          3570358, 'Q9NZ43_F1_nD1', '1134.1.1.8'::ecod_rep.d...
                                                             ^
"
3755.3.1.325	Q08581_F1_nD9	C1GS59_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3640282, 'C1GS59_F1_nD2', '3755.3.1.325'::ecod_rep.d...
                                                             ^
"
3755.3.1.326	K0ES52_F1_nD2	X8FH16_F1_nD2	SUCCESS		
3755.3.1.335	Q9ULD2_F1_nD3	F1RDR9_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3903657, 'F1RDR9_F1_nD1', '3755.3.1.335'::ecod_rep.d...
                                                             ^
"
3755.3.1.340	Q8TBF8_F1_nD1	F1QBN4_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3884148, 'F1QBN4_F1_nD1', '3755.3.1.340'::ecod_rep.d...
                                                             ^
"
3755.3.1.349	U7PS03_F1_nD1	A2AG10_F1_nD1	SUCCESS		
3755.3.1.412	Q0WVL7_F1_nD3	A0A0P0WEH6_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...    3418795, 'A0A0P0WEH6_F1_nD1', '3755.3.1.412'::ecod_rep.d...
                                                             ^
"
11.1.1.799	P91390_F1_nD3	Q54HG9_F1_nD4	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...          3267473, 'Q54HG9_F1_nD4', '11.1.1.799'::ecod_rep.d...
                                                             ^
"
148.1.3.185	A0A3Q0KP31_F1_nD1	Q62209_F1_nD6	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3844769, 'Q62209_F1_nD6', '148.1.3.185'::ecod_rep.d...
                                                             ^
"
192.8.1.14	Q80ST9_F1_nD2	Q80ST9_F1_nD2	SUCCESS		
192.8.1.239	C0NCD7_F1_nD3	C6TIH8_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3362356, 'C6TIH8_F1_nD1', '192.8.1.239'::ecod_rep.d...
                                                             ^
"
192.8.1.240	Q8IUC4_F1_nD1	F6NV75_F1_nD3	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3901696, 'F6NV75_F1_nD3', '192.8.1.240'::ecod_rep.d...
                                                             ^
"
192.8.1.246	Q6ZU80_F1_nD7	Q6ZU80_F1_nD7	SUCCESS		
192.8.1.271	I1N4R3_F1_nD2	Q9FMB4_F1_nD6	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...         3832880, 'Q9FMB4_F1_nD6', '192.8.1.271'::ecod_rep.d...
                                                             ^
"
192.8.1.275	Q6ZNE9_F1_nD2	Q6ZNE9_F1_nD2	SUCCESS		
192.8.1.282	A3KGV1_F1_nD6	A3KGV1_F1_nD6	SUCCESS		
3755.3.1.103	Q9QYE6_F1_nD1	Q9QYE6_F1_nD1	SUCCESS		
3755.3.1.333	K7LEQ8_F1_nD1	A0A3Q0KFQ7_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...    3481372, 'A0A3Q0KFQ7_F1_nD1', '3755.3.1.333'::ecod_rep.d...
                                                             ^
"
3755.3.1.365	I1L4J8_F1_nD3	Q96CS2_F1_nD3	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3556619, 'Q96CS2_F1_nD3', '3755.3.1.365'::ecod_rep.d...
                                                             ^
"
3755.3.1.374	K7MMK6_F1_nD1	K7U8U2_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3675934, 'K7U8U2_F1_nD1', '3755.3.1.374'::ecod_rep.d...
                                                             ^
"
3755.3.1.382	P0C7W6_F1_nD2	B8JME7_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3887162, 'B8JME7_F1_nD2', '3755.3.1.382'::ecod_rep.d...
                                                             ^
"
3755.3.1.386	Q9ULV0_F1_nD4	Q9QYF3_F1_nD6	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3746535, 'Q9QYF3_F1_nD6', '3755.3.1.386'::ecod_rep.d...
                                                             ^
"
3755.3.1.389	Q6ZP65_F1_nD5	A0A0G2JY46_F1_nD2	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...    3779644, 'A0A0G2JY46_F1_nD2', '3755.3.1.389'::ecod_rep.d...
                                                             ^
"
3755.3.1.399	Q86VP1_F1_nD3	Q8CGU1_F1_nD1	SUCCESS		
3922.1.1.146	A0A077ZKG7_F1_nD6	A0A1W2PRN1_F1_nD1	SUCCESS		
3922.1.1.148	A0A5K4FBR4_F1_nD1	Q8VBT1_F1_nD1	FAILED		"type ""ecod_rep.dom_cid"" does not exist
LINE 7: ...        3864811, 'Q8VBT1_F1_nD1', '3922.1.1.148'::ecod_rep.d...
                                                             ^
"
3922.1.1.220	A0A077Z8S7_F1_nD3	D3YZP9_F1_nD1	SUCCESS		
