f_id	h_group	current_rep	pfam_acc	assigned_count	good_domain_count	best_candidate	best_source	best_length	best_hh_prob	best_dpam_prob	action
3755.3.1.300	3755.3	K7KHY4_F1_nD1	PF05701	6	2	I1JJK4_F1_nD3	proteomes	255	0.9790	0.9710	REPLACE_REP
3755.3.1.306	3755.3	Q9W1F4_F1_nD3	PF09766	6	2	Q8BKT7_F1_nD3	proteomes	100	0.4450	0.9900	REPLACE_REP
386.1.1.207	386.1	A0A0R0GP21_F1_nD1	PF26664	6	4	A0A1D6G577_F1_nD1	proteomes	100		0.9420	REPLACE_REP
601.20.1.4	601.20	Q04746_F1_nD4	PF04163	6	0						MANUAL_REVIEW
192.8.1.220	192.8	G4VFB0_F1_nD2	PF14772	5	0						MANUAL_REVIEW
3297.1.1.13	3297.1	P04264_F1_nD2	PF00038	5	0						MANUAL_REVIEW
3755.3.1.19	3755.3	Q8N2N9_F1_nD3	PF14915	5	1	Q8N2N9_F1_nD3	proteomes	205	0.9830	0.9960	REPLACE_REP
3755.3.1.28	3755.3	O15083_F1_nD5	PF10174	5	4	A0A0R4IL25_F1_nD5	proteomes	315	0.9870	0.9930	REPLACE_REP
3755.3.1.296	3755.3	Q9Y608_F1_nD3	PF09738	5	1	A0A0K0DVX9_F1_nD1	proteomes	210	0.9700	0.9770	REPLACE_REP
3922.1.1.128	3922.1	I1JDH8_F1_nD5	PF07058	5	0						MANUAL_REVIEW
5.1.4.225	5.1	Q9P283_F1_nD7	PF00090	5	0						MANUAL_REVIEW
101.1.2.459	101.1	A0A0P0WU77_F1_nD1	PF02042	4	1	Q9LVU8_F1_nD1	proteomes	100		0.9640	REPLACE_REP
192.8.1.221	192.8	I1MVH5_F1_nD1	PF27881	4	0						MANUAL_REVIEW
192.8.1.223	192.8	I1LYR2_F1_nD3	PF00612	4	1	A0A1D6FXQ9_F1_nD1	proteomes	245	0.9610	0.9990	REPLACE_REP
192.8.1.229	192.8	I1NEV1_F1_nD1	PF28496	4	3	Q75L44_F1_nD1	proteomes	275	0.8320	0.9890	REPLACE_REP
192.8.1.232	192.8	Q91Z80_F1_nD2	PF25526	4	4	Q91Z80_F1_nD2	proteomes	160	0.9740	0.9640	REPLACE_REP
192.8.1.237	192.8	A0A368UM14_F1_nD2	PF01486	4	0						MANUAL_REVIEW
192.8.1.248	192.8	B7ZNG0_F1_nD3	PF25764	4	4	Q9VKW4_F1_nD2	proteomes	375	0.9600	0.9990	REPLACE_REP
192.8.1.258	192.8	A0A077Z3T9_F1_nD1	PF27558	4	2	A0A5S6PPD1_F1_nD4	proteomes	100	0.9760	0.9980	REPLACE_REP
3755.3.1.301	3755.3	Q5EBL4_F1_nD3	PF11461	4	0						MANUAL_REVIEW
3755.3.1.307	3755.3	Q9VBL8_F1_nD1	PF05335	4	0						MANUAL_REVIEW
3755.3.1.315	3755.3	Q5BJF6_F1_nD3	PF27578	4	1	B0S753_F1_nD1	proteomes	135		0.9500	REPLACE_REP
3755.3.1.319	3755.3	A0A0N7KHX3_F1_nD7	PF08172	4	0						MANUAL_REVIEW
3755.3.1.438	3755.3	A0A077ZHN8_F1_nD6	PF00015	4	0						MANUAL_REVIEW
3755.4.1.28	3755.4	Q04431_F1_nD3	PF17097	4	1	Q04431_F1_nD6	proteomes	90		0.8640	REPLACE_REP
386.1.1.220	386.1	Q8WW38_F1_nD9	PF25445	4	3	F1R4T3_F1_nD7	proteomes	34	0.9050	0.9950	REPLACE_REP
3922.1.1.131	3922.1	O94964_F1_nD5	PF11365	4	0						MANUAL_REVIEW
3922.1.1.142	3922.1	A0A0R0JHB3_F1_nD4	PF27724	4	0						MANUAL_REVIEW
5086.1.1.95	5086.1	C6TKY8_F1_nD1	PF10270	4	0						MANUAL_REVIEW
5086.1.1.97	5086.1	Q6ZW33_F1_nD1	PF12130	4	0						MANUAL_REVIEW
5086.1.1.98	5086.1	Q9ULS5_F1_nD2	PF10267	4	0						MANUAL_REVIEW
101.1.11.86	101.1	I1L947_F1_nD1	PF09350	3	0						MANUAL_REVIEW
103.1.1.64	103.1	Q9P2K3_F1_nD3	PF20878	3	0						MANUAL_REVIEW
103.1.1.65	103.1	Q9H0D2_F1_nD2	PF00096	3	0						MANUAL_REVIEW
1134.1.1.8	1134.1	Q9NZ43_F1_nD3	PF09753	3	1	Q9NZ43_F1_nD1	proteomes	75		0.9260	REPLACE_REP
192.29.1.121	192.29	Q9NPJ6_F1_nD3	PF10018	3	0						MANUAL_REVIEW
192.29.1.122	192.29	Q96C34_F1_nD3	PF26030	3	0						MANUAL_REVIEW
207.1.1.117	207.1	A0A0J9YWL9_F1_nD3	PF20868	3	0						MANUAL_REVIEW
2492.1.1.38	2492.1	Q95QZ9_F1_nD2	PF05020	3	0						MANUAL_REVIEW
304.8.1.56	304.8	B9FXT3_F1_nD1	PF00010	3	0						MANUAL_REVIEW
3273.1.1.3	3273.1	B6VQ93_F1_nD6	PF02363	3	0						MANUAL_REVIEW
3297.1.1.15	3297.1	Q4VCS5_F1_nD3	PF12240	3	0						MANUAL_REVIEW
3464.1.1.3	3464.1	C6SZR5_F1_nD1	PF27970	3	0						MANUAL_REVIEW
3530.1.1.6	3530.1	I1KFG1_F1_nD1	PF06364	3	0						MANUAL_REVIEW
3755.3.1.313	3755.3	A6NE01_F1_nD3	PF20870	3	0						MANUAL_REVIEW
3755.3.1.314	3755.3	O95229_F1_nD3	PF15556	3	0						MANUAL_REVIEW
3755.3.1.318	3755.3	Q96AQ8_F1_nD2	PF07798	3	0						MANUAL_REVIEW
3755.3.1.325	3755.3	Q08581_F1_nD9	PF12709	3	2	C1GS59_F1_nD2	proteomes	205	0.9820	0.9570	REPLACE_REP
3755.3.1.326	3755.3	K0ES52_F1_nD2	PF11887	3	1	X8FH16_F1_nD2	proteomes	145	0.8890	0.9960	REPLACE_REP
3755.3.1.330	3755.3	I1MFR1_F1_nD2	PF07058	3	0						MANUAL_REVIEW
3755.3.1.335	3755.3	Q9ULD2_F1_nD3	PF27558	3	2	F1RDR9_F1_nD1	proteomes	185	0.9810	0.9990	REPLACE_REP
3755.3.1.340	3755.3	Q8TBF8_F1_nD1	PF28217	3	1	F1QBN4_F1_nD1	proteomes	140	0.9690	0.9990	REPLACE_REP
3755.3.1.349	3755.3	U7PS03_F1_nD1	PF05064	3	1	A2AG10_F1_nD1	proteomes	170	0.9710	0.9990	REPLACE_REP
3755.3.1.412	3755.3	Q0WVL7_F1_nD3	PF12329	3	3	A0A0P0WEH6_F1_nD1	proteomes	145	0.9890	0.9760	REPLACE_REP
3755.4.1.29	3755.4	I1K802_F1_nD2	PF09766	3	0						MANUAL_REVIEW
3922.1.1.134	3922.1	Q69Q88_F1_nD1	PF18265	3	0						MANUAL_REVIEW
3922.1.1.135	3922.1	K7KJ54_F1_nD1	PF07765	3	0						MANUAL_REVIEW
3922.1.1.136	3922.1	C0NQ31_F1_nD10	PF01608	3	0						MANUAL_REVIEW
3922.1.1.144	3922.1	K7M5L2_F1_nD1	PF05701	3	0						MANUAL_REVIEW
3922.1.1.149	3922.1	V6CLK4_F1_nD2	PF02888	3	0						MANUAL_REVIEW
397.7.1.2	397.7	Q2R223_F1_nD5	PF14861	3	0						MANUAL_REVIEW
5086.1.1.103	5086.1	O75781_F1_nD1	PF03285	3	0						MANUAL_REVIEW
5086.1.1.104	5086.1	Q8N3L3_F1_nD2	PF09728	3	0						MANUAL_REVIEW
589.1.1.3	589.1	O15078_F1_nD19	PF16574	3	0						MANUAL_REVIEW
601.19.1.22	601.19	Q10DD6_F1_nD1	PF07526	3	0						MANUAL_REVIEW
633.12.1.8	633.12	Q9HCU9_F1_nD1	PF08598	3	0						MANUAL_REVIEW
101.1.1.246	101.1	G5EBU4_F1_nD1	PF00096	2	0						MANUAL_REVIEW
101.1.11.88	101.1	Q9NQL9_F1_nD1	PF00751	2	0						MANUAL_REVIEW
103.1.1.66	103.1	U7PWY1_F1_nD1	PF07798	2	0						MANUAL_REVIEW
1073.1.1.11	1073.1	Q6AWC2_F1_nD4	PF25802	2	0						MANUAL_REVIEW
109.3.1.135	109.3	A8DYE2_F1_nD5	PF16519	2	0						MANUAL_REVIEW
11.1.1.797	11.1	Q9NR61_F1_nD4	PF21700	2	0						MANUAL_REVIEW
11.1.1.799	11.1	P91390_F1_nD3	PF25147	2	1	Q54HG9_F1_nD4	proteomes	110		0.9800	REPLACE_REP
1134.1.2.10	1134.1	I1JEI8_F1_nD2	PF01486	2	0						MANUAL_REVIEW
1134.1.2.8	1134.1	I1N639_F1_nD2	PF02183	2	0						MANUAL_REVIEW
1164.1.1.1	1164.1	I1KS18_F1_nD4	PF05755	2	0						MANUAL_REVIEW
1178.1.1.2	1178.1	Q9Y3C0_F1_nD1	PF10152	2	0						MANUAL_REVIEW
148.1.3.185	148.1	A0A3Q0KP31_F1_nD1	PF05483	2	1	Q62209_F1_nD6	proteomes	105	0.9700	0.9750	REPLACE_REP
192.1.1.17	192.1	U7Q842_F1_nD2	PF02185	2	0						MANUAL_REVIEW
192.10.1.5	192.10	A0A5K4EQH2_F1_nD3	PF26050	2	0						MANUAL_REVIEW
192.8.1.14	192.8	Q80ST9_F1_nD2	PF15619	2	1	Q80ST9_F1_nD2	proteomes	90	0.9580	0.9940	REPLACE_REP
192.8.1.238	192.8	K7LEQ8_F1_nD5	PF08172	2	0						MANUAL_REVIEW
192.8.1.239	192.8	C0NCD7_F1_nD3	PF28231	2	1	C6TIH8_F1_nD1	proteomes	85	0.9810	0.9950	REPLACE_REP
192.8.1.240	192.8	Q8IUC4_F1_nD1	PF02185	2	1	F6NV75_F1_nD3	proteomes	85		0.9690	REPLACE_REP
192.8.1.244	192.8	Q96M95_F1_nD1	PF13863	2	0						MANUAL_REVIEW
192.8.1.246	192.8	Q6ZU80_F1_nD7	PF28367	2	2	Q6ZU80_F1_nD7	proteomes	225	0.9670	0.9520	REPLACE_REP
192.8.1.249	192.8	B7E6Z9_F1_nD1	PF07889	2	0						MANUAL_REVIEW
192.8.1.251	192.8	A0A3Q0KRX9_F1_nD2	PF16046	2	0						MANUAL_REVIEW
192.8.1.253	192.8	C0NRL2_F1_nD1	PF08232	2	0						MANUAL_REVIEW
192.8.1.271	192.8	I1N4R3_F1_nD2	PF14817	2	1	Q9FMB4_F1_nD6	proteomes	115		0.9350	REPLACE_REP
192.8.1.275	192.8	Q6ZNE9_F1_nD2	PF25366	2	2	Q6ZNE9_F1_nD2	proteomes	120	0.9570	0.9990	REPLACE_REP
192.8.1.282	192.8	A3KGV1_F1_nD6	PF27605	2	1	A3KGV1_F1_nD6	proteomes	250	0.9660	0.9910	REPLACE_REP
192.8.1.289	192.8	A0A3Q0KKP2_F1_nD1	PF14931	2	0						MANUAL_REVIEW
192.8.1.296	192.8	Q86K63_F1_nD1	PF10146	2	0						MANUAL_REVIEW
192.8.1.313	192.8	U7Q653_F1_nD2	PF09763	2	0						MANUAL_REVIEW
2492.1.1.40	2492.1	Q95QZ9_F1_nD5	PF00641	2	0						MANUAL_REVIEW
304.58.1.2	304.58	U7Q254_F1_nD1	PF10444	2	0						MANUAL_REVIEW
314.1.1.16	314.1	Q8WV99_F1_nD1	PF01428	2	0						MANUAL_REVIEW
327.1.1.5	327.1	Q8NAX2_F1_nD2	PF15551	2	0						MANUAL_REVIEW
3297.1.1.14	3297.1	Q9VMS4_F1_nD2	PF07716	2	0						MANUAL_REVIEW
3297.1.1.16	3297.1	I1KA82_F1_nD3	PF01105	2	0						MANUAL_REVIEW
3358.1.1.15	3358.1	Q5VN06_F1_nD4	PF21358	2	0						MANUAL_REVIEW
3473.1.1.6	3473.1	P07307_F1_nD1	PF03954	2	0						MANUAL_REVIEW
3530.1.1.7	3530.1	I1JEC0_F1_nD2	PF03763	2	0						MANUAL_REVIEW
3602.1.1.8	3602.1	Q96HR3_F1_nD1	PF11315	2	0						MANUAL_REVIEW
3681.1.1.1	3681.1	I1LSA8_F1_nD1	PF28483	2	0						MANUAL_REVIEW
3755.3.1.103	3755.3	Q9QYE6_F1_nD1	PF09787	2	2	Q9QYE6_F1_nD1	proteomes	250	0.9830	0.9970	REPLACE_REP
3755.3.1.328	3755.3	K7L3C1_F1_nD1	PF03763	2	0						MANUAL_REVIEW
3755.3.1.329	3755.3	I1JCC5_F1_nD1	PF04124	2	0						MANUAL_REVIEW
3755.3.1.332	3755.3	I1KQH7_F1_nD1	PF05700	2	0						MANUAL_REVIEW
3755.3.1.333	3755.3	K7LEQ8_F1_nD1	PF25398	2	1	A0A3Q0KFQ7_F1_nD1	proteomes	145	0.9700	0.9670	REPLACE_REP
3755.3.1.337	3755.3	O00258_F1_nD1	PF04420	2	0						MANUAL_REVIEW
3755.3.1.338	3755.3	Q7Z7B0_F1_nD2	PF09727	2	0						MANUAL_REVIEW
3755.3.1.339	3755.3	A0A0J9YY54_F1_nD1	PF15186	2	0						MANUAL_REVIEW
3755.3.1.341	3755.3	Q14BN4_F1_nD2	PF27557	2	0						MANUAL_REVIEW
3755.3.1.342	3755.3	Q86VP1_F1_nD5	PF18112	2	0						MANUAL_REVIEW
3755.3.1.343	3755.3	Q9UL16_F1_nD3	PF13868	2	0						MANUAL_REVIEW
3755.3.1.348	3755.3	A0A077Z3E0_F1_nD1	PF10146	2	0						MANUAL_REVIEW
3755.3.1.350	3755.3	C0NG63_F1_nD1	PF17675	2	0						MANUAL_REVIEW
3755.3.1.351	3755.3	P10333_F1_nD1	PF03082	2	0						MANUAL_REVIEW
3755.3.1.359	3755.3	Q12262_F1_nD1	PF20993	2	0						MANUAL_REVIEW
3755.3.1.364	3755.3	A0A0R0KFX3_F1_nD1	PF28487	2	0						MANUAL_REVIEW
3755.3.1.365	3755.3	I1L4J8_F1_nD3	PF25762	2	1	Q96CS2_F1_nD3	proteomes	180	0.9720	0.9950	REPLACE_REP
3755.3.1.369	3755.3	I1JPJ5_F1_nD7	PF27682	2	0						MANUAL_REVIEW
3755.3.1.374	3755.3	K7MMK6_F1_nD1	PF27747	2	1	K7U8U2_F1_nD1	proteomes	160		0.9540	REPLACE_REP
3755.3.1.382	3755.3	P0C7W6_F1_nD2	PF28385	2	1	B8JME7_F1_nD2	proteomes	185	0.8370	0.9800	REPLACE_REP
3755.3.1.386	3755.3	Q9ULV0_F1_nD4	PF25966	2	2	Q9QYF3_F1_nD6	proteomes	140	0.9560	0.9530	REPLACE_REP
3755.3.1.389	3755.3	Q6ZP65_F1_nD5	PF27654	2	1	A0A0G2JY46_F1_nD2	proteomes	280	1.0000	0.9550	REPLACE_REP
3755.3.1.394	3755.3	O60296_F1_nD3	PF12448	2	0						MANUAL_REVIEW
3755.3.1.399	3755.3	Q86VP1_F1_nD3	PF07888	2	1	Q8CGU1_F1_nD1	proteomes	455	0.9860	1.0000	REPLACE_REP
3755.3.1.440	3755.3	A0A077YXF2_F1_nD1	PF08614	2	0						MANUAL_REVIEW
3758.1.1.33	3758.1	Q65WY7_F1_nD1	PF07889	2	0						MANUAL_REVIEW
3835.1.1.2	3835.1	A1ZB21_F1_nD1	PF05267	2	0						MANUAL_REVIEW
386.1.1.212	386.1	Q0D5B9_F1_nD1	PF01428	2	0						MANUAL_REVIEW
386.1.1.214	386.1	Q7JVP4_F1_nD1	PF17017	2	0						MANUAL_REVIEW
387.1.5.23	387.1	K7MU27_F1_nD1	PF03638	2	0						MANUAL_REVIEW
387.4.1.1	387.4	U7PZ05_F1_nD2	PF07767	2	0						MANUAL_REVIEW
3922.1.1.141	3922.1	A0A368UIW8_F1_nD2	PF01486	2	0						MANUAL_REVIEW
3922.1.1.143	3922.1	K7M9L2_F1_nD2	PF27682	2	0						MANUAL_REVIEW
3922.1.1.146	3922.1	A0A077ZKG7_F1_nD6	PF15070	2	1	A0A1W2PRN1_F1_nD1	proteomes	150	0.7580	0.9220	REPLACE_REP
3922.1.1.148	3922.1	A0A5K4FBR4_F1_nD1	PF09728	2	1	Q8VBT1_F1_nD1	proteomes	85	0.9570	0.9910	REPLACE_REP
3922.1.1.150	3922.1	A0A5K4F6Q4_F1_nD3	PF10174	2	0						MANUAL_REVIEW
3922.1.1.153	3922.1	Q54MP2_F1_nD5	PF05667	2	0						MANUAL_REVIEW
3922.1.1.196	3922.1	A0A5K4FAX0_F1_nD6	PF25526	2	0						MANUAL_REVIEW
3922.1.1.220	3922.1	A0A077Z8S7_F1_nD3	PF09755	2	1	D3YZP9_F1_nD1	proteomes	250	0.9700	1.0000	REPLACE_REP
3922.1.1.221	3922.1	A0A077Z0P8_F1_nD2	PF09311	2	0						MANUAL_REVIEW
397.7.1.3	397.7	Q7JY26_F1_nD1	PF05811	2	0						MANUAL_REVIEW
397.7.1.4	397.7	B6VQ93_F1_nD10	PF02363	2	0						MANUAL_REVIEW
4.1.1.279	4.1	Q9Y4I1_F1_nD3	PF00612	2	0						MANUAL_REVIEW
4992.1.1.13	4992.1	Q6GUR9_F1_nD1	PF06313	2	0						MANUAL_REVIEW
5014.1.1.5	5014.1	I1LMM1_F1_nD2	PF08571	2	0						MANUAL_REVIEW
5025.1.1.6	5025.1	A0A077Z626_F1_nD1	PF15018	2	0						MANUAL_REVIEW
5086.1.1.112	5086.1	I1MDR5_F1_nD4	PF04696	2	0						MANUAL_REVIEW
5086.1.1.115	5086.1	Q92952_F1_nD2	PF02888	2	0						MANUAL_REVIEW
5086.1.1.120	5086.1	Q12247_F1_nD3	PF08524	2	0						MANUAL_REVIEW
5086.1.1.159	5086.1	Q54T17_F1_nD4	PF07716	2	0						MANUAL_REVIEW
604.1.1.101	604.1	Q9H019_F1_nD1	PF05308	2	0						MANUAL_REVIEW
604.1.1.103	604.1	A0A5K4ES77_F1_nD2	PF11461	2	0						MANUAL_REVIEW
604.1.1.99	604.1	K7KK71_F1_nD1	PF04576	2	0						MANUAL_REVIEW
605.1.1.113	605.1	A0A0R0LG38_F1_nD3	PF12428	2	0						MANUAL_REVIEW
606.1.1.6	606.1	K7KQU4_F1_nD2	PF06273	2	0						MANUAL_REVIEW
632.2.1.22	632.2	P47083_F1_nD2	PF04006	2	0						MANUAL_REVIEW
633.12.1.9	633.12	I1N2Z5_F1_nD2	PF00477	2	0						MANUAL_REVIEW
7002.1.1.2	7002.1	Q9H813_F1_nD1	PF15122	2	0						MANUAL_REVIEW
7010.1.1.1	7010.1	Q6K6L6_F1_nD2	PF05553	2	0						MANUAL_REVIEW
874.1.1.14	874.1	E9PJI5_F1_nD2	PF06409	2	0						MANUAL_REVIEW
874.1.1.15	874.1	K7KK10_F1_nD3	PF03469	2	0						MANUAL_REVIEW
