f_id	domain	pseudo_fgroup	assigned_count	status	request_id	domains_reassigned	error
601.19.1.22	Q10DD6_F1_nD1	601.19.1.0	3	SUCCESS	3646	3	
633.12.1.8	Q9HCU9_F1_nD1	633.12.1.0	3	SUCCESS	3647	3	
101.1.1.246	G5EBU4_F1_nD1	101.1.1.0	2	SUCCESS	3648	2	
101.1.11.88	Q9NQL9_F1_nD1	101.1.11.0	2	SUCCESS	3649	2	
103.1.1.66	U7PWY1_F1_nD1	103.1.1.0	2	SUCCESS	3650	2	
1073.1.1.11	Q6AWC2_F1_nD4	1073.1.1.0	2	SUCCESS	3651	2	
109.3.1.135	A8DYE2_F1_nD5	109.3.1.0	2	SUCCESS	3652	2	
11.1.1.797	Q9NR61_F1_nD4	11.1.1.0	2	SUCCESS	3653	2	
1134.1.2.10	I1JEI8_F1_nD2	1134.1.2.0	2	SUCCESS	3654	2	
1134.1.2.8	I1N639_F1_nD2	1134.1.2.0	2	SUCCESS	3655	2	
1164.1.1.1	I1KS18_F1_nD4	1164.1.1.0	2	SUCCESS	3656	2	
1178.1.1.2	Q9Y3C0_F1_nD1	1178.1.1.0	2	SUCCESS	3657	2	
192.1.1.17	U7Q842_F1_nD2	192.1.1.0	2	SUCCESS	3658	2	
192.10.1.5	A0A5K4EQH2_F1_nD3	192.10.1.0	2	SUCCESS	3659	2	
192.8.1.238	K7LEQ8_F1_nD5	192.8.1.0	2	SUCCESS	3660	2	
192.8.1.244	Q96M95_F1_nD1	192.8.1.0	2	SUCCESS	3661	2	
192.8.1.249	B7E6Z9_F1_nD1	192.8.1.0	2	SUCCESS	3662	2	
192.8.1.251	A0A3Q0KRX9_F1_nD2	192.8.1.0	2	SUCCESS	3663	2	
192.8.1.253	C0NRL2_F1_nD1	192.8.1.0	2	SUCCESS	3664	2	
192.8.1.289	A0A3Q0KKP2_F1_nD1	192.8.1.0	2	SUCCESS	3665	2	
192.8.1.296	Q86K63_F1_nD1	192.8.1.0	2	SUCCESS	3666	2	
192.8.1.313	U7Q653_F1_nD2	192.8.1.0	2	SUCCESS	3667	2	
2492.1.1.40	Q95QZ9_F1_nD5	2492.1.1.0	2	SUCCESS	3668	2	
304.58.1.2	U7Q254_F1_nD1	304.58.1.0	2	SUCCESS	3669	2	
314.1.1.16	Q8WV99_F1_nD1	314.1.1.0	2	SUCCESS	3670	2	
327.1.1.5	Q8NAX2_F1_nD2	327.1.1.0	2	SUCCESS	3671	2	
3297.1.1.14	Q9VMS4_F1_nD2	3297.1.1.0	2	SUCCESS	3672	2	
3297.1.1.16	I1KA82_F1_nD3	3297.1.1.0	2	SUCCESS	3673	2	
3358.1.1.15	Q5VN06_F1_nD4	3358.1.1.0	2	SUCCESS	3674	2	
3473.1.1.6	P07307_F1_nD1	3473.1.1.0	2	SUCCESS	3675	2	
3530.1.1.7	I1JEC0_F1_nD2	3530.1.1.0	2	SUCCESS	3676	2	
3602.1.1.8	Q96HR3_F1_nD1	3602.1.1.0	2	SUCCESS	3677	2	
3681.1.1.1	I1LSA8_F1_nD1	3681.1.1.0	2	SUCCESS	3678	2	
3755.3.1.328	K7L3C1_F1_nD1	3755.3.1.0	2	SUCCESS	3679	2	
3755.3.1.329	I1JCC5_F1_nD1	3755.3.1.0	2	SUCCESS	3680	2	
3755.3.1.332	I1KQH7_F1_nD1	3755.3.1.0	2	SUCCESS	3681	2	
3755.3.1.337	O00258_F1_nD1	3755.3.1.0	2	SUCCESS	3682	2	
3755.3.1.338	Q7Z7B0_F1_nD2	3755.3.1.0	2	SUCCESS	3683	2	
3755.3.1.339	A0A0J9YY54_F1_nD1	3755.3.1.0	2	SUCCESS	3684	2	
3755.3.1.341	Q14BN4_F1_nD2	3755.3.1.0	2	SUCCESS	3685	2	
3755.3.1.342	Q86VP1_F1_nD5	3755.3.1.0	2	SUCCESS	3686	2	
3755.3.1.343	Q9UL16_F1_nD3	3755.3.1.0	2	SUCCESS	3687	2	
3755.3.1.348	A0A077Z3E0_F1_nD1	3755.3.1.0	2	SUCCESS	3688	2	
3755.3.1.350	C0NG63_F1_nD1	3755.3.1.0	2	SUCCESS	3689	2	
3755.3.1.351	P10333_F1_nD1	3755.3.1.0	2	SUCCESS	3690	2	
3755.3.1.359	Q12262_F1_nD1	3755.3.1.0	2	SUCCESS	3691	2	
3755.3.1.364	A0A0R0KFX3_F1_nD1	3755.3.1.0	2	SUCCESS	3692	2	
3755.3.1.369	I1JPJ5_F1_nD7	3755.3.1.0	2	SUCCESS	3693	2	
3755.3.1.394	O60296_F1_nD3	3755.3.1.0	2	SUCCESS	3694	2	
3755.3.1.440	A0A077YXF2_F1_nD1	3755.3.1.0	2	SUCCESS	3695	2	
3758.1.1.33	Q65WY7_F1_nD1	3758.1.1.0	2	SUCCESS	3696	2	
3835.1.1.2	A1ZB21_F1_nD1	3835.1.1.0	2	SUCCESS	3697	2	
386.1.1.212	Q0D5B9_F1_nD1	386.1.1.0	2	SUCCESS	3698	2	
386.1.1.214	Q7JVP4_F1_nD1	386.1.1.0	2	SUCCESS	3699	2	
387.1.5.23	K7MU27_F1_nD1	387.1.5.0	2	SUCCESS	3700	2	
387.4.1.1	U7PZ05_F1_nD2	387.4.1.0	2	SUCCESS	3701	2	
3922.1.1.141	A0A368UIW8_F1_nD2	3922.1.1.0	2	SUCCESS	3702	2	
3922.1.1.143	K7M9L2_F1_nD2	3922.1.1.0	2	SUCCESS	3703	2	
3922.1.1.150	A0A5K4F6Q4_F1_nD3	3922.1.1.0	2	SUCCESS	3704	2	
3922.1.1.153	Q54MP2_F1_nD5	3922.1.1.0	2	SUCCESS	3705	2	
3922.1.1.196	A0A5K4FAX0_F1_nD6	3922.1.1.0	2	SUCCESS	3706	2	
3922.1.1.221	A0A077Z0P8_F1_nD2	3922.1.1.0	2	SUCCESS	3707	2	
397.7.1.3	Q7JY26_F1_nD1	397.7.1.0	2	SUCCESS	3708	2	
397.7.1.4	B6VQ93_F1_nD10	397.7.1.0	2	SUCCESS	3709	2	
4.1.1.279	Q9Y4I1_F1_nD3	4.1.1.0	2	SUCCESS	3710	2	
4992.1.1.13	Q6GUR9_F1_nD1	4992.1.1.0	2	SUCCESS	3711	2	
5014.1.1.5	I1LMM1_F1_nD2	5014.1.1.0	2	SUCCESS	3712	2	
5025.1.1.6	A0A077Z626_F1_nD1	5025.1.1.0	2	SUCCESS	3713	2	
5086.1.1.112	I1MDR5_F1_nD4	5086.1.1.0	2	SUCCESS	3714	2	
5086.1.1.115	Q92952_F1_nD2	5086.1.1.0	2	SUCCESS	3715	2	
5086.1.1.120	Q12247_F1_nD3	5086.1.1.0	2	SUCCESS	3716	2	
5086.1.1.159	Q54T17_F1_nD4	5086.1.1.0	2	SUCCESS	3717	2	
604.1.1.101	Q9H019_F1_nD1	604.1.1.0	2	SUCCESS	3718	2	
604.1.1.103	A0A5K4ES77_F1_nD2	604.1.1.0	2	SUCCESS	3719	2	
604.1.1.99	K7KK71_F1_nD1	604.1.1.0	2	SUCCESS	3720	2	
605.1.1.113	A0A0R0LG38_F1_nD3	605.1.1.0	2	SUCCESS	3721	2	
606.1.1.6	K7KQU4_F1_nD2	606.1.1.0	2	SUCCESS	3722	2	
632.2.1.22	P47083_F1_nD2	632.2.1.0	2	SUCCESS	3723	2	
633.12.1.9	I1N2Z5_F1_nD2	633.12.1.0	2	SUCCESS	3724	2	
7002.1.1.2	Q9H813_F1_nD1	7002.1.1.0	2	SUCCESS	3725	2	
7010.1.1.1	Q6K6L6_F1_nD2	7010.1.1.0	2	SUCCESS	3726	2	
874.1.1.14	E9PJI5_F1_nD2	874.1.1.0	2	SUCCESS	3727	2	
874.1.1.15	K7KK10_F1_nD3	874.1.1.0	2	SUCCESS	3728	2	
